TRAINTESTDIFFSAUROC,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
AvgTRAINTESTDIFFSAUROCOverDsets:,-2.2479711101081252E-4,-0.0011438185637281824,-0.005583563348796983
AvgTRAINTESTDIFFSAUROCRankOverDsets:,1.322314049586777,1.9421487603305785,2.7355371900826446
StddevOfTRAINTESTDIFFSAUROCOverDsets:,0.02010498731341916,0.02557451952847558,0.020603587994962938
AvgOfStddevsOfTRAINTESTDIFFSAUROCOverDsetFolds:,0.03486772950707993,0.034055387897208335,0.03578835455705473
StddevsOfTRAINTESTDIFFSAUROCRanksOverDsets:,0.6734844224016101,0.37187633834284706,0.6023370463082703

flat,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0|121|0,98|3|20,102|3|16
CAWPE-A(alpha=4),20|3|98,0|121|0,105|3|13
CAWPE-A(RandTie),16|3|102,13|3|105,0|121|0



p=0.01,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0|121|0,2|119|0,5|116|0
CAWPE-A(alpha=4),0|119|2,0|121|0,1|120|0
CAWPE-A(RandTie),0|116|5,0|120|1,0|121|0



p=0.05,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0|121|0,4|117|0,5|116|0
CAWPE-A(alpha=4),0|117|4,0|121|0,1|120|0
CAWPE-A(RandTie),0|116|5,0|120|1,0|121|0



T TEST,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0.0,0.44137611,0.00232976
CAWPE-A(alpha=4),0.0,0.0,0.06261471
CAWPE-A(RandTie),0.0,0.0,0.0

SIGN TEST,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0.0,0.0,0.0
CAWPE-A(alpha=4),0.0,0.0,0.0
CAWPE-A(RandTie),0.0,0.0,0.0

SIGN RANK TEST,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0.0,0.0,0.0
CAWPE-A(alpha=4),0.0,0.0,0.0
CAWPE-A(RandTie),0.0,0.0,0.0

NOSIGDIFFERENCE,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),true,false,false
CAWPE-A(alpha=4),false,true,false
CAWPE-A(RandTie),false,false,true



cliques = []

