folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6620945635175235,0.652761002633257,0.6573163917800139,0.6503220639732817,0.6714859159968865,0.6480269087937657,0.6587558785384219,0.6547780481634269,0.6569773929981467,0.6512242748289108,0.6569875478013301,0.6545803683255161,0.6334473775772423,0.6510619487869771,0.6573203872262688,0.657442229982,0.658600012479246,0.665874714054608,0.6544384520985586,0.6501083061103995,0.6401276089377298,0.6531801306007302,0.6603288937654962,0.6501126984224358,0.6602240626614875,0.6423912053503039,0.6398967392145153,0.6461288446170426,0.6588448320346788,0.659281172071094
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8009841245154068,0.7962273135618787,0.7935883212971573,0.7918837490052897,0.7895367221005778,0.7932501310442318,0.791829919000445,0.7985570804094151,0.7944854435163546,0.7916636015132874,0.7884111194714625,0.7904939574092175,0.7887231225279528,0.7965826302873367,0.7935358133196437,0.7966468430434153,0.7947545935405782,0.7917319139360024,0.7952438910568038,0.7921135514425386,0.7923537366310216,0.7933336536908041,0.7935807161852286,0.7913489544021349,0.7916691567918979,0.7911377340493925,0.793927833577414,0.7909521066717413,0.798854467463392,0.7962852432333597
annealing,0.8217513480671375,0.8425263374887436,0.7741384847399885,0.9018935867808049,0.7568669509271013,0.822301750046111,0.7985270535646475,0.7941914309583483,0.7758515335958945,0.8678718441124456,0.8458329807201987,0.8727323720556803,0.7936174852716207,0.8319534767655069,0.7696142954789571,0.7944917488526512,0.8779541928414109,0.7677775607850796,0.8809899206891687,0.8291717388709869,0.7036479727457171,0.8074107346287798,0.7600568520869273,0.8188049127146872,0.8232054161377469,0.7561587952565396,0.7743151167963198,0.7790638934999837,0.8780964315550783,0.8245053108962883
arrhythmia,0.3971782316044611,0.45726459333016706,0.3917368969827987,0.3385578901972345,0.41944918469508635,0.3651478576068739,0.3984246900640343,0.3468319112581407,0.32463066987657146,0.4535551879814174,0.32778418303008466,0.44933263457853617,0.4216391804916395,0.31038491563081727,0.3779962660290529,0.43588389752324175,0.37517804599771815,0.39453650174961646,0.38037274201208626,0.39237969680592627,0.4223174639568082,0.32896758978726187,0.427152628791973,0.3348982165375608,0.3653333005792022,0.313119885578902,0.3776320400910565,0.4102760627350791,0.4018412734806177,0.42374270538204956
audiology-std,0.2874810911042795,0.40024764553750064,0.3276631044746987,0.4084711852827795,0.3334711852827795,0.3061679597911482,0.28635875664861177,0.3613916947250281,0.3366137217586493,0.3412994681110623,0.3525203728102279,0.37030693407505,0.30883594398087155,0.3726150392817059,0.36871492704826037,0.3116137217586493,0.33986361196506126,0.38332845361830864,0.4227248328697604,0.3717427902210511,0.43686624701117455,0.3835834187283463,0.38245864441516614,0.3286427072658957,0.333330893475821,0.3616442199775533,0.3369784804567414,0.3979773581222857,0.4281681549797492,0.30313765676084514
balance-scale,0.8240740740740741,0.6944444444444445,0.7037037037037037,0.7962962962962964,0.8171296296296297,0.7754629629629629,0.7662037037037037,0.7060185185185186,0.7106481481481483,0.8356481481481483,0.7754629629629629,0.875,0.6851851851851851,0.8171296296296297,0.7083333333333334,0.7592592592592592,0.7430555555555555,0.7870370370370371,0.8773148148148149,0.736111111111111,0.7986111111111112,0.7546296296296297,0.763888888888889,0.8379629629629629,0.7893518518518517,0.7268518518518517,0.7916666666666666,0.7870370370370371,0.8263888888888888,0.7986111111111112
balloons,0.5416666666666666,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.875,0.8333333333333333,0.7083333333333333,0.8333333333333333,0.7083333333333333,1.0,0.8333333333333333,0.6666666666666666,0.5416666666666666,0.5,0.8333333333333333,1.0,1.0,0.8333333333333333,1.0,0.6666666666666666,0.5,0.6666666666666666,0.7083333333333333,1.0,0.5416666666666666
bank,0.6334807692307692,0.6106538461538461,0.6666923076923077,0.6109038461538462,0.6070576923076924,0.6600961538461538,0.6378269230769231,0.66275,0.68275,0.6469423076923078,0.63875,0.6088076923076923,0.6195192307692308,0.6378269230769231,0.6448461538461538,0.6494615384615384,0.6298846153846154,0.63925,0.5955961538461538,0.6318846153846154,0.6190961538461539,0.6704615384615384,0.6488653846153847,0.6209423076923077,0.5904230769230769,0.6450192307692308,0.64,0.6228653846153847,0.6419230769230769,0.6603461538461538
blood,0.61377882909521,0.6253696037847427,0.5593534397792234,0.6007884880741179,0.5783165779617583,0.6085156712004731,0.6344963532426572,0.589197713384585,0.6250147841513897,0.5965700768775872,0.5618174650108417,0.6236152178198305,0.5744529863985807,0.6337867139759511,0.6323871476443919,0.6025428740390302,0.6064064656022078,0.6344963532426572,0.5976345357776464,0.6854129706288192,0.6495958998620146,0.6028976936723832,0.538281095998423,0.5899073526512911,0.5913069189828504,0.6123792627636507,0.5965700768775872,0.6790853538340232,0.6278336290163611,0.576207372363493
breast-cancer,0.6385714285714286,0.569047619047619,0.6950000000000001,0.6861904761904762,0.6116666666666667,0.5828571428571429,0.6047619047619048,0.6373809523809524,0.6166666666666667,0.6811904761904762,0.6442857142857142,0.6116666666666667,0.6799999999999999,0.6535714285714286,0.6554761904761905,0.6473809523809524,0.6085714285714285,0.6316666666666667,0.6235714285714286,0.7030952380952381,0.6009523809523809,0.7150000000000001,0.6442857142857142,0.6354761904761905,0.6135714285714285,0.6116666666666667,0.6435714285714286,0.6097619047619047,0.6592857142857143,0.6423809523809524
breast-cancer-wisc,0.9702328966521107,0.9575327510917031,0.9597161572052402,0.9513828238719069,0.980749636098981,0.9892831149927219,0.9745997088791849,0.9597161572052402,0.966066229985444,0.9743995633187773,0.9638828238719068,0.9765829694323144,0.9638828238719068,0.9597161572052402,0.9787663755458516,0.9787663755458516,0.9702328966521107,0.9406659388646288,0.9638828238719068,0.9682496360989811,0.9680494905385735,0.966066229985444,0.9787663755458516,0.978566229985444,0.9743995633187773,0.9575327510917031,0.9722161572052401,0.9577328966521106,0.9658660844250364,0.9702328966521107
breast-cancer-wisc-diag,0.9755140979436082,0.9783230867076531,0.9896650413398347,0.9755140979436082,0.9727051091795633,0.9727051091795633,0.9707971168115328,0.9632711469154123,0.9660801356794573,0.9830400678397286,0.9707971168115328,0.9755140979436082,0.9783230867076531,0.9774220903116387,0.9802310790756836,0.9783230867076531,0.9707971168115328,0.9698961204155183,0.9849480602077592,0.9755140979436082,0.9585541657833369,0.9830400678397286,0.9707971168115328,0.9727051091795633,0.9604621581513674,0.9538371846512614,0.9774220903116387,0.9736061055755777,0.9877570489718042,0.9698961204155183
breast-cancer-wisc-prog,0.732463768115942,0.623768115942029,0.6255072463768117,0.638840579710145,0.6321739130434783,0.6539130434782608,0.6623188405797101,0.5252173913043479,0.6689855072463768,0.6171014492753624,0.5971014492753624,0.6889855072463769,0.6756521739130434,0.638840579710145,0.6756521739130434,0.6472463768115941,0.6756521739130434,0.6321739130434783,0.6321739130434783,0.6020289855072464,0.6840579710144927,0.7191304347826086,0.5953623188405798,0.5904347826086956,0.5904347826086956,0.6756521739130434,0.732463768115942,0.6823188405797102,0.6121739130434782,0.6991304347826087
breast-tissue,0.6146765271765272,0.5972101972101972,0.7052849927849928,0.7386844636844637,0.6546897546897547,0.6596560846560847,0.593512506012506,0.6649410774410774,0.7107082732082732,0.6493386243386242,0.5938431938431938,0.5681096681096681,0.673599086099086,0.5693722943722943,0.7624939874939876,0.7239357864357864,0.6320707070707071,0.7670634920634921,0.7121693121693121,0.6706228956228957,0.7568121693121693,0.6936507936507935,0.5783670033670033,0.6585978835978836,0.680489417989418,0.698941798941799,0.6641474266474267,0.7194444444444444,0.7068783068783069,0.6497895622895623
car,0.9282038719413385,0.9092551095851564,0.929092732134176,0.9381609797844758,0.9343474011505428,0.9603285529087668,0.9453021187813968,0.9433229774347756,0.9424804529249716,0.9711423644871171,0.9112909678334143,0.9182609433236105,0.9589801338924,0.9512905627126884,0.9159631492059634,0.9338878423270135,0.9351435899773132,0.9350509186112461,0.9464330386080052,0.9424804529249716,0.9498173158726301,0.9303324015556637,0.9489908695916384,0.9464793742910387,0.9477351219413385,0.948623982134176,0.9559608450818344,0.9277906488008426,0.9351738474315345,0.9173579039053639
