TRAINTESTDIFFSBALACC:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
abalone,-0.0018269133835718118,-0.004111867295182326,-0.004465425190181501
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,-0.0013333333333333346,-0.0020000000000000018
adult,-0.0014463039017177084,-0.0017778105814605593,-0.0018261463960793903
annealing,-0.05007162384358317,-0.06908433038287083,-0.06817949231792662
arrhythmia,-0.0022292777007045035,-0.022353115502178954,-0.0298297308961351
audiology-std,-0.23738239886790616,-0.24946030351827456,-0.2448971600058557
balance-scale,-0.10262962962962958,-0.09995061728395065,-0.07675925925925926
balloons,0.1613888888888888,0.0808333333333333,-0.014444444444444492
bank,-0.0038374619314274403,-0.010772315551625885,-0.011423256213773455
blood,0.005016755371575003,-0.0037131217557000956,-0.0016058873776200744
breast-cancer,0.03120098023091347,0.016435272597027147,0.009600603415823306
breast-cancer-wisc,0.005636726534900401,0.004457426588232449,0.0045951676350644045
breast-cancer-wisc-diag,0.005176470541790098,0.0031359787037574544,0.002697847122950444
breast-cancer-wisc-prog,0.00959007119247394,-0.010331744215611479,-0.010889333841850994
breast-tissue,0.007982202982202983,-0.016595719095719094,-0.02373216289882957
car,-0.0012707732886543181,-0.01267376544281628,-0.011914492639342255
cardiotocography-3clases,0.0013529629792106404,-0.007371419084381714,-0.0077941047258481095
cardiotocography-10clases,-0.01040256323530054,-0.01595500733387717,-0.01871460359359658
chess-krvk,-0.01341584869302184,-0.013640139353294797,-0.01306831402585803
chess-krvkp,3.697579549009659E-4,1.680775147674544E-4,1.8798507055906762E-4
congressional-voting,0.0021658624172370966,-0.007055885983615787,-0.007612158505717054
conn-bench-sonar-mines-rocks,0.010027185116470837,-0.004920634920634896,-0.007765022675736951
conn-bench-vowel-deterding,-0.007272727272727264,-0.01077441077441077,-0.010370370370370374
connect-4,-0.0052481022151435386,-0.010757080755787988,-0.01121556754642636
contrac,0.005205277907368946,-0.007474460430971606,-0.010146687648072108
credit-approval,2.83105914506047E-4,-0.0038329073101555458,-0.00459305960802534
cylinder-bands,0.001141025641025654,-0.013393162393162395,-0.015034188034188042
dermatology,0.0053057546794106165,9.730187176423895E-4,2.1067303863006037E-4
echocardiogram,0.05256132756132758,0.029094516594516603,0.02644300144300144
ecoli,-0.012755130049967185,-0.020272931930845745,-0.02037090223682689
energy-y1,0.005404549903697368,9.673676233778424E-4,-8.624346142106943E-4
energy-y2,0.010365506882205323,0.003317523618781178,0.002962761333127839
fertility,0.021212121212121217,-0.003535353535353536,-0.00378787878787879
flags,0.014078271265771268,0.007154049654049655,0.009524063899063882
glass,-0.0011053095702218537,-0.025660563445651145,-0.03782152139608278
haberman-survival,0.04155047768081979,0.02338378017945792,0.015593349470157152
hayes-roth,-0.011881313131313138,-0.032962962962963,-0.03640993265993268
heart-cleveland,0.017198563255473844,5.951305544801694E-4,-0.0016922360633503516
heart-hungarian,-0.0027264820018734278,-0.015375351264552395,-0.017285561354208476
heart-switzerland,0.06894444444444445,0.04002777777777779,0.01705555555555555
heart-va,0.057734554334554336,0.021352380952380966,-4.542124542123346E-5
hepatitis,0.027846818261942484,0.004691631411951306,-3.547505728891731E-4
hill-valley,0.01160616061606162,0.0037953795379537915,-9.900990099009947E-4
horse-colic,0.009068627450980379,-7.014874915483545E-4,-7.606490872211028E-4
ilpd-indian-liver,0.020740103270223756,0.005501723009253116,0.0038472111890786365
image-segmentation,4.3290043290046635E-4,-0.0016161616161615895,-0.0014718614718614205
ionosphere,-4.916420845624343E-4,-0.005880536826333275,-0.00764971672051317
iris,0.01066666666666668,0.006222222222222232,0.005777777777777785
led-display,0.008143062976318822,0.0052207625796933865,0.005282705538695176
lenses,-0.0505291005291005,-0.17175925925925922,-0.23234126984126974
letter,-0.004368240344371229,-0.005453408889714891,-0.005986752828188531
libras,-0.001481481481481491,-0.015185185185185194,-0.02185185185185184
low-res-spect,-0.12817157494450684,-0.13691329560655474,-0.14021530635633025
lung-cancer,0.1958465608465609,0.017910052910052935,-0.06412698412698413
lymphography,-0.1605939111810473,-0.17031728079377564,-0.1935230898679955
magic,-0.0019224598702252053,-0.004766335465724732,-0.004737446399222759
mammographic,-0.0012079109039167535,-0.005449327730066093,-0.005470952232866951
miniboone,-2.2984041555736598E-4,-0.0021951345086492252,-0.0024813724260779953
molec-biol-promoter,0.043494776828110183,0.01657169990503326,0.009449192782526135
molec-biol-splice,0.0010083793309477063,0.0025131057138107924,0.007422579880384647
monks-1,-0.0014388489208633042,-0.004676258992805782,-0.006115107913669093
monks-2,-0.01803506870654866,-0.02981260289056849,-0.027793906737773467
monks-3,9.059106098579961E-4,-0.003607108047897526,-0.003115427457532723
mushroom,0.0,0.0,0.0
musk-1,-0.0065832208690731735,-0.010642287552638737,-0.012398871442307198
musk-2,-0.016817238270591343,-0.018059162849410542,-0.01826275187631783
nursery,-2.129525942452711E-4,-0.0036316474776679096,-0.0039524489870681545
oocytes_merluccius_nucleus_4d,-0.009930269359749676,-0.014577666374741498,-0.013837828042983802
oocytes_merluccius_states_2f,0.0042243348111482,0.0026419757835945633,0.002384902968382215
oocytes_trisopterus_nucleus_2f,-0.011227493573065909,-0.014501768146903715,-0.014237869301826538
oocytes_trisopterus_states_5b,0.0029599037561704824,-0.0014235974128037898,-0.0014833345693151423
optical,-0.0016635945980511065,-0.002054690434606691,-0.00200806318772521
ozone,0.01518582925213714,0.00879601984140977,0.008809547979937908
page-blocks,-0.01321430694259647,-0.021556863342607643,-0.02081983006038677
parkinsons,-0.007579240199103229,-0.025556121189682854,-0.02508355958698426
pendigits,-3.494371157838017E-4,-4.5643845098511935E-4,-4.74892219438879E-4
pima,0.005491542288557217,0.0019283582089552312,-0.0019144278606965288
pittsburg-bridges-MATERIAL,0.05849002849002846,0.040847578347578316,0.032763532763532735
pittsburg-bridges-REL-L,0.0458750309240505,0.02225367829942993,0.006885588993432129
pittsburg-bridges-SPAN,0.024031986531986533,-0.028072390572390565,-0.0385942760942761
pittsburg-bridges-T-OR-D,0.07316017316017319,0.038528138528138564,0.037012987012987025
pittsburg-bridges-TYPE,0.002254689754689778,-0.023167388167388146,-0.034188311688311664
planning,0.03243589743589745,0.020384615384615393,0.02282051282051283
plant-margin,-0.020166666666666673,-0.02720833333333333,-0.02933333333333333
plant-shape,-0.023208333333333327,-0.029375,-0.030125
plant-texture,-0.018196428571428523,-0.023119047619047584,-0.024619047619047582
post-operative,0.03402777777777779,0.004745370370370384,0.007754629629629634
primary-tumor,0.023699108883319393,-0.0014891395154553067,-0.009293233082706772
ringnorm,-8.567453378591031E-4,-0.001690386467557492,-0.0017085815185036305
seeds,-0.003492063492063513,-0.010793650793650815,-0.009206349206349218
semeion,0.003508313058770111,0.001912527755882169,0.0020360687978479342
soybean,-7.748057989603541E-4,-0.005187816745787706,-0.0069664728722699165
spambase,1.3920288485462783E-4,-0.0017518746765751677,-0.0017905434475861423
spect,0.04868631368631373,0.010462315462315467,0.003887778887778885
spectf,0.007478536487970437,-0.006699444278060647,-0.009438953778576427
statlog-australian-credit,0.018861168861168846,0.00821205821205818,0.006841456841456833
statlog-german-credit,0.007968253968253965,-0.00357142857142857,-0.005507936507936506
statlog-heart,0.02816666666666668,0.011666666666666669,0.009222222222222213
statlog-image,3.4632034632037234E-4,-0.0015584415584415665,-0.0016161616161616192
statlog-landsat,-0.00467294335933656,-0.007258624759376734,-0.007202614412482033
statlog-shuttle,-0.007683142089303596,-0.031003894598737147,-0.03138552194126735
statlog-vehicle,-0.007153560832878237,-0.01330900658344258,-0.014031486027547991
steel-plates,-0.0027238960854010824,-0.0047204782209325745,-0.003886252082902297
synthetic-control,6.666666666666673E-4,-4.444444444444436E-4,-9.999999999999712E-4
teaching,0.01837749287749285,-0.01444729344729347,-0.019756410256410287
thyroid,0.0048405272690705495,0.004030115339105067,0.001999648629085012
tic-tac-toe,0.0018726663843873855,-5.491615022389928E-4,-4.0160642570281625E-4
titanic,0.0016541967285198188,8.083261907113578E-4,-2.0994175090005562E-4
trains,0.21388888888888896,0.10000000000000007,0.044444444444444495
twonorm,7.797511539543149E-4,6.265637572755E-4,5.094075769187745E-4
