TRAINNLLRANKS:,CAWPE-A(alpha=4),CAWPE-A(ConTie),CAWPE-A(RandTie)
abalone,2.0,1.0,3.0
acute-inflammation,1.0,3.0,2.0
acute-nephritis,2.0,3.0,1.0
adult,2.0,1.0,3.0
annealing,2.0,1.0,3.0
arrhythmia,1.0,2.0,3.0
audiology-std,2.0,3.0,1.0
balance-scale,2.0,1.0,3.0
balloons,1.0,2.0,3.0
bank,1.0,3.0,2.0
blood,2.0,1.0,3.0
breast-cancer,1.0,3.0,2.0
breast-cancer-wisc,2.0,3.0,1.0
breast-cancer-wisc-diag,2.0,1.0,3.0
breast-cancer-wisc-prog,1.0,3.0,2.0
breast-tissue,1.0,3.0,2.0
car,2.0,1.0,3.0
cardiotocography-3clases,1.0,3.0,2.0
cardiotocography-10clases,1.0,3.0,2.0
chess-krvk,2.0,1.0,3.0
chess-krvkp,2.0,1.0,3.0
congressional-voting,1.0,3.0,2.0
conn-bench-sonar-mines-rocks,1.0,3.0,2.0
conn-bench-vowel-deterding,2.0,3.0,1.0
connect-4,2.0,1.0,3.0
contrac,2.0,1.0,3.0
credit-approval,1.0,3.0,2.0
cylinder-bands,1.0,3.0,2.0
dermatology,3.0,1.0,2.0
echocardiogram,2.0,1.0,3.0
ecoli,2.0,1.0,3.0
energy-y1,2.0,1.0,3.0
energy-y2,1.0,3.0,2.0
fertility,2.0,1.0,3.0
flags,2.0,1.0,3.0
glass,1.0,2.0,3.0
haberman-survival,2.0,1.0,3.0
hayes-roth,1.0,2.0,3.0
heart-cleveland,2.0,1.0,3.0
heart-hungarian,1.0,3.0,2.0
heart-switzerland,1.0,3.0,2.0
heart-va,1.0,3.0,2.0
hepatitis,1.0,3.0,2.0
hill-valley,2.0,1.0,3.0
horse-colic,2.0,1.0,3.0
ilpd-indian-liver,1.0,3.0,2.0
image-segmentation,2.0,1.0,3.0
ionosphere,2.0,1.0,3.0
iris,1.0,3.0,2.0
led-display,1.0,3.0,2.0
lenses,1.0,2.0,3.0
letter,2.0,1.0,3.0
libras,2.0,1.0,3.0
low-res-spect,1.0,2.0,3.0
lung-cancer,1.0,2.0,3.0
lymphography,1.0,3.0,2.0
magic,2.0,1.0,3.0
mammographic,2.0,1.0,3.0
miniboone,2.0,1.0,3.0
molec-biol-promoter,2.0,1.0,3.0
molec-biol-splice,2.0,1.0,3.0
monks-1,2.0,1.0,3.0
monks-2,2.0,1.0,3.0
monks-3,2.0,1.0,3.0
mushroom,1.0,3.0,2.0
musk-1,2.0,1.0,3.0
musk-2,2.0,1.0,3.0
nursery,2.0,1.0,3.0
oocytes_merluccius_nucleus_4d,2.0,1.0,3.0
oocytes_merluccius_states_2f,1.0,3.0,2.0
oocytes_trisopterus_nucleus_2f,2.0,1.0,3.0
oocytes_trisopterus_states_5b,2.0,1.0,3.0
optical,2.0,1.0,3.0
ozone,2.0,3.0,1.0
page-blocks,1.0,3.0,2.0
parkinsons,2.0,1.0,3.0
pendigits,2.0,1.0,3.0
pima,2.0,1.0,3.0
pittsburg-bridges-MATERIAL,1.0,3.0,2.0
pittsburg-bridges-REL-L,2.0,1.0,3.0
pittsburg-bridges-SPAN,1.0,3.0,2.0
pittsburg-bridges-T-OR-D,2.0,3.0,1.0
pittsburg-bridges-TYPE,1.0,3.0,2.0
planning,1.0,2.0,3.0
plant-margin,2.0,3.0,1.0
plant-shape,1.0,2.0,3.0
plant-texture,2.0,3.0,1.0
post-operative,1.0,3.0,2.0
primary-tumor,2.0,1.0,3.0
ringnorm,2.0,1.0,3.0
seeds,1.0,3.0,2.0
semeion,1.0,2.0,3.0
soybean,2.0,1.0,3.0
spambase,2.0,1.0,3.0
spect,1.0,2.0,3.0
spectf,1.0,3.0,2.0
statlog-australian-credit,2.0,1.0,3.0
statlog-german-credit,1.0,3.0,2.0
statlog-heart,1.0,3.0,2.0
statlog-image,2.0,1.0,3.0
statlog-landsat,1.0,3.0,2.0
statlog-shuttle,2.0,1.0,3.0
statlog-vehicle,2.0,1.0,3.0
steel-plates,1.0,2.0,3.0
synthetic-control,3.0,2.0,1.0
teaching,1.0,3.0,2.0
thyroid,2.0,1.0,3.0
tic-tac-toe,2.0,1.0,3.0
titanic,2.0,1.0,3.0
trains,1.0,3.0,2.0
twonorm,2.0,1.0,3.0
vertebral-column-2clases,1.0,3.0,2.0
vertebral-column-3clases,1.0,3.0,2.0
wall-following,2.0,1.0,3.0
waveform,2.0,3.0,1.0
waveform-noise,2.0,1.0,3.0
wine,3.0,1.0,2.0
wine-quality-red,2.0,1.0,3.0
wine-quality-white,1.0,2.0,3.0
yeast,2.0,1.0,3.0
zoo,1.0,2.0,3.0
