folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,-0.009266925511733914,0.004976889302096721,0.019880918736026265,0.01167676961658004,-0.034004154537314424,0.06728579072201746,-0.05707682004872616,0.015026279064233483,0.003077038498485285,3.6409062488718114E-4,-0.0038864629151662555,0.00734061933559671,0.036287084457827135,-0.01948389808405082,-0.00594145508877153,0.01024182275009955,0.04152702012283416,-0.022136002196774696,0.01880467667526675,0.03597799692272541,0.04297353017108718,0.0308659339375692,-0.008398284894772567,-0.027559311561875743,0.0020152836896452087,0.01842374741011432,0.03665360545969021,0.022734433718194724,0.010373509096339939,0.039582220658485934
acute-inflammation,0.08446630415316289,0.1010499150810272,0.1456589538779377,0.06628375209879447,0.07784546542360471,0.1158376636529482,0.07535880603308981,0.07062290006460306,0.09199927471324845,0.06890445893606076,0.10903059524475389,0.06565583315336086,0.06518282923967537,0.09657597395590942,0.11129791207100437,0.06275841442002689,0.13418489077230425,0.13000078204236148,0.10194591402085287,0.07015398004841367,0.09236583610482675,0.06720474072517474,0.09706531993456748,0.0962537580622916,0.09668224735591263,0.08834559715681073,0.1061059056865467,0.10294233019862409,0.1262704389997828,0.07383795073150613
acute-nephritis,0.07838665693811524,0.08476381882297217,0.08279099200880365,0.08266609005030956,0.04471901209279754,0.10771467922246897,0.029513791125933372,0.08112455722543276,0.08248224057702044,0.07551678311687596,0.07921345104933225,0.023703643494910373,0.0757106548048454,0.11413280733272112,0.033830272084265756,0.07491173081702256,0.016194808433408946,0.047912393868548085,0.006247328652787459,0.0961704818187641,0.06877200772032405,0.11992993906158475,0.12092333523407787,0.0629392321394018,0.06606531652746635,0.050197642856203026,0.06858234530150281,0.03423067506575135,0.030628042088699986,0.035763575110749166
adult,-0.009844519235935933,0.009581644335756312,0.004754262988194702,0.01352981290552513,0.012916668291888145,0.004463013900419921,0.0010099935870402366,-0.005996830627207739,0.010184368030001112,0.008888827927081566,0.016072813912140216,0.00633751123009102,0.005929059391603375,-0.011703128042676203,0.001610133658503765,-1.9180812828900606E-4,-5.073821162600578E-4,0.004532459926092081,-0.004039375394960076,0.002354438613349996,0.0046944342958438745,0.007618207771358243,0.004935405032486129,0.013895000563070081,0.008685997148054736,0.010860295692663335,0.006553670535766831,0.013741179625925026,-0.011317686369431812,-0.0062674656086949
annealing,0.1082934304313917,0.027009453967470398,0.019137179620428435,3.8427665697648994E-4,0.09240594837041383,0.0229672726816465,0.1172561418233723,0.08530473309741371,0.005031048395971238,-0.016249541737674927,0.05456963964970196,-0.0026854113103609856,0.004706350632460887,-0.026549628218743848,0.04070441162556421,0.032741999558218604,-0.0503604736702129,0.06019941325742792,-0.07163735786205389,0.051843191435917396,0.02856236860898209,-6.031353424083008E-4,0.09052818526031373,-0.01678602878328117,-0.014585704460143345,0.002955406478586775,0.098748847466848,0.12265852022846718,-0.008347718251764058,-0.03247281153738968
arrhythmia,-0.19741538845701112,-0.12154273741640775,0.032516826934382737,0.14627497101593456,0.14967965693622176,0.12079015974884011,-0.16121586776731167,-0.01652238689228369,0.22726256635020525,-0.07918362484212693,0.2513605003436834,-0.10691719516410347,-0.043625032460707924,0.0609426556289534,0.12932361560290762,0.013310721246482471,0.08843825759719692,-0.03284087502500288,-0.009559572134649752,-0.004248891301922297,0.14630676347886507,0.08511970220859078,-0.07071410796703881,0.05824527610923558,0.2399218931470224,0.10656858805977887,-0.0422100758484838,-0.15612628354133173,0.19632116040204628,-0.03479543024836196
audiology-std,0.8741119753089386,0.5102118947080794,0.6942348819918837,0.5669291805818031,0.6751173370673573,0.7719145784490142,0.9250956225376052,0.79022190263463,0.6377523468026012,0.7389966390341456,0.6229762290629878,0.5851105526120248,0.8089281391134516,0.7439263802482441,0.47115546273417097,0.5881242297373954,0.8691150945491268,0.5617926774749189,0.26226085818100797,0.736584443070041,0.58124574487677,0.34103623156441265,0.5198705013870035,0.8827005640377633,0.80995511046482,0.6897690766657565,0.820163067409107,0.5660783061224132,0.7100223238399945,0.7256511711769074
balance-scale,0.06250925975115446,0.06367953088331213,0.013583469216643329,0.049434756778426625,0.018966872692883885,0.0986811921288615,0.08363714210509282,0.07637695905311348,-0.05603222840347555,0.040243044942975426,0.07558376760943614,-0.007764618647245258,0.013503356969018943,-0.012368878297736308,0.10466391033739997,0.032537157369474934,0.0723431679542424,0.0794395228329769,0.03193163672852689,0.037430332439329306,0.02200051655587787,0.08400709009405188,-0.006292738530545627,0.041430202927209614,-0.01616797307402379,0.010819812225093928,0.12682972683131566,0.008460707383035893,0.05239370408613819,0.056603276536655533
balloons,0.5493871982445216,0.20600458719765447,0.5127931445905904,0.06486013526425405,-0.9545848864575008,-0.7053378085185891,-0.549425138897273,0.5571359351610979,-0.8642229542574752,-0.3174330405141177,-0.027184915378383856,-0.26430202940550307,-0.11717689201007253,0.23585896408897855,-0.20789055040461302,-7.84399994935514E-4,0.2862600696795363,0.3719491505022028,0.5638514055278049,0.17976865808009834,0.012104540123179186,-0.7048729203403208,0.4119611817486829,-0.7613883052359042,-0.38336211321237657,0.7692602740127434,0.25626431168335984,0.049456854254511295,-0.7756935038211998,0.29141235242039154
bank,0.005189833128542043,0.03267990912870977,-0.007399501756919391,0.03305046492302488,0.012833492416681469,7.545906460993401E-4,0.011446223991990079,-0.012128608415736986,-9.627296094080195E-4,-0.006957632619110865,-0.006950906178373073,0.028951222223222994,0.020252093916738323,-0.011295671564293008,0.0033503443114810683,-0.021861901299714492,0.023714992712949745,0.003173636465755969,0.03253700117058783,0.008296786214888496,0.010562232454948028,-8.12342470623284E-4,-0.004397461433870875,0.005595304522815536,0.030972255658067382,-0.012084541958922779,0.0011130641579170097,0.014603267087825111,0.006921914710887378,-0.00289887146218315
