TRAINACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
abalone,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
acute-inflammation,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
acute-nephritis,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,17.0
adult,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
annealing,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
arrhythmia,11.0,7.0,9.0,8.0,2.5,1.0,2.5,5.0,4.0,6.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0
audiology-std,7.5,3.0,9.0,10.5,10.5,7.5,2.0,6.0,5.0,1.0,4.0,12.0,13.0,14.0,16.0,15.0,17.0
balance-scale,3.0,5.0,1.0,2.0,7.5,9.5,11.0,9.5,13.0,6.0,4.0,7.5,12.0,14.0,15.0,17.0,16.0
balloons,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,6.5,3.0,6.5,10.0,13.0,15.0,16.0,17.0,14.0
bank,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,9.0,12.0,13.5,13.5,15.5,15.5,17.0,8.0
blood,3.0,1.0,2.0,6.0,7.0,4.5,8.5,8.5,10.0,4.5,11.0,12.0,14.0,13.0,15.0,16.0,17.0
breast-cancer,3.0,2.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,15.0
breast-cancer-wisc,5.5,5.5,3.5,1.5,1.5,3.5,7.0,8.0,9.5,9.5,11.5,13.0,11.5,14.5,14.5,16.0,17.0
breast-cancer-wisc-diag,1.0,2.0,3.0,4.5,4.5,7.5,7.5,9.0,10.0,11.0,16.0,16.0,16.0,13.5,12.0,13.5,6.0
breast-cancer-wisc-prog,1.0,5.5,7.0,3.5,5.5,2.0,3.5,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
breast-tissue,6.5,9.0,11.5,6.5,11.5,9.0,5.0,4.0,9.0,2.0,1.0,3.0,13.0,14.0,15.0,16.0,17.0
car,7.0,5.0,3.0,1.0,2.0,6.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
cardiotocography-3clases,1.5,1.5,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
cardiotocography-10clases,4.5,4.5,3.0,2.0,1.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
chess-krvk,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,2.0,1.0,3.0,17.0
chess-krvkp,1.0,2.0,3.0,4.0,5.5,5.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
congressional-voting,1.0,2.5,4.5,4.5,2.5,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
conn-bench-sonar-mines-rocks,7.0,3.0,6.0,2.0,4.5,1.0,4.5,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
conn-bench-vowel-deterding,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
connect-4,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
contrac,1.0,4.0,2.0,3.0,5.0,7.0,6.0,10.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
credit-approval,1.0,7.0,8.0,4.5,4.5,6.0,2.5,2.5,9.0,10.0,11.0,12.5,12.5,14.0,15.0,16.0,17.0
cylinder-bands,8.0,5.0,3.5,2.0,3.5,1.0,6.5,6.5,9.5,9.5,11.0,12.0,13.0,15.0,14.0,16.0,17.0
dermatology,11.5,13.5,13.5,15.5,15.5,11.5,4.0,8.5,8.5,8.5,8.5,4.0,4.0,1.0,4.0,4.0,17.0
echocardiogram,1.0,2.0,3.0,4.0,5.5,7.0,8.0,10.0,13.0,12.0,10.0,10.0,14.0,15.0,16.0,17.0,5.5
ecoli,5.5,7.0,9.0,10.0,5.5,3.0,2.0,1.0,4.0,8.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0
energy-y1,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
energy-y2,1.0,3.0,2.0,5.0,6.5,4.0,9.0,6.5,8.0,10.0,11.0,12.5,14.0,15.0,12.5,16.0,17.0
fertility,1.0,3.0,5.5,3.0,3.0,5.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
flags,12.0,10.0,11.0,9.0,7.5,7.5,6.0,3.5,3.5,2.0,1.0,5.0,13.0,14.0,15.0,16.0,17.0
glass,9.5,11.0,13.0,12.0,9.5,8.0,7.0,4.5,1.0,2.0,4.5,3.0,6.0,14.0,15.0,16.0,17.0
haberman-survival,2.0,3.5,3.5,1.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,15.0,17.0,16.0,14.0,11.0
hayes-roth,4.0,10.0,6.5,6.5,6.5,6.5,9.0,1.0,2.0,3.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
heart-cleveland,5.0,7.0,9.0,10.0,4.0,2.0,1.0,3.0,6.0,8.0,11.0,12.0,14.0,15.5,15.5,17.0,13.0
heart-hungarian,2.5,2.5,2.5,2.5,6.0,5.0,7.0,8.0,9.5,9.5,11.0,12.0,13.0,14.5,14.5,16.0,17.0
heart-switzerland,1.0,3.5,2.0,3.5,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
heart-va,1.0,4.5,4.5,2.0,3.0,7.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
hepatitis,1.0,2.0,3.5,3.5,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
hill-valley,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
horse-colic,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,13.0,12.0,15.0,14.0,16.0,17.0
ilpd-indian-liver,13.5,12.0,11.0,8.5,6.5,6.5,2.0,3.0,1.0,4.5,4.5,8.5,10.0,13.5,15.0,16.0,17.0
