folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.018175398857818936,0.0018909494409456995,-0.027785814669531006,-0.0033728962385054517,0.00811723519715346,-0.025396909095494302,0.007638078512917756,-0.008638805272099037,-0.003841048367313693,-0.002878608290556972,4.644839436659387E-4,0.0038206440874586356,-0.011991526492320936,-0.001943679602368742,0.0033297950630813977,0.010984609670711576,-0.0071958329416781375,0.03349328148964992,-9.8123952561191E-4,-0.020607405607279583,-0.007186203955679149,0.004286732862124443,0.001889573871517225,-0.010556119793756258,0.023441995676126703,-0.007690808674340799,-0.025876065779730117,-0.018217812248528698,-9.888051574683532E-4,0.01386161313026879
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.0016261971875762837,-0.004106533555391145,0.0017490439568893512,-0.0035741293664477425,-0.00435217008388733,-0.0048026741909307225,0.004369766092802707,0.007481764639245547,-0.0023457824006509753,-0.004966444172897266,-0.0063587858076433745,2.9222721876887015E-5,9.299794206845124E-4,0.003141352056264868,0.0017081006230134088,0.002117637921421389,0.0015443071662872843,-0.0032466028166626693,4.3884050517406514E-4,-0.0025913250301097257,-7.077438737417285E-4,3.977462621308492E-4,-0.003942619371331224,-0.006481555445604248,-1.345036641081654E-4,-0.004024603291657547,9.709831182274087E-4,-0.004229336728722499,0.0015853712274971343,9.71127320320675E-4
annealing,-0.013720238095238035,-0.011418650793650786,0.013075396825396823,-0.013690476190476253,-0.029295634920634916,0.0263591269841269,0.0018551587301587347,0.004067460317460303,-3.7698412698417005E-4,0.004156746031745984,-0.02702380952380956,-0.011428571428571344,-0.01590277777777782,0.012956349206349138,0.004057539682539746,-0.03374999999999995,0.0040972222222221966,-3.7698412698417005E-4,0.015218253968254047,-3.0753968253971475E-4,-0.0025396825396825085,-0.002519841269841283,-0.01361111111111113,0.008561507936507895,0.010853174603174587,0.015317460317460285,-0.03599206349206352,-0.04265873015873012,-0.0048313492063492,0.012996031746031811
arrhythmia,0.06545240893066984,-0.0014884449667058597,-0.020289855072463836,-0.02679200940070503,-0.011437524481002659,-0.011280846063454808,0.006737171954563248,0.04214649432040729,-0.020133176654915763,0.08609479044261659,-0.010967489228358773,0.09588719153936553,0.024285154719937307,-0.06020368194281245,-0.020133176654915763,0.0062671367019193625,-0.01609870740305519,0.06933019976498234,0.04183313748531148,0.0023893458676067514,0.007207207207207245,-0.01065413239326285,0.006737171954563248,0.08531139835487667,-0.029298864081472753,-0.028515471993732833,-0.0018018018018017834,-0.020133176654915763,0.0022326674500586785,-0.019506462984723916
audiology-std,-0.14333333333333342,-0.03916666666666668,-0.07250000000000001,0.050000000000000044,-0.05249999999999999,-0.08166666666666667,-0.011249999999999982,-0.11250000000000004,-0.011249999999999982,-0.10166666666666668,-0.1004166666666666,-0.03083333333333338,-0.11375000000000002,-4.166666666666208E-4,-0.06208333333333338,0.02791666666666659,-0.04125000000000001,-0.05125000000000002,0.008333333333333415,-0.08125000000000004,0.010833333333333361,0.04125000000000001,-0.07083333333333341,-0.060833333333333406,-0.040416666666666656,-0.11166666666666658,-0.20458333333333334,-0.010000000000000009,-0.05208333333333337,-0.10333333333333339
balance-scale,-0.0067174571966903684,0.0028876873924796875,-0.01950724993855979,-0.006727697222904894,-0.029132874580158896,-0.025866306217743884,-0.003481608912918821,-0.006686737118047015,0.03170312115999019,-0.019497009912345376,-0.032307282706643736,0.0061440157286802854,-0.013117473580732342,0.02209797657082002,-0.016322601785860535,-2.867207340050415E-4,0.012544032112722259,-0.03233800278528709,-0.013137953633161392,-0.0035020889653477605,0.015718440239206988,-0.009932825428033087,-0.003532809043991114,-0.0034918489391332352,-3.0720078643398097E-4,-0.038717539116900124,-0.009943065454247613,0.015687720160563634,-0.0034918489391332352,-0.029153354632587836
balloons,-0.23809523809523808,0.4126984126984127,-0.4920634920634921,-0.09523809523809523,0.5555555555555556,0.4126984126984127,0.5555555555555556,-0.4920634920634921,0.5555555555555556,0.19047619047619047,0.04761904761904767,0.04761904761904767,-0.2063492063492064,0.0793650793650793,0.04761904761904767,0.015873015873015817,-0.34920634920634924,0.3015873015873015,-0.38095238095238093,-0.06349206349206349,-0.2063492063492064,0.5555555555555556,0.04761904761904767,0.5555555555555556,0.12698412698412698,-0.2063492063492064,-0.015873015873015872,-0.23809523809523808,0.5555555555555556,-0.23809523809523808
bank,0.0034920721898447082,-0.004913246155471951,-0.004913637555627681,0.0021628772608252023,-0.0035860082272313187,-0.00358718242769851,-0.0018157053226506292,0.005261396594035794,-0.0031429432508914834,0.002165617061915537,-0.004470768279365767,-0.00668374476013045,0.002607507837788181,-4.6185218381733506E-5,0.0065892216225101885,0.00880180670311903,-4.6576618537463865E-5,0.0034924635900005496,0.003935332866262464,-9.313366706719117E-4,0.00349285499015628,-0.009337046416144523,0.013668084839897787,-0.0022581831987568135,-0.004913637555627681,-0.004470963979443687,0.004818135917618038,3.937485567119259E-4,0.01322384566309065,-0.004915594556406666
blood,0.010695187165775444,0.016042780748663055,-0.018716577540107027,-0.002673796791443861,-0.013368983957219305,-0.010695187165775333,0.0,0.0,0.018716577540107027,0.04278074866310155,-0.008021390374331583,0.0,-0.002673796791443861,0.010695187165775444,-0.013368983957219194,-0.021390374331550888,0.008021390374331583,-0.002673796791443861,-0.008021390374331583,0.05882352941176472,0.03208556149732622,-0.018716577540106916,-0.024064171122994638,-0.005347593582887611,0.0,0.013368983957219194,-0.008021390374331583,0.06684491978609619,-0.013368983957219194,-0.02673796791443861
breast-cancer,-0.01789906103286376,-0.052816901408450745,0.0379499217527387,0.010172143974960912,0.00997652582159625,-0.039025821596244126,-0.03217918622848204,0.01007433489827858,-0.004107981220657364,0.1011345852895148,0.045089984350547785,0.002934272300469498,0.024354460093896746,0.052034428794992205,0.04469874804381846,-0.024843505477308292,0.04528560250391234,0.031298904538341166,0.03090766823161195,0.017018779342723,-0.010954616588419341,0.09419014084507038,-0.06690140845070425,0.010367762128325464,0.017116588419405332,-0.004010172143974922,0.052230046948356756,0.017116588419405332,0.04499217527386545,0.05193661971830987
breast-cancer-wisc,0.008489562013917262,-0.017249283667621795,-0.002971756037658646,-0.017273843634875163,0.008489562013917262,0.022799836266884976,0.002758902988129308,-0.005820712239050341,-0.0029553827261563637,0.011346704871060154,0.008489562013917262,0.008489562013917262,-0.005837085550552623,0.019901760130986434,0.02851412198117076,0.019918133442488717,-0.0029635693819075604,-0.02297994269340975,-0.0029635693819075604,0.005632419156774371,-1.0642652476466896E-4,-0.002947196070405278,0.031379451494064736,-0.002947196070405278,0.011338518215308957,-1.2279983626695135E-4,-9.823986901358328E-5,-0.0029635693819075604,-9.823986901358328E-5,0.011346704871060154
breast-cancer-wisc-diag,-0.014133926365208715,-0.01064986409686186,0.017482085495428734,0.010452186805040786,0.01042747714356318,-9.883864591053726E-5,0.0034222881146528383,-0.017692117617988723,0.024487274524339075,0.01746973066468993,-0.021200889547813295,-9.883864591053726E-5,-0.0036076105757351096,-7.41289844329307E-5,0.024524339016555485,0.0034222881146528383,-0.010674573758339578,-0.003619965406473913,0.010439831974301983,0.020990857425253306,-0.01064986409686186,0.01046454163577959,0.006931060044477411,-0.014170990857425236,-0.003619965406473913,-0.01418334568816415,0.003409933283914035,-7.41289844329307E-5,0.017494440326167537,0.0034222881146528383
breast-cancer-wisc-prog,0.09714285714285709,0.0059183673469387355,0.0875510204081632,-0.044489795918367325,-0.044897959183673564,-0.03448979591836743,-0.044489795918367325,-0.07510204081632643,0.0053061224489795444,-0.044897959183673564,0.006122448979591799,0.03632653061224489,0.0463265306122449,-0.014693877551020473,0.07693877551020412,0.006122448979591799,-0.035510204081632635,0.06632653061224492,-0.024693877551020482,-0.06510204081632653,-0.03510204081632651,0.07653061224489799,-0.014285714285714346,-0.05530612244897959,-0.014897959183673537,0.06673469387755104,0.05591836734693878,0.09612244897959188,0.0463265306122449,-0.004285714285714337
breast-tissue,0.0064102564102564985,-0.12535612535612528,0.027065527065527006,-0.01139601139601143,0.027065527065527006,0.0064102564102564985,-0.08760683760683763,-0.06980056980056981,0.13960113960113962,0.00712250712250706,-0.12678062678062685,-0.12678062678062685,-0.012820512820512775,-0.014245014245014231,0.007834757834757844,0.19586894586894588,-0.013532763532763559,0.1374643874643875,0.04415954415954415,-0.08760683760683763,-0.029202279202279136,0.026353276353276334,-0.04914529914529908,0.02564102564102566,-0.08760683760683763,0.13817663817663817,-0.01139601139601143,0.026353276353276334,-0.009971509971509973,-0.012108262108262102
car,-0.005884835129505217,-0.008202332232633891,0.0022237255440424875,-0.012810534564866471,0.02305976597298043,0.0010622978050757181,-0.01861499407229794,-0.0035432253397543745,-0.0024085894748122616,0.0022371214810548157,-0.009336968097576004,0.011477638832142256,0.004538543459768674,-0.01165178601330219,-0.010495716649140285,0.006858719750299724,0.005710687948345283,0.002245159043262168,0.01034568215460252,0.005699971198735443,0.005705329573540419,-0.011659823575509543,0.0045572977715858665,0.021866187985184027,0.00570265038613782,-0.020911057676206823,-0.003551262901961838,0.005716046323150259,-0.009339647284978492,-0.005868760005090512
cardiotocography-3clases,-0.0010708267844752317,-0.018000509748948623,0.004564731036631131,-0.0029505260325956018,-0.008625023009501187,-0.0020283760248078764,0.02432104271979385,-0.01896690879741736,0.004552341305240515,-0.0048496948586154165,0.011140138481797734,-0.01425350098409861,-0.024597156733642045,-0.006725854183481372,-0.004851464820242679,-0.0038974555031646707,0.0017540319725868336,-1.5752658482359738E-4,0.00363196125907983,-1.238973139062738E-4,-0.012366721889469523,-0.010474632909958537,0.01208352802911239,-0.00391161519618255,-0.0020230661399260885,8.000226555088252E-4,0.013973847046996002,-0.004846154935361002,0.02337942313410646,0.0017257125865511869
cardiotocography-10clases,-0.004660341959007441,-9.026868207724359E-4,-0.02633721547665402,-0.009409182625933599,0.00667103260292401,0.017000601791213876,0.006623243300647896,-0.03568621898120283,-0.02443449325639846,-0.03945980388686321,-0.03190732415306741,0.004731140925342436,-0.030063011080038282,-0.006568374101738161,-0.014963361534921504,-0.014019965308506466,-0.027206272788417363,0.024484052532833034,-0.025377889482813498,0.008547205210803877,-0.03381535629579813,0.009389712910191528,0.02454246168005947,-0.01788381889624413,0.02265035930475412,0.011297745052922248,0.004752380615242968,-0.025324790258062224,-8.920669758221145E-4,-0.014979291302346986
chess-krvk,-0.015557545592146726,-0.012205090995660806,-0.01148739317059333,-0.01940337170811912,-0.02111163400614413,-0.012418440841925338,-0.008995574291603692,-0.017479604925519476,-0.017696654245109023,-0.012487511228511328,-0.020328118078732582,-0.014698779938089435,-0.01740687571916133,-0.01056301268195714,-0.029665954633236624,-0.022682121412974432,-0.01769092209413281,-0.004646619803418961,-0.01641025386680328,-0.01590858902249992,-0.009424225354677795,-0.015839030793277642,1.3025398388566423E-4,-0.008355687367022191,-0.017335162851628838,-0.01790789010661631,-0.0243193619538683,-0.013484905498376776,-0.016978956420041547,-0.023110731822495456
chess-krvkp,-0.0025101787552723742,6.14425969894361E-4,-0.0031410520742651826,0.0031152062399676383,0.00624529341483393,-0.002514877997871978,6.120763485945035E-4,-0.0018879207143788213,0.006241377379334168,-1.0181692299049416E-5,0.0031167726541674323,0.001241383253387407,0.001865207708480976,0.004363638357254507,-6.355725615924124E-4,-6.355725615924124E-4,-0.00314340169556504,6.12859555694456E-4,0.005618336131340662,-0.005018007889245113,0.003115989447067591,0.0074952919463204815,-0.005646531586938175,-0.008773485933404657,-0.002514877997871978,-0.0018863543001790273,0.009373030968400364,-0.0025172276191718357,-0.0012625298450854583,-6.347893544924599E-4
congressional-voting,0.0028326216547583938,0.012006933581363843,-0.0018179512112628249,0.007398638650488287,-0.011097957975732431,0.058047604954974075,0.007462055553206781,-0.010971124170295443,0.02113896757282374,0.03041897433729346,-0.033991459857100614,-0.020166575064473835,-0.0017756732761171623,-0.04777406671458162,0.007419777618061119,0.012028072548936675,-0.010992263137868274,-0.020187714032046666,-0.020187714032046666,0.007398638650488287,-0.02938316492622506,-0.0569695176087599,-0.02022999196719233,-0.02942544286137061,-0.00640510717456555,-0.03394918192195495,0.08540142899420788,0.011985794613791123,-0.0017968122436899936,-0.05242463958060295
conn-bench-sonar-mines-rocks,-0.08007397133610727,0.07397133610725848,-0.07147480351363844,0.03569116967175212,-0.022376329172445697,0.054553860379103036,0.016458622283864965,-0.022006472491909457,-0.0035136384650947816,-0.013037447988904383,-0.0035136384650947816,0.07230698104484512,0.025242718446601864,0.025612575127138215,0.06463245492371705,-0.012482662968099856,0.11225150254276473,0.045030050855293546,0.034766527970411465,0.01590383726306055,-0.04216366158113738,0.04410540915395278,0.10198797965788253,0.03532131299121588,0.04410540915395278,0.04484512251502537,0.02579750346740628,-0.0025889967637541256,0.09301895515487757,-0.042348589921405444
