TRAINAUROCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
abalone,0.004066414740194175,0.0040874397312585745,0.004099765997228931,0.004121546937721249,0.00415679090954962,0.004197262685807458,0.004237120767409497,0.004286368397441564,0.004329932702157867,0.004389520270352738,0.004458894240145397,0.004540363702280767,0.004635466395871481,0.00474174009938278,0.004853966290142222,0.004745342687061073,0.004994115824541426
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.001829250769564665,0.0018257620176008107,0.0018223320550887683,0.001818871741566991,0.001815904738339612,0.001813301493910112,0.00180994218902667,0.0018068650767937542,0.0018035737526073481,0.0018006944201656289,0.001797526331396384,0.0017950721087701001,0.001792657334214666,0.0017898408134527743,0.0017868521332581016,0.001944968427115084,0.001784387559027192
annealing,0.010014525630433504,0.01004270295604504,0.010057839522022391,0.010088118066038359,0.010086179346317435,0.010067487931902987,0.010124953019755927,0.010147973365355814,0.01017656995324319,0.010248202667570462,0.01028760653067666,0.010280795127289362,0.010317422834912843,0.010370661282296783,0.010359819227001703,0.019735847798797956,0.010413775899553793
arrhythmia,0.024174499771263607,0.02402317640968717,0.02393696310997837,0.02374738768003132,0.02352318998935589,0.023353655796443974,0.023087298973137653,0.023079266238022315,0.02294521332922098,0.022838231225221613,0.02287191039285685,0.02297620098723614,0.023046174791560427,0.023052504786677,0.023306168197176208,0.021502832655043016,0.02342572342603797
audiology-std,0.012775569665919908,0.012886862571067569,0.013201346013011676,0.01337886687789793,0.013446402815425234,0.013538816454658638,0.013834082328643922,0.013914111949099256,0.01403726315183997,0.01405303327902554,0.014025960042251663,0.013962208574870882,0.014172172750635264,0.014327375727290863,0.014325747874786026,0.01910150545119594,0.014426772688389305
balance-scale,0.0030989471862044667,0.003090844042516289,0.003102061116706623,0.0031256633584374064,0.0031518865351454085,0.003191442073037853,0.0032110494856414044,0.0032385433192016447,0.0032581515831555437,0.0032878270630614334,0.00333708310213932,0.0033710077503703003,0.0034275556966510998,0.0034669397480881054,0.0035041963251179844,0.0037145753343220036,0.0035301423619625086
balloons,0.2730585713673722,0.2730585713673722,0.2730585713673722,0.2730585713673722,0.2730585713673722,0.27386127875258304,0.27010475239603265,0.27010475239603265,0.268162114289528,0.2670734445363309,0.27775383038536483,0.2791727425426764,0.28105348250029344,0.285113855503824,0.29792813725472705,0.27485047601100093,0.31834100610600324
bank,0.008701540314036341,0.008700913071114848,0.008707428107362029,0.008699101740121184,0.008710788608345392,0.008717502960905114,0.008730965920352865,0.008745231681386152,0.008744357633421043,0.00873772556064786,0.008738410912388474,0.00874171277305075,0.008744158902145381,0.008741462998569866,0.00874533046985826,0.011158240384907283,0.008741521408128295
blood,0.027855525235766346,0.02783233014765649,0.027765369023950045,0.0277428379312289,0.027743087304328725,0.02768867552338207,0.02762738264696308,0.027627604060050083,0.027629882332567243,0.027593649414847467,0.027594774130765675,0.027562932133285256,0.027509114790018517,0.027549669430333323,0.02752169065468568,0.04121069650356865,0.027467809873506437
breast-cancer,0.047723495877822444,0.04753930446781381,0.04743666771218718,0.047096025485655064,0.04701145001881993,0.04717066956426459,0.04721505145336439,0.04746871796496426,0.047805488875194015,0.048202741764373135,0.048694926681165325,0.049103289145698926,0.04943448008530861,0.05017400327286717,0.05068231760690968,0.0649962436586406,0.05203322219861087
breast-cancer-wisc,0.002671460497632861,0.002668322933485982,0.0026751002640717078,0.002687561498965294,0.0026893200228469923,0.002705743711076868,0.0027099558960126053,0.0027380812934120497,0.002740951596648159,0.002739148423976843,0.0027637384205964816,0.0027620374727994204,0.002760778510245512,0.002769585825169921,0.002777698961576712,0.001969561098100256,0.002772642012930701
breast-cancer-wisc-diag,0.005567067749769502,0.005603633123155208,0.0056295600820972245,0.005641576145726123,0.005661703737881922,0.005774033572603339,0.0058477391633845015,0.005848215355763668,0.0058760819617335175,0.005875948989351908,0.005913413906233985,0.00591586711058878,0.00593738511959687,0.005945326802499306,0.005972757908058367,0.0053640032784306665,0.00600469174115637
breast-cancer-wisc-prog,0.07367866469044038,0.07363008751996479,0.07307860832841134,0.07307416810563415,0.072666261137678,0.07228992373630815,0.07230028935851986,0.07208389787355603,0.07167979447444854,0.07185108033247613,0.07233486185565885,0.07285964560882167,0.0732235391993956,0.07321906556023447,0.07361131674358302,0.04349120802284927,0.07501502777529041
breast-tissue,0.02012262613464323,0.02007634627341609,0.02005852209619801,0.02010883181322971,0.0200810295063719,0.019746891790022467,0.01947416414539913,0.019092170478363868,0.019030907961256418,0.019078685560822657,0.01923979965374919,0.01924382095467012,0.019269107661847622,0.01985830562310694,0.019843243353173026,0.01832806951688627,0.020382939704670425
car,9.070387467877226E-4,9.178170055388913E-4,9.259445426943036E-4,9.402781384322002E-4,9.627352993370415E-4,9.915344608181554E-4,0.0010120355095371509,0.001036647833842236,0.0010642422300745301,0.0010905230187615558,0.0011080994577036514,0.0011358058136949252,0.0011630855440603505,0.0011908323881886682,0.0012145189715368192,0.005821559562439331,0.0012612138341500097
cardiotocography-3clases,0.0025039894122093984,0.0024977938169248597,0.0024815531362287133,0.002470925927702431,0.00246558221470443,0.0024553708127012454,0.0024442469156341668,0.002439928738715093,0.0024260788696420094,0.0024227621494614,0.0024160365029915454,0.002411482632649187,0.002391419502491594,0.0023867726888270107,0.002382623002898912,0.003964544287064888,0.0023843008226988936
cardiotocography-10clases,0.0016762593581193977,0.0016815844825511764,0.0016777794930640242,0.0016800419920271047,0.001676652118340194,0.001680076200288921,0.0016826932227481063,0.0016825981514552377,0.0016874742325719255,0.0016822736972421412,0.0016846957573675516,0.0016886929474225014,0.0016889058041814232,0.0016956356784716003,0.001702878832871285,0.001577369395678311,0.0017094085765996573
chess-krvk,8.338298235603085E-4,8.382916997157057E-4,8.460447596139878E-4,8.534668273740094E-4,8.603115772803333E-4,8.493758860276088E-4,8.389668738402803E-4,8.337452041431705E-4,8.258680058419727E-4,8.199582912741052E-4,8.049827783343017E-4,7.981191181148652E-4,7.928681246806106E-4,7.913192606745692E-4,7.958978349521045E-4,0.0016927429462476472,8.137372442994304E-4
chess-krvkp,4.2920022482819287E-4,4.3105756149961616E-4,4.323838339286962E-4,4.32820952223273E-4,4.3494551960812893E-4,4.382754862135315E-4,4.3872415843322437E-4,4.41718758352497E-4,4.437219258336961E-4,4.433601232629036E-4,4.445840968040931E-4,4.46976153727456E-4,4.4840124428324675E-4,4.508823881559373E-4,4.514005321075065E-4,0.0014624472211004218,4.5408108352523377E-4
congressional-voting,0.042319095284568536,0.04251471025105025,0.04248270254495019,0.042351005604810074,0.042146123919577796,0.04179243876272795,0.04171192136878918,0.041789316668912675,0.041333626814116,0.0413416401569002,0.04097458634163119,0.04108773733977275,0.04079320978619087,0.04039074453786073,0.040161131308145345,0.04017260648361002,0.03999154363094862
conn-bench-sonar-mines-rocks,0.032862472316465684,0.032843286064671975,0.03272753930077719,0.03248034880809673,0.03241288982141288,0.03213561367577033,0.031971651514831015,0.03198222431152089,0.031862767521159054,0.03169041871441868,0.03133318435773351,0.030775402211744688,0.03009672951260744,0.029561816152165882,0.029020106902918348,0.038405739045293937,0.027889214545185653
conn-bench-vowel-deterding,0.0012021942724916414,0.001195508130538545,0.0011937352676799457,0.001188741492574914,0.0011845468443699996,0.0011763926642646208,0.0011683224650098443,0.0011616793942712113,0.0011536194033689548,0.0011491231667648365,0.0011454159616742568,0.0011380100748856886,0.0011293202203138078,0.0011058061415121008,0.0011020143392810634,0.003764102587633024,0.0010968020336506751
connect-4,0.002060290305444602,0.0020638493800292264,0.002068089348067049,0.0020712592957469584,0.0020742264782772097,0.002077222751416138,0.002080542749863709,0.0020842253493162724,0.0020875864091279284,0.002090028780520893,0.002092436198101647,0.00209601594879015,0.0020984550576005566,0.0021008997532446123,0.002103825080491936,0.007882159168187637,0.0021059902677061752
contrac,0.012551675990649378,0.012467374582838843,0.012386693874485676,0.012326552849347087,0.012302600948243677,0.012225751919551067,0.01219195020307458,0.012160334669649008,0.012175048917600536,0.012159178351347498,0.012189822466929843,0.012201020802156473,0.012225126663804207,0.012282483453099987,0.012323217219239882,0.016698471949840844,0.012370754765201226
credit-approval,0.011756805600196586,0.011821104429276776,0.01188123018136072,0.011920295941443745,0.011965334128254715,0.012034938824429957,0.01208222697614723,0.012162283576868655,0.01221302718899271,0.012295033917143969,0.012400516434599045,0.012461919673720729,0.012511767106988177,0.012568338970828295,0.012660866684526187,0.017643543861254593,0.0127625157399661
cylinder-bands,0.03259498039723609,0.032605693429240225,0.03250207601154641,0.032516062799305974,0.03233024635071022,0.0321980533523455,0.03209086385861622,0.03214118315715308,0.03203024950931839,0.03196810131740914,0.03187372606744948,0.0317296661533087,0.03167737963885214,0.03155736653314036,0.031434016723441795,0.028953138542948058,0.031350485965823335
dermatology,9.809033042380512E-4,9.79770015412898E-4,9.83313308180813E-4,9.83807572169325E-4,9.80786585559582E-4,9.773880251832273E-4,9.768287386203423E-4,9.772996617729071E-4,9.758024243988805E-4,9.765011267625776E-4,9.821592591629364E-4,9.797508607784753E-4,9.806596741307148E-4,9.79306889058395E-4,9.772811189174948E-4,0.0019594364009313608,9.7863799477972E-4
echocardiogram,0.061262738352851,0.061300140365108426,0.06090237771608837,0.06134966702334812,0.06172888003633079,0.061722336798889575,0.06216090018730935,0.06191758300368816,0.06202750585731674,0.062321568599890576,0.06217942589522571,0.06286101762563769,0.06381015684537122,0.06409439273333996,0.06467985084071644,0.06460140512861143,0.06474554993882589
ecoli,0.008315279429228049,0.008346348244253673,0.008379219443009279,0.008422619348766818,0.0084358627050131,0.00842945336834389,0.008488923750192178,0.008493045175576383,0.008545699288619563,0.008554536527243821,0.008641487945087716,0.008700980546079363,0.008750641791524117,0.00878039429311872,0.008803873616860993,0.007117404969399693,0.008845337979585453
energy-y1,0.0031227457660090063,0.0031059630842840214,0.003100532074387348,0.003078677481920053,0.0030457335185328587,0.0030247823080499377,0.0030119895432901777,0.003014492146251092,0.0030081396359468086,0.003014693083211604,0.003033830544085347,0.0030422722033680923,0.0030494480650654237,0.003042264036299297,0.003031813785997525,0.010470328678371086,0.0030065883446518263
energy-y2,0.004048770345292938,0.004028499376189929,0.004021583001822794,0.003993399406129197,0.0039757810353575436,0.00397164578893799,0.003952135558362387,0.003940019685655206,0.003916989329722838,0.003908761517951278,0.003889938871380381,0.0038728140613659553,0.003885521829527389,0.0038881808070102227,0.003938309766244177,0.007535561837509846,0.003992589029100262
fertility,0.1378078276296567,0.1379102303380295,0.13820767601728906,0.1379505843438243,0.13726439457072132,0.13704940234673282,0.1353383730791873,0.1350977955131449,0.1349548928751463,0.13498403530458064,0.1340884369477348,0.1334483276988775,0.13297887411984613,0.13129318147493474,0.13129362111578452,0.16045554491235686,0.13139306773068568
flags,0.03377629928975217,0.033697136507731505,0.033464214549961076,0.033064911563507854,0.0329520049322733,0.032585317888861154,0.03218482762070686,0.0321382420142101,0.031912447539260175,0.03200312483572688,0.03175504312015275,0.03214984874926264,0.03237607187749119,0.03229259566815477,0.031202618430793666,0.034685563299698415,0.03170412471002626
glass,0.025271141856602623,0.024936845419674867,0.024674262436354767,0.0245474475836748,0.024423584512747013,0.024577481174657054,0.024769880845230397,0.024551941461138566,0.024554281806954577,0.02451923599175086,0.024474390909270533,0.024306013729149086,0.023895939073043267,0.023407525291087243,0.022977821949562768,0.0254503738017845,0.022684597842053227
haberman-survival,0.04878829502346011,0.04906340708490451,0.049208245584280656,0.049446518305337604,0.04968419182054718,0.04997310809196852,0.05002846866860149,0.05005103330755755,0.05045858344201146,0.05057472206714201,0.05058937347536756,0.05070323367284239,0.05080204552410759,0.05087271030517518,0.05101208019793061,0.03703693790627839,0.05103778340122033
