folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8379666027506063,0.8331715450565571,0.8294828981088074,0.8294069470886937,0.8368762193488277,0.8221464932763597,0.8390292217399766,0.830445349020051,0.8361555884361138,0.8364429261283991,0.8339055279991463,0.8327030873796306,0.8263440387828875,0.8340282060474086,0.8331117056494468,0.8341446557322173,0.8336020850504102,0.8405293327626653,0.8302034413099064,0.821184781270371,0.8282627385068476,0.8303852794085735,0.8303402038484589,0.832619296300635,0.8331989308567189,0.8303041189717767,0.8216200178306023,0.8284479577625086,0.8285799689094053,0.8324468722142373
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.90863514257653,0.9048392842698103,0.906302598089687,0.9054837334395721,0.9055143842056371,0.9061363543043982,0.9084636291073878,0.9084415369712182,0.9044284792473892,0.9053525348944764,0.9035857904671148,0.9038638399923957,0.9061064589825251,0.910575132467028,0.9058434446391559,0.9073056345054781,0.907829055988493,0.9057362821171024,0.9082274790964026,0.9079983215505285,0.9058553382787669,0.9061281457583953,0.9064854984980706,0.9038968307928986,0.9050611729685454,0.9049560003970364,0.9068779517543403,0.9050998848768717,0.9101287939295059,0.9080384061562284
annealing,0.9561238776667268,0.9646798346691481,0.9640897783661954,0.9611113997949473,0.9402427452943042,0.9490262647739827,0.9514049492496917,0.9527927507883949,0.9445023490026969,0.9725137961721568,0.9567832453570355,0.9608087807660579,0.9677853146761447,0.9359649484463856,0.9474302278338728,0.9471033509577886,0.9613196384673917,0.9540237441176889,0.9685569779896891,0.9520633981348158,0.9586418098192528,0.9659721210151614,0.9629701016917848,0.95175311631745,0.9677991621994547,0.9645460301391061,0.9326853434211037,0.9381450367779484,0.9631358555827525,0.9543333832604424
arrhythmia,0.8882717876485491,0.8183914871178116,0.8336771780326949,0.8503541009608444,0.8149109020009132,0.8128002668546233,0.858180056584058,0.8329371127097054,0.8124006226463735,0.8403811838890112,0.8125468823263983,0.8508314260112871,0.831458334124345,0.8122824780671057,0.8152939847454518,0.8418809419978248,0.8046693908798179,0.8513600734363094,0.8272063740923877,0.8709285595283861,0.8132742459704161,0.8528372754818313,0.8526383648380002,0.8166616147244452,0.7903075857264769,0.832134300845262,0.8627044384087529,0.8591998891232351,0.8443237557257124,0.8659029782788971
audiology-std,0.9096508332845338,0.9453053398311054,0.9232185634527142,0.9028238641529757,0.9195133770094208,0.9153849351779257,0.9230676141129883,0.929010975226191,0.9159260271568505,0.9284160040207057,0.9240477089316365,0.9265184311123758,0.9352815924648603,0.9310781909737245,0.9268130039584197,0.9394332215808869,0.8964624946190849,0.9583940163147752,0.9240404605656463,0.9274348784301744,0.9388454463129042,0.9579338826525369,0.9232776748184021,0.936075300814483,0.9378774334923436,0.9204119051871161,0.9009574514681268,0.9308918905440422,0.9388007423589577,0.9316667301059859
balance-scale,0.9822970721408214,0.9829457290394783,0.9847502035002028,0.9842064763939756,0.9847661019536013,0.9833193426943418,0.9867295609483104,0.9833765771265763,0.9894259386446882,0.9824163105413097,0.9841635505698001,0.9847215862840852,0.9797708078958072,0.9881699608262103,0.9846850198412692,0.98704117063492,0.9916358236670735,0.9817946810134306,0.9750934829059819,0.9845737306674802,0.9900698260073257,0.9821603454415949,0.9823606659544152,0.9836261828449326,0.980266839641839,0.9836500305250298,0.9776881105006094,0.9876914173789169,0.9819600249287739,0.9841349333536827
balloons,0.3333333333333333,0.75,0.16666666666666666,0.5833333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,0.75,0.8333333333333333,0.8333333333333333,0.75,0.75,0.8333333333333333,0.5,0.5833333333333333,0.75,0.16666666666666666,0.5,0.8333333333333333,1.0,0.75,1.0,0.5,0.41666666666666663,0.25,0.41666666666666663,1.0,0.25
bank,0.8484365384615372,0.857086538461537,0.8500076923076909,0.8566884615384605,0.8734480769230752,0.8610480769230752,0.8537211538461523,0.8755115384615363,0.8731615384615369,0.8664788461538446,0.8556115384615375,0.846253846153845,0.8497538461538452,0.8689519230769215,0.8520269230769217,0.8604307692307679,0.8457211538461523,0.8739019230769209,0.8533999999999987,0.8501442307692297,0.8520153846153834,0.8614269230769213,0.8588096153846145,0.8540057692307681,0.8610673076923058,0.8660538461538447,0.8537576923076909,0.8491499999999985,0.851609615384614,0.8649884615384602
