TRAINTESTDIFFSAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,-0.0029629328353690696,-0.0029663122563535573,-0.002964603418451924,-0.002968463594724702,-0.0029665592128722993,-0.002969929359545065,-0.0029844540685899775,-0.002995906723010955,-0.003011462990273128,-0.0030096659539502763,-0.003023735922574004,-0.0036793243534163395,-0.0030344203184596665,-0.003042650367226067,-0.0030484304759469173,-0.003054809395487579,-0.0030658179115326495
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,-0.0011532893905234784,-0.001148240396333274,-0.0011434769177545564,-0.0011390148658480166,-0.0011347532091505557,-0.0011308730736842834,-0.001127230138842561,-0.0011225308397362689,-0.0011179772305831078,-0.0011136451307045955,-0.001109867154957711,-0.0011429023806198738,-0.001105465369792158,-0.0011007032593314814,-0.0010965820697569461,-0.0010926412916037465,-0.0010886546414636638
annealing,-0.005577080508703851,-0.0055636012060236014,-0.005522000721498125,-0.0055451447116889796,-0.005566288538039125,-0.005722791404165843,-0.005943225378370369,-0.006149010353634362,-0.006250672838184164,-0.006452720210161545,-0.006712027839145577,-0.01621298424138045,-0.006860246440406037,-0.0070275103685417525,-0.007211500107135779,-0.007463454268587992,-0.007783715594268585
arrhythmia,-0.009255418886757091,-0.009695479655063233,-0.009928478525691224,-0.009686826661249308,-0.009711423621439234,-0.00985941169026963,-0.009881961442824971,-0.010265356750497704,-0.01032032006451618,-0.010316013166575507,-0.010607258704725049,-0.022704591479110126,-0.011118564281542447,-0.011679380280213151,-0.012222412319874042,-0.012957462970365641,-0.013549001210230772
audiology-std,-0.03503218228437855,-0.03506499188974182,-0.03539506516017707,-0.035560751175658975,-0.035881505822498,-0.036157529759123515,-0.0364610356891755,-0.036823167556921936,-0.03718375073420632,-0.03749253769704985,-0.03791509935861949,-0.07291773319011188,-0.038251479534511766,-0.03842516159280123,-0.038540548366504224,-0.03893453060677059,-0.03891899929843268
balance-scale,-0.0026259518197097264,-0.0026265910008332004,-0.002641947979503989,-0.0026129147362737378,-0.0025809467716518485,-0.0025259097955923774,-0.0025035749887205396,-0.0024671503907930455,-0.0024392686165260026,-0.00242012621180309,-0.0024333313445093264,-0.0024806573557738594,-0.0024593981527951114,-0.002534062106246604,-0.0026141165171280956,-0.00271010715114249,-0.002828601943703668
balloons,-0.002222222222222244,-0.008888888888888901,-0.002222222222222244,-0.008888888888888901,-0.008888888888888901,-0.008333333333333349,-0.01222222222222222,-0.01388888888888888,-0.015000000000000003,-0.016111111111111118,-0.029444444444444454,0.22055555555555553,-0.0288888888888889,-0.034444444444444465,-0.05111111111111113,-0.06944444444444445,-0.09166666666666666
bank,-0.00420474039689945,-0.004230706847434832,-0.004248493221341913,-0.004260216868065595,-0.004299857058654062,-0.004324573877594972,-0.004359467776799297,-0.004391495726499617,-0.00440721804696335,-0.004442771883293036,-0.004470555064352096,-1.7480204342679902E-4,-0.004488763876612626,-0.004514936879854577,-0.004532800864528882,-0.004567896404365812,-0.004589749729839835
