TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,0.00839738105056594,0.008454477799790229,0.008503707773786454,0.008556386742335774,0.008634593126086302,0.008712029521828223,0.008783683737546209,0.00885259131301105,0.00891296994359261,0.008991489966790313,0.009072274328469576,0.009050845182059918,0.009161105922091206,0.009255379711026124,0.009349191355988292,0.009441398291388913,0.009548413138179529
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.0036466661063698337,0.0036468748502127024,0.0036469776593062364,0.0036473408405748894,0.003647587171537421,0.0036481698208202826,0.0036488818462226515,0.0036497939937746205,0.0036495561065415225,0.003649953218027225,0.0036508299161583596,0.0037453457136806863,0.0036524703939606698,0.0036534764271157695,0.003654555759984541,0.0036548243472716824,0.003655696026188082
annealing,0.01395934505814421,0.014007894822566124,0.01392674594675894,0.013956448998524221,0.014002123652828257,0.013981707488310902,0.014075994906087953,0.01401194721147274,0.01410813722223654,0.01418588801877288,0.01416732861526216,0.029521906097177347,0.01425070217240878,0.014373851540101281,0.014484584392517897,0.0146795956187913,0.014763651889091858
arrhythmia,0.030379038245383374,0.03054360528112144,0.030712843631423115,0.03058275017662572,0.030544680332207027,0.030626192531965784,0.030624325883521875,0.030852770295454298,0.031074108561703964,0.03121979681950531,0.03129789942348811,0.0324821339346629,0.031543826247634736,0.03160918517289996,0.031623150438514165,0.03169787965264065,0.03180751021872211
audiology-std,0.016955040691691056,0.017079884396478614,0.01746025525383458,0.017563982984475927,0.017772705411030126,0.017877152256182256,0.01820993552248649,0.018311651630589065,0.018347802864989268,0.018340379918085903,0.018175441974293504,0.0315814950932576,0.018030701439705723,0.018439843631530582,0.01849546411879505,0.01849474527468218,0.01852294462721057
balance-scale,0.0053072903793050024,0.005281764897800343,0.005283713482575799,0.005317067276263343,0.005370296648659383,0.005427828156754144,0.005485954701926371,0.005512974897015485,0.005552430168067417,0.005612055552763847,0.005692544009791189,0.008259862812870123,0.0057407900819645115,0.005839325088334831,0.005854115840711455,0.005887470554806124,0.005919947262157272
balloons,0.3697553642264055,0.3749005828199296,0.3782074410355533,0.3749005828199296,0.3749005828199296,0.3770918666082166,0.37303593792474904,0.3730911399683204,0.3705734915555593,0.3730243829748158,0.3851825295860908,0.4534601608706185,0.38692553099912236,0.3994952114984823,0.40492498083246375,0.41835481772310557,0.43829498105893927
bank,0.01350898237591077,0.01348459989949073,0.013484657232924009,0.013469771305900147,0.013463683935115904,0.013456307406070081,0.013457823395776024,0.013467363196969617,0.013455923554772263,0.01344352167449816,0.013416471513529106,0.01691804139186788,0.013408060579034861,0.013404835103546642,0.01339283605451993,0.013379833955266346,0.01336865976509406
blood,0.04845180897336227,0.048420009617010235,0.048503980946946565,0.04854020901397472,0.04838933845532361,0.04832527477214208,0.04836650655953585,0.04828597925156018,0.048368736123340146,0.04838917039533225,0.04832238911444522,0.05729533958387809,0.04837908988185693,0.04829716304967863,0.04836288768577838,0.04831295501206728,0.048230835239060334
breast-cancer,0.07009584994906368,0.07007859537451121,0.07002143659795174,0.06987365692704223,0.06984076117873424,0.06998518392433818,0.07011480562632258,0.0702782198722551,0.07049179170256221,0.07122132593058449,0.07159900157044675,0.09085951251587987,0.0719139185443851,0.07195953803358789,0.07269684448520608,0.07266476142506495,0.07379106343528714
breast-cancer-wisc,0.004021565516575588,0.004016921763583208,0.004025472256156457,0.0040395163669409775,0.00402493361099368,0.004040075175209214,0.004036840670328252,0.004066424818294828,0.004075643133500793,0.004074323269490345,0.0040939767325329545,0.003405684138917809,0.004098973165508481,0.004120882922730996,0.00413621687926509,0.00415244959272978,0.004145877052024378
breast-cancer-wisc-diag,0.009973238855393366,0.00973545156302481,0.009776585171094476,0.009888764529217131,0.009910366748343571,0.009758112180829438,0.009930515966496519,0.009977512862338557,0.010082990237273317,0.01008308291378191,0.009852834459939216,0.008893254022551783,0.009949531245245807,0.0101060288067942,0.01014445051338538,0.010236887741154173,0.010283660377362065
breast-cancer-wisc-prog,0.09989113873865985,0.10011367693159255,0.10000610202899192,0.09997131637808422,0.09955581823108495,0.0992331404109795,0.09987914719739935,0.0999937698569701,0.10012110279340931,0.1010408246461639,0.10190853209549161,0.07156228878518509,0.10241619949363433,0.10274344279063623,0.10406696424335868,0.10483706545474718,0.10545406392942314
breast-tissue,0.03196726613612521,0.03174372606010226,0.03163144330246851,0.03171177547073496,0.03132408053743303,0.030895906741817723,0.030322873066447653,0.029738482300724428,0.02951866347645375,0.029605029096796118,0.03000528138455038,0.03191441544525699,0.02991334275384163,0.030102732536693277,0.030650376612287995,0.030800815919882284,0.03109267621597019
car,0.002259723889007449,0.002289177852216003,0.0023239322913281967,0.002365107865791255,0.002407032778452043,0.0024554517588712844,0.0025003280287901252,0.0025466751178753145,0.0026006921648239374,0.002650771073384115,0.0027049292896003815,0.011335000572382606,0.002776601551179664,0.002866157324127348,0.0029408360121713087,0.003011385114492858,0.0030984183264113996
cardiotocography-3clases,0.005650105616032242,0.0056448381557784345,0.0056191122399253035,0.0055955465288169285,0.0055840367158082466,0.005564220865033332,0.005548112274900246,0.005544343054717006,0.005534560181026631,0.005531319613849498,0.005523061056234477,0.007796550796274912,0.0055288292246783305,0.00551329940651022,0.005510377761159634,0.005512628576873341,0.005517555559730299
cardiotocography-10clases,0.003000417654423165,0.0030018197803853017,0.0029906510827195673,0.002995268322455462,0.0029886280364582775,0.002993823638383718,0.002991230980397984,0.0029862102084748424,0.0029790067994063547,0.002961258389042978,0.002953804934573264,0.00248020220189859,0.0029509016813418438,0.0029407198288590695,0.0029330173821268232,0.002932587480410797,0.0029271105238170927
chess-krvk,0.001490082722470858,0.0014546016758865312,0.0014574642103963836,0.0014887820144735677,0.0014740112416265537,0.001457068328725378,0.0014488709498591424,0.001451036644415448,0.0014712070681303843,0.0014742192308494582,0.0014606400888505827,0.0025898739162805323,0.001455347049191325,0.0014623842788921322,0.0014686758915267342,0.0014997150076215347,0.001585555522683692
chess-krvkp,7.466753523010009E-4,7.507240864855892E-4,7.539100220131533E-4,7.549572353613414E-4,7.570692847051612E-4,7.602755290142506E-4,7.622242040184172E-4,7.678732553844105E-4,7.696073286634768E-4,7.694032702689172E-4,7.710635796553191E-4,0.003390965383088365,7.761979806028441E-4,7.788059839773933E-4,7.842673780564948E-4,7.87929607467194E-4,7.898183840408546E-4
congressional-voting,0.07055397835743732,0.07075432531732681,0.07052976954293655,0.06944072793072616,0.06881541839287497,0.06830952239146587,0.06876098203550132,0.06840677507471572,0.06747697047231066,0.0665737064628966,0.06576506333655902,0.06081814416121319,0.06536458008694601,0.06528200423436215,0.06437412851886007,0.06316933448802746,0.06236271500509609
conn-bench-sonar-mines-rocks,0.046484905129875666,0.04673474356701094,0.046510522024367326,0.04619284667672434,0.04622902088124088,0.04562012285755939,0.04501322368430761,0.045191246100123594,0.04509557754341981,0.04480503946300967,0.04489450142970736,0.05642297005402928,0.044649636958981706,0.04470429523040976,0.044777435440034374,0.044328509303481464,0.043799925909389165
conn-bench-vowel-deterding,0.002030261695130705,0.00203146420241955,0.002002481975856195,0.0020086895620116028,0.001992895240918019,0.0019740368926907618,0.001965432883750526,0.0019716281546252605,0.001970020163890803,0.001968584187689252,0.001974094488153972,0.006173286052006998,0.0019771902009555055,0.0019678835263513285,0.001980444070131482,0.0020343764198321092,0.0021532770972389837
connect-4,0.0032664628552377625,0.003268488647368761,0.003271981361402225,0.003276360274514347,0.0032820019327782627,0.003289103017781038,0.003297346091799254,0.0033081770677642745,0.003320077073961896,0.0033344834566144455,0.0033519804133004937,0.018997337871973743,0.0033740050967113883,0.003398252070088999,0.003428514479782925,0.0034629900405188153,0.00350509140574225
contrac,0.01952839316443263,0.0195774442579676,0.01965775919100067,0.01973080096352989,0.019823206601597344,0.0198452057320313,0.019930142067548114,0.02005199369277615,0.020180269320916103,0.020287527571762304,0.020390258124512423,0.0270604547782717,0.020529997991938304,0.02065545140827607,0.020801606437512197,0.020983977638447678,0.021086471801431146
credit-approval,0.021956755885545368,0.021996467794232758,0.022062507713484687,0.02206932667152346,0.022111814467493274,0.022112605317951645,0.022147545743005755,0.022168688326758123,0.022203056298191626,0.022214318818970215,0.022266484240585464,0.025607291249666552,0.02230480059069862,0.02234461043559214,0.022355809574830472,0.022412320767277973,0.022493876058701043
cylinder-bands,0.04773991366859701,0.04780413942833908,0.04775504075717013,0.04790016647775906,0.047689444540723554,0.047837470740626296,0.047730789753813195,0.04779149029938447,0.047661818330010576,0.04757711016819687,0.047597892564505966,0.04591782457079145,0.04745064137287977,0.047612245040008494,0.047471971580763384,0.047344531946149786,0.047232571233495814
dermatology,0.0014652403265382227,0.0014515507687039443,0.001454217520570182,0.0014511429760048716,0.0014465291279491652,0.0014437653235326586,0.001440042103794206,0.0014400609086353895,0.0014362776935682362,0.0014376536062942092,0.0014401970249347164,0.0029429443680151378,0.0014344451762267692,0.0014348468997422291,0.001436615337262959,0.0014337445222496192,0.0014281647995243213
