folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.010128712892822023,0.0017388128186727192,-0.009244090789990222,-0.0033024945467745592,0.00673658737877425,-0.020164010331472415,0.010684423401538634,-0.005568765206262705,0.002183872251550256,0.0017375777706410966,-0.0010305994927823914,-0.0024846116332732926,-0.014085823946606513,0.005147559019411996,0.0013665818948074282,0.002702743264233365,-0.006118006517755625,0.014748400887492075,-0.0038686089666978285,-0.014359709586146518,-0.012346042661724121,-0.002346576547552215,-0.005092140169792536,-4.0721329903270487E-4,0.0010943780525056734,-0.010055889963520803,-0.019951549212668285,-0.009733473909837809,-0.005569484463543439,-0.0015299260776222567
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.003421297398210621,-0.0019628597769041356,-0.0016469057232554318,-0.005358090249655945,-0.003052056973073425,-0.002607453720405606,0.0035306078518947404,0.005591213341549217,-0.004050324109197256,-0.0029962036905818445,-0.0059297100309912976,-0.004095653579641811,-7.637742064257047E-4,0.007034554380175195,-6.260650547984525E-5,0.001619922146467223,0.0017242152362042518,-0.002311628218587769,1.918532828009134E-4,3.6761657130202074E-4,-0.002106090223481738,-0.0025518631605870867,-0.0028489093644215036,-0.007082132882920034,-0.004912364953079007,-0.005382353214557156,1.0860577440985342E-4,-0.005179543409893794,0.0053300294567718565,0.001533396663356279
annealing,-0.0010653801925651907,-3.928375165789255E-4,-0.0021794997988147102,-0.012587087293783217,-0.012733647718141894,-9.933185690864654E-4,-0.022884638829100634,-0.004150784355935744,-0.018197084964336363,0.013622563219462314,-0.009668095869309723,3.3829052778211466E-4,0.005395721230410433,-0.019637557632339875,0.0027775941723406916,-0.025026387163384012,0.0054076853354302346,-0.0026396456835380278,0.009171871122265363,-0.014843087029690616,0.003365842394569274,0.0050898950783769825,-0.016728329793053498,-0.004490252290731078,0.015082780479427349,2.6075288111360173E-4,-0.04109557451904389,-0.035097961926665144,0.01627041621609615,7.19722308116455E-4
arrhythmia,0.052134864397379466,-0.001624074364155792,-0.018177455369344675,0.005053800279348208,-0.05127772881057591,-0.05135433331968198,0.021016624198504807,-0.006213876161083376,-0.052172958715050455,0.033635380913816015,-0.02927547229249783,0.018965033173648504,-0.027502445855263846,-0.03372162180307703,-0.017059856538687357,-0.007270756539889178,-0.0556520807218982,-0.0013941206730609945,-0.031674397575466084,0.012389173259697905,-0.033073881597835086,0.02262417733196387,0.009613463824189039,-0.005806103907600724,-0.07312025600950378,-0.03313972879051996,0.02377664773233301,0.01277006178860074,0.0026835929300916828,0.023983939563722023
audiology-std,-0.06155592580673952,-0.025991685506839945,-0.0417467004709442,-0.05126054479677722,-0.042906981041216596,-0.032183336508807336,-0.03559246452553477,-0.0495355187820008,-0.055454293034024715,-0.035339314568086366,-0.03287639849607027,-0.021739965704316022,-0.023490747751661045,-0.01906080696007717,-0.041642352691374396,-0.009554308568683778,-0.06725292993202314,-0.005025969192580804,-0.027658407024103493,-0.02966453844394923,-0.03066585514822251,-0.007903915129678807,-0.01958166658186944,-0.03117772827129095,-0.028905613158101695,-0.05528793828968548,-0.07035127364363503,-0.05084062537233347,-0.03334797747763363,-0.014353973813992726
balance-scale,-0.002773513131939409,-0.003989600640728175,-0.003156953039065047,1.2329018131296277E-4,-0.002659403340428912,-0.0037352081946117055,-0.002828830685030148,-0.004697424479619183,0.010730389374559168,-0.007827268487136219,-0.005025956309671731,-9.461240337992338E-4,-0.01156571966929254,0.005615491982497445,-9.21287437860574E-4,-7.541594886455449E-4,0.008727787910903118,-0.006997268804338708,-0.011347673299128447,-0.005749240603281858,0.007130182062790369,-0.00487919041502527,2.850171887402997E-4,-0.00637920304626638,-0.003489161166684629,-0.003403316551318092,-0.00880653429076017,0.0010880457646407216,-0.00609955671376694,-0.004465340662041184
balloons,-0.4833333333333334,0.16666666666666663,-0.55,-0.18333333333333335,0.5,0.55,0.4,-0.5166666666666666,0.3500000000000001,0.15000000000000002,0.06666666666666665,0.3666666666666667,0.033333333333333326,0.033333333333333326,0.3666666666666667,0.01666666666666672,-0.08333333333333337,0.0,-0.6833333333333333,-0.30000000000000004,0.033333333333333215,0.45000000000000007,0.0,0.5,-0.09999999999999998,-0.3666666666666668,-0.55,-0.33333333333333337,0.45000000000000007,-0.5499999999999999
bank,-0.011495881226057159,-0.005576849395818928,-0.003720741231952651,-0.0072390583554414745,0.004066688770996252,-1.5592396110042372E-4,-0.01039714117300683,0.01664053197759585,0.019470262304740915,0.0035064986737360915,-0.013683171234898928,-0.020092646625408106,-0.026551422045391848,0.009240863542584021,-0.00794899793693249,0.0027350795755924917,-0.020661634246982308,0.025455776598875657,-0.028048312702626643,-0.005037068965521363,0.002694451812551457,0.0015664308871157218,-0.018122038019454445,-0.0025815502505188714,-0.01271564986737772,0.004828684055403709,-0.01921468464486087,-0.006579804008256085,-0.014507847038023547,0.01720394930739355
