TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,0.013393090172396819,0.013674269040538166,0.013432571142762152,0.013549439557236052,0.01369882422362939,0.013951710863802171,0.014317172003536313,0.014331193647526982,0.014918884045978745,0.014532436994873834,0.014061621974035913,0.014194782897156782,0.014007231871047627,0.014149371646052048,0.01422482568139349,0.014422252000068908,0.015310175459102396
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008051557998728986,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.0069433269200851536,0.006883711960087376,0.006837820269552424,0.006808299588940295,0.0068601855075685605,0.006944378132138869,0.007008941061313706,0.007047906064216376,0.007129335533249665,0.007125155950698304,0.0049103453165421805,0.007153794074796694,0.007034343893084207,0.00701727030020229,0.006968799852170449,0.006944577510216883,0.006918648103547787
annealing,0.08959477953937124,0.09243363061034728,0.08688809295206035,0.08330207138206394,0.08832745229612314,0.08515121116154882,0.090361087525603,0.09083920595302493,0.08906097065483354,0.08878076414169717,0.10843100193696031,0.08783638774745464,0.08704699644768751,0.09040915379726336,0.08975514458199627,0.0917633017380501,0.09105878704867283
arrhythmia,0.07114520129849311,0.07227381421236698,0.07232833291581499,0.07322237372278564,0.07272946157688498,0.07443639059494561,0.07455086761057182,0.07690413948830967,0.07721734159292307,0.07527817283615022,0.0573455118794041,0.07386590598593129,0.07142977091556668,0.06278954558570818,0.05457310487728828,0.0551809931636812,0.05434941582004011
audiology-std,0.07881877027141837,0.08005701409993207,0.0792177968852932,0.08280288407160294,0.07726148869454245,0.08199483794519404,0.08217081206893989,0.08544233657100672,0.07476216951026858,0.07577230399954248,0.07219478089919848,0.07162543097448594,0.07480400711600586,0.07410312554554277,0.07173697374327473,0.07438587765402556,0.07499737651602498
balance-scale,0.059925034566113256,0.060207752343078784,0.05896002576711813,0.05548421309678055,0.051436359475034464,0.04708692041533627,0.04997162339447635,0.04591251840590718,0.04199631541658682,0.03110079615360579,0.06006954579728985,0.034335610386469775,0.02824117883796447,0.026908676532734318,0.0234076810965376,0.023947023894590094,0.02397932384921604
balloons,0.34187756317025797,0.34187756317025797,0.34187756317025797,0.34187756317025797,0.34143600287799575,0.34215062444547595,0.34215062444547595,0.34215062444547595,0.35501121976046185,0.35642490553025014,0.35871971950918863,0.35660793729961066,0.3611254049631983,0.3512016409309509,0.3494555380193061,0.3529156969367001,0.3525875886398091
bank,0.018559761044285396,0.018959994609568757,0.01876588562994853,0.01846539423129491,0.018109052494092375,0.01806519249867375,0.017968719266646584,0.01803995568773884,0.017807974889456672,0.017999364857373218,0.020846481832658442,0.018260099219579842,0.017715189050721964,0.017614477085607153,0.017741981874158243,0.018030603275377578,0.017993075177293597
blood,0.03861061708081211,0.03778161792931589,0.03785493916847721,0.038010603434980667,0.03769440235420558,0.037810955415392075,0.03749702573152156,0.03739809363420402,0.037272800561586716,0.037416425545854975,0.029459932413497033,0.03627792051572496,0.03689622251322518,0.03645730111568741,0.0359322621930555,0.03637305849101103,0.03643018671992167
breast-cancer,0.049529748856623985,0.04879425772650392,0.04907992302469877,0.048758304509540044,0.049778138654626894,0.048338712630501206,0.04830847462120592,0.04979613964880486,0.04834828299168547,0.05118564423683356,0.06605714095459421,0.05082708326108964,0.051755288480486335,0.052946907444603585,0.05348767038476485,0.054881770201794675,0.05659385808118823
breast-cancer-wisc,0.015160730687808308,0.01548205609017355,0.015601202278440071,0.015905379728046707,0.01592315919493455,0.016007110230546618,0.0159667802833793,0.016489240567591476,0.016458360712755624,0.016469841871294546,0.015409595160414612,0.016498168595260362,0.016194652392144415,0.016150676074933156,0.01586974136937446,0.016028497605889886,0.016286083996832644
breast-cancer-wisc-diag,0.01391676666470489,0.014574732428382193,0.014654964028466892,0.01487102801205413,0.015251052309496037,0.015552460456749633,0.015454711141928725,0.015337232914589891,0.015260254310726622,0.015367572672312459,0.014565595096997477,0.015553001064764366,0.015799890147479123,0.016166304894054365,0.016081063413859238,0.015879187152981148,0.015634074934123433
