TRAINNLLSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
abalone,0.011723301851731456,0.01175420332541253,0.011790118671989803,0.011831931801084506,0.011880683803900545,0.011937602579105675,0.012004138177421046,0.012082004458494994,0.012173227382369702,0.012280199787783254,0.012405741787435767,0.012553164895866577,0.012726336692529608,0.012929741268540816,0.013168529065762026,0.013448548272811646,0.01345617402506774
acute-inflammation,0.003948599239340147,0.0040121138715199555,0.004078407693584381,0.004147597208268338,0.004219802766473116,0.004295148525738167,0.004373762384236806,0.004455775888126197,0.004541324110108289,0.004630545497115799,0.004723581685127354,0.004820577279241528,0.0049216795973023135,0.005027038375569966,0.005136805435172407,0.005251134308353273,7.289019729395494E-7
acute-nephritis,0.003155120662788464,0.0032228161905885565,0.003292654603328561,0.003364694637280814,0.0034389959221526236,0.00351561895414661,0.0035946250663694834,0.0036760763964905742,0.0037600358515523773,0.003846567069837141,0.003935734379696306,0.004027602755253083,0.004122237768893246,0.004219705540464781,0.004320072683114121,0.004423406245694518,0.018993881175381894
adult,0.0038623903315864886,0.0038544458513812066,0.0038465977113683256,0.0038388543565505214,0.003831223886886816,0.0038237140443302276,0.0038163322015677442,0.00380908535246812,0.003801980104228084,0.003795022671206046,0.003788218870443091,0.003781574118817491,0.0037750934318430216,0.003768781424040126,0.0037626423108593344,0.0037566799121082936,0.0037125886728799702
annealing,0.039753775738004545,0.03933808192717642,0.03890847012061262,0.038469028978941784,0.038024326133004493,0.03757925713971674,0.037138873506876224,0.03670819979037611,0.03629205142299843,0.035894865575406165,0.035520556778394725,0.035172407206305316,0.03485299857772245,0.03456418890003941,0.034307133239753866,0.03408234387124468,0.1110378377458555
arrhythmia,0.15915715360566482,0.1561742485352309,0.15362255234635233,0.15145218482252032,0.14959658111647756,0.14797353952840628,0.14648884199141998,0.1450439350947512,0.14354905000456503,0.14194222296552142,0.1402129009823728,0.138426496214226,0.13674411753470855,0.13543072375952933,0.13484578509623327,0.13541315126586603,0.39639019719453233
audiology-std,0.18270406263548092,0.17862512064279995,0.1749587220983186,0.1716818452485481,0.16876523671316226,0.16617719336116005,0.1638886240761558,0.16187875983703495,0.16014057457833622,0.15868484234361707,0.15754187104113052,0.1567603415030642,0.15640328421728672,0.1565419136629851,0.15724863494056684,0.15859085048322158,0.7062254957703363
balance-scale,0.0403983382836553,0.03972681000989629,0.03902868689211405,0.038301974346361276,0.03754437769205868,0.03675329141208059,0.03592582621026326,0.03505891103389079,0.03414953321487382,0.03319522032865275,0.03219492828534576,0.031150588157356912,0.030069682896309777,0.028969362780375006,0.027882703166825555,0.026867560651529464,0.04528701084549238
balloons,1.13530180810807,1.0968624220017695,1.0597150942573383,1.02409822576946,0.9903221193597116,0.958792057596118,0.9300349708694654,0.9047257142289479,0.8837040440088895,0.8679669923706674,0.8586158245243792,0.8567323713289016,0.8631662564514575,0.8785948321854292,0.9055839498983258,0.9539633298996367,10.720041406333676
bank,0.008596819199186036,0.008594887021394463,0.008592837897748435,0.008590692351677942,0.00858847382234312,0.008586209009471562,0.00858392824932518,0.008581665923229053,0.008579460899937054,0.00857735701290201,0.0085754035732367,0.008573655918808602,0.008572175999475472,0.008571032997945118,0.008570303985106744,0.008570074607933407,0.010421805933432362
blood,0.0266869841839872,0.026705010874270463,0.02672341394705175,0.026742242932818204,0.026761553088611646,0.026781405553333595,0.026801867523265736,0.026823012443673352,0.02684492021072598,0.026867677376303405,0.026891377346612986,0.02691612056396785,0.026942014659629657,0.026969174564383025,0.026997722562536155,0.02702778827443112,0.032297539913323126
breast-cancer,0.04080082017129025,0.040393299890073946,0.04002506333619144,0.03969716305004515,0.03941186300939965,0.03917300998923225,0.038986499740432355,0.03886086820738291,0.038808042749093795,0.038844288127065474,0.0389913710524647,0.03927793640804593,0.03974102643752277,0.04042757124957608,0.04139553643272677,0.04271426110345801,0.049793203510772405
breast-cancer-wisc,0.0237543357257137,0.023776859783063188,0.023801185557011162,0.02382742174767329,0.023855682998146412,0.02388609017340991,0.023918770642266014,0.023953858560273746,0.02399149515125877,0.02403182898458089,0.02407501624491165,0.02412122099082726,0.024170615398050942,0.024223379982706805,0.02427970379946547,0.024339784608997352,0.027305338408474156
breast-cancer-wisc-diag,0.0345579041599244,0.034682374458934934,0.03481281682633872,0.034949446805895415,0.03509248598647148,0.035242162689365475,0.03539871276324067,0.0355623804880322,0.035733419586708,0.03591209434088632,0.036098680803059974,0.036293468094563644,0.036496759774476965,0.036708875260433246,0.03693015127786406,0.03716094330964029,0.08979502397698631
breast-cancer-wisc-prog,0.09625295916772897,0.09603075592451814,0.09582502257630766,0.09564147623490128,0.09548756266787976,0.0953728707056968,0.09530966134505299,0.09531352203604872,0.09540415909795885,0.09560636322890213,0.0959512396984898,0.09647789766116235,0.09723594044569858,0.09828925745558872,0.09972169231138128,0.10164495662037434,0.09008341792889754
breast-tissue,0.18405202847400753,0.18121311973497112,0.17868003376697023,0.17644462971095135,0.1744996670761059,0.1728405286589467,0.17146741957478376,0.170387802164812,0.16961867955894624,0.16918829643883537,0.16913696145100154,0.16951702996922388,0.17039251522555635,0.17183910133633382,0.17394528648783128,0.17681489673583559,0.18384838158670833
car,0.017387307803248153,0.017321037080426933,0.01723850334284592,0.017139174865373683,0.017023309029170867,0.016892288093737644,0.016749024886567786,0.016598428371355844,0.016447899426055082,0.016307796711087574,0.016191770669673474,0.016116815843192467,0.016102854930273178,0.016171675485709497,0.01634513423530749,0.016642747235160512,0.022791431006178812
