folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,-0.02022897259421841,-0.0056079269656466035,0.02031751021851802,0.009747417992313157,-0.02914331237422707,0.062255073213502765,-0.05650090901924498,0.007237645941295501,-0.007478169662116452,-0.006627699442679491,0.008196506665268055,0.0069570151247428935,0.025116389995241795,-0.018240518722891785,0.008599873033989347,-0.01305966717272522,0.025633894166645632,-0.03236433166692265,0.005999688774538381,0.038577299203305326,0.030048049488204942,0.017095006059926643,-0.009984274947942406,-0.015078296330254037,-0.01163602108587014,0.007264682239096931,0.03785447555264998,0.01743412359673946,0.001836915087065627,0.0270828923928772
acute-inflammation,0.004829761853667298,7.176600457155713E-4,0.0010826498012458281,0.0012083967261915388,0.001174790593388389,7.322023874714E-4,4.5577015875755515E-4,0.0012125198968277635,6.998816084181894E-4,4.929209055872952E-4,9.202279736661148E-4,4.4639775184257286E-4,0.007843696397186493,0.0011702401701424872,3.8422333552258405E-4,6.773745045013874E-4,3.975348682851961E-4,7.202817594703049E-4,0.008543902081680705,5.612521755019159E-4,8.876325669766282E-4,0.01853845284534817,5.585671217253054E-4,0.008521657204141973,6.008949660864689E-4,0.0011832619761930783,2.3827486626394351E-4,8.521122922240058E-4,8.041248918370337E-4,7.766510185946256E-4
acute-nephritis,4.3245349570917614E-4,4.586241150713304E-4,0.008444608884604413,8.567069853205296E-4,0.005153987093607222,9.567698154915802E-4,8.214652814614526E-4,9.14551821415711E-4,0.0012923881351847065,0.008244323662812551,-0.010330194995889946,8.613515224410026E-4,0.0011261118027934879,0.009304014993675891,0.007348362049700711,3.0581283408002806E-4,0.008521379106402549,0.008189474822407075,2.9661175311918985E-4,0.00515694472198091,0.005400194278695764,0.0012221313369012677,0.0011518688587041073,0.0013033709116907393,4.2596667505772744E-4,4.963333326566026E-4,6.778959338981138E-4,0.0029734028142878836,8.496278270329182E-4,7.191673745981968E-4
adult,-0.008097933367705534,0.00424493315730512,0.002254668168143237,0.012009029849959052,0.005121046691911935,0.004149010744742887,-0.00844806331995418,-0.013547826059471857,0.007790997773250874,0.0045525939692488415,0.013033977485360282,0.008195126409821563,4.7904595602232813E-4,-0.014417537364798894,0.0013497938657234254,-0.0026715038221299947,-0.004664375812349908,0.004159907633034365,-0.0021771625168886533,-0.0012983429316578698,0.0034234885628728895,0.0023152223123313886,0.0051472857998501875,0.01145909086514052,0.0064049738426409375,0.011463988710933293,-6.36159681833115E-4,0.011239468069379033,-0.01005819215820758,-0.00232270173364052
annealing,0.01912333957406387,-0.02298980393258332,0.013102871530730698,0.03734939187881742,0.09790874606004202,-0.06289529725754445,0.06278824078639922,0.02080560864147396,0.0558022904146519,-0.056054768553806866,0.07196469490526075,0.010124069840505678,-0.03723707399645826,0.025127249685639286,-0.050072816054938574,0.10947750600201162,-0.020281153392750162,0.037455200167063274,-0.04669459567007739,0.06869550792499296,0.008659679805570974,-0.016546502950621544,0.08036378338502481,0.003930606201423381,-0.045405507943802104,0.023121186351114986,0.15327375077892053,0.1531747295480035,-0.0035243502543166327,-0.09057939212977745
arrhythmia,-0.5784265616956272,-0.15358820592782907,-0.11333192399263048,-0.01401215180949178,0.43037551560773557,0.35720343279676836,-0.09810608378195829,-0.041977879242843574,0.21995882841779468,-0.3807498105278688,0.1768022822233879,-0.5988395444663401,-0.16047355097693017,0.12368488298878133,0.07729004563383524,-0.10524070569619925,0.1828943809972754,-0.28884335095263936,0.03991728394214844,-0.3568580523845495,0.0701766447313803,0.029920664667053565,-0.23008314120150253,-0.1317047520617023,0.18571522292161524,0.24301071309769617,-0.1988089808615996,-0.08957237617542213,0.0036142381121644362,0.031076694103076452
audiology-std,1.0682044090769653,0.48211633630611606,0.5662473469077445,0.9010060214043238,0.7808525384099795,0.6895636546762351,0.7929092145591248,0.9414019105978146,0.9828812435805505,0.7535887067840412,0.6161034112088044,0.421732724646088,0.699740395038132,0.5865298811699688,0.6467608568487178,0.4398801595853825,1.0056732100636352,0.25998612041159563,0.3373933708055661,0.6548949170934448,0.33533296377606625,0.1947055579318131,0.47535671037952754,0.8098822688941656,0.5583230546591067,0.9396342472180776,1.1948173567258817,0.6460626447598627,0.6234187359291363,0.761946759828835
balance-scale,-0.0164991518164207,0.04112255431052081,0.020039618559448635,0.022083941984807787,0.006582405691480331,0.009193009941461605,0.009315827440010527,0.0305300826930337,-0.14017786167805185,0.03782760263238344,0.04400912232102605,0.0012014759295511657,0.0962389809339429,-0.06067811970101816,-0.00801072299471206,0.0066823611311910835,-0.05444861148312924,0.018174998725874636,0.05390992587335358,0.01672726369158606,-0.05567136787883442,0.045407770805438674,-0.011282411198991982,0.014577483013398729,0.010545879953044512,0.02666183564367225,0.053970383955246004,-0.01131311133207391,0.03932141806839895,0.030566032997154324
balloons,1.6879406910146988,-1.3881968922926733,2.8367325299535997,0.175053069022006,-3.6523299131738036,-2.4150421598049343,-3.1748065041771167,1.010893020370684,-3.711172702493377,-0.9551544004981284,-0.17767670921263112,-0.6036786515716641,-0.0035440297409944366,-0.5177639878747456,-0.5453513841763321,-0.11785989959642706,-0.04574059592661284,-1.2368676275469892,1.093153646207294,0.8192104228968863,-0.3551584228360858,-3.626902689824802,0.021637295479629337,-2.573081510777222,0.35174527624170526,0.7995330555576889,0.6646989143601909,1.2663154994781167,-1.531240309324803,0.8776718894660844
bank,0.005848549007967274,0.005158959016884013,0.016095745282223684,0.0077879469510450106,-0.00930015790810279,0.007132023246558039,0.006199216211095704,-0.011625139058392409,-0.021238089129739346,-0.014911374930825949,0.011794092662455957,0.026803693296810593,0.021853882543689918,-0.004742641902997058,-0.008537577091048854,-0.012997932698538495,0.015278393040683791,-0.02454244392412358,0.014163006265651201,0.011292508869927331,-8.058996702519639E-4,0.008304925108413352,-0.010477705235207746,-0.0017153047753407646,0.01840329961163034,0.0057126116231042134,0.011794650107105564,-6.78142398126802E-4,-0.0043630892123442955,-0.010239201960693167
