folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,28.0,33.0,35.0,28.0,31.0,28.0,27.0,27.0,28.0,34.0,29.0,29.0,30.0,33.0,41.0,30.0,30.0,27.0,28.0,29.0,28.0,35.0,28.0,28.0,30.0,35.0,30.0,29.0,27.0,39.0
acute-inflammation,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
acute-nephritis,4.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0
adult,277.0,249.0,257.0,228.0,226.0,248.0,250.0,232.0,257.0,264.0,259.0,247.0,234.0,252.0,283.0,240.0,251.0,273.0,299.0,292.0,254.0,238.0,244.0,236.0,228.0,247.0,235.0,236.0,229.0,230.0
annealing,10.0,10.0,10.0,11.0,10.0,11.0,11.0,14.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0
arrhythmia,14.0,12.0,12.0,16.0,12.0,14.0,13.0,13.0,12.0,11.0,13.0,13.0,14.0,13.0,15.0,12.0,12.0,14.0,13.0,12.0,12.0,13.0,14.0,13.0,13.0,14.0,16.0,14.0,14.0,13.0
audiology-std,8.0,8.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,10.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0
balance-scale,6.0,6.0,7.0,6.0,7.0,7.0,8.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,9.0
balloons,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,7.0
bank,21.0,22.0,23.0,22.0,22.0,21.0,26.0,21.0,23.0,21.0,21.0,22.0,21.0,22.0,25.0,22.0,21.0,27.0,22.0,21.0,25.0,25.0,24.0,22.0,22.0,29.0,23.0,23.0,21.0,20.0
blood,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,8.0
