TRAINTESTDIFFSACCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,0.012789538330192909,0.013739190015717639,0.01415851550099373
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,0.0033041898794003693,0.0034255651109508915,0.003353594116315777
annealing,0.01869945169309165,0.017769787374661176,0.018273860286407245
arrhythmia,0.037123670315301185,0.03443341998513661,0.030977308455239827
audiology-std,0.05484569415755919,0.055372346377005006,0.05960251914938451
balance-scale,0.016404182097890557,0.016136618699098798,0.011775440135423663
balloons,0.3437836751305751,0.3541509416368935,0.34622510411294366
bank,0.005989717343137414,0.005557253342003606,0.0057676357897789386
blood,0.022523610843141778,0.022980317645423767,0.022953661967141686
breast-cancer,0.03582843321075668,0.04120261553704755,0.04318038578986315
breast-cancer-wisc,0.01342169512936565,0.012602084995383789,0.012604133711989002
breast-cancer-wisc-diag,0.010634631072208918,0.01320979076503165,0.013339053571265734
breast-cancer-wisc-prog,0.05478525152037948,0.054142175292590064,0.05917510514144569
breast-tissue,0.08052666606344791,0.07897389481863555,0.08741211505834841
car,0.009840364595243378,0.011758444394325678,0.011780888759363468
cardiotocography-3clases,0.011365969655775571,0.011352173917975937,0.011251414929930523
cardiotocography-10clases,0.0184536781984468,0.018075420766530365,0.01760888645035699
chess-krvk,0.005127052692857275,0.004940886532835652,0.005127052692857275
chess-krvkp,0.003913633508195862,0.0044220319243913585,0.0045753658629646135
congressional-voting,0.029357152718104292,0.029084012909526318,0.028589066921624277
conn-bench-sonar-mines-rocks,0.04841841317259491,0.04997239376675622,0.05405774862137239
conn-bench-vowel-deterding,0.008955347224104146,0.012531468141621392,0.016409483214021418
connect-4,0.0025803679195905466,0.0029088905112016686,0.0033922701257512932
contrac,0.025570009606791566,0.02647443079383458,0.02804727364328106
credit-approval,0.02198737086651314,0.02513467782689435,0.02458217937982607
cylinder-bands,0.04476376551397683,0.04336408716110708,0.04282462604355669
