TRAINAUROCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,0.0041160887556100315,0.004540363702280767,0.004853966290142222
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,0.0018365795759953043,0.0017950721087701001,0.0017868521332581016
annealing,0.009461237355751599,0.010280795127289362,0.010359819227001703
arrhythmia,0.023667562819740293,0.02297620098723614,0.023306168197176208
audiology-std,0.013484067277259941,0.013962208574870882,0.014325747874786026
balance-scale,0.004270708759798089,0.0033710077503703003,0.0035041963251179844
balloons,0.32199341195675174,0.2791727425426764,0.29792813725472705
bank,0.008857543591460687,0.00874171277305075,0.00874533046985826
blood,0.028123174471334236,0.027562932133285256,0.02752169065468568
breast-cancer,0.05245043470966503,0.049103289145698926,0.05068231760690968
breast-cancer-wisc,0.003146579071410387,0.0027620374727994204,0.002777698961576712
breast-cancer-wisc-diag,0.004865136722460784,0.00591586711058878,0.005972757908058367
breast-cancer-wisc-prog,0.07171970754927307,0.07285964560882167,0.07361131674358302
breast-tissue,0.019606874544525844,0.01924382095467012,0.019843243353173026
car,0.0013116400397835367,0.0011358058136949252,0.0012145189715368192
cardiotocography-3clases,0.0024294465577736745,0.002411482632649187,0.002382623002898912
cardiotocography-10clases,0.0016799249896938308,0.0016886929474225014,0.001702878832871285
chess-krvk,7.958978349521045E-4,7.981191181148652E-4,7.958978349521045E-4
chess-krvkp,4.3110370432302705E-4,4.46976153727456E-4,4.514005321075065E-4
congressional-voting,0.0485673798245067,0.04108773733977275,0.040161131308145345
conn-bench-sonar-mines-rocks,0.03193048229146645,0.030775402211744688,0.029020106902918348
conn-bench-vowel-deterding,0.001155246333688129,0.0011380100748856886,0.0011020143392810634
connect-4,0.002062755382547292,0.00209601594879015,0.002103825080491936
contrac,0.011951230790088831,0.012201020802156473,0.012323217219239882
credit-approval,0.03261360873462412,0.012461919673720729,0.012660866684526187
cylinder-bands,0.03286387227835852,0.0317296661533087,0.031434016723441795
dermatology,0.0014702948711484817,9.797508607784753E-4,9.772811189174948E-4
echocardiogram,0.06025349230938087,0.06286101762563769,0.06467985084071644
ecoli,0.008445736090404882,0.008700980546079363,0.008803873616860993
energy-y1,0.0031800675890558392,0.0030422722033680923,0.003031813785997525
energy-y2,0.003879001809209132,0.0038728140613659553,0.003938309766244177
fertility,0.1335387600271291,0.1334483276988775,0.13129362111578452
flags,0.032718922517835515,0.03214984874926264,0.031202618430793666
glass,0.024140891758190654,0.024306013729149086,0.022977821949562768
haberman-survival,0.047254210807342316,0.05070323367284239,0.05101208019793061
hayes-roth,0.05342812306264668,0.04579870366681952,0.045566473606686086
heart-cleveland,0.02353133471365939,0.02246036804931269,0.023071695581113754
heart-hungarian,0.022855201748791142,0.022269121249702258,0.02241605609063653
heart-switzerland,0.06498542972000461,0.061324846473061946,0.06063489430303453
heart-va,0.04363378197561836,0.04398691534535376,0.04363686204520371
hepatitis,0.043092877213246325,0.04296622396971194,0.04335250564745309
hill-valley,0.023630583610900126,0.023197722124025842,0.027362915987834358
horse-colic,0.022368094268641742,0.022713273784102116,0.02289271811577871
ilpd-indian-liver,0.025319987313678065,0.02509564503679029,0.025204236654588066
image-segmentation,8.626810659476217E-4,8.532224015950743E-4,8.529105632159163E-4
ionosphere,0.01237267168278605,0.012352898265640516,0.01257634225654781
iris,0.0057183337604732815,0.0030026093377675763,0.0030584798267398574
led-display,0.0047630616792085695,0.0046837415468720285,0.004732907540483416
lenses,0.1859683628018325,0.17846338396863204,0.1841285771807131
letter,2.780237084900154E-4,2.799901786295488E-4,2.7946904427571137E-4
libras,0.0075508918532625315,0.007562255503575396,0.0073962186439472805
low-res-spect,0.004702466498288995,0.004249106888980163,0.004363895393239416
lung-cancer,0.13484067725445806,0.1353659096179531,0.13483716688023092
lymphography,0.0292811057011388,0.027658572038789523,0.028010797066644104
magic,0.0024987721129965837,0.0026313104149067036,0.0026424747449857494
mammographic,0.012745310645529383,0.013051959503936323,0.013150046222105312
miniboone,0.0021118006502864263,0.002094480663417577,0.0020759270403721795
molec-biol-promoter,0.04861393665325793,0.049293398323605894,0.05078311869001761
molec-biol-splice,0.003434260066673471,0.003322794290220847,0.003379611819769072
monks-1,0.035387045805820964,0.036217832177722745,0.03690923032010888
monks-2,0.03036906822735656,0.03090310738027931,0.031057521841786125
monks-3,0.008657113104706961,0.008431083287633897,0.008370043599819745
mushroom,4.438679744883953E-7,7.847183597774314E-6,9.460016007696005E-6
musk-1,0.014862896664118283,0.015319590587953987,0.01580612152780463
musk-2,0.0024350751582580513,0.0023138637977354955,0.002268422178217543
nursery,1.768994937035277E-4,2.0459073626743584E-4,2.224251357231639E-4
oocytes_merluccius_nucleus_4d,0.012018208722866902,0.011670510590636694,0.011961891337489245
oocytes_merluccius_states_2f,0.003457124050604783,0.0032727099022783804,0.0032836859807833766
oocytes_trisopterus_nucleus_2f,0.012350945741262939,0.013099648125655337,0.013657382421763122
oocytes_trisopterus_states_5b,0.005052188165252187,0.004957145262048385,0.004982295427164767
optical,2.272727387987189E-4,2.24691108707724E-4,2.2602342844253503E-4
ozone,0.04116909177384594,0.04031382837260185,0.04016285930838295
page-blocks,0.0020633071615241555,0.002032683495415906,0.002040389049061755
parkinsons,0.025399126885093166,0.024514518067294593,0.024145089551438834
pendigits,1.5635042250243487E-4,1.5585580354996638E-4,1.5798327466793577E-4
pima,0.01630660908277729,0.017568651755998446,0.01785881334478805
pittsburg-bridges-MATERIAL,0.050409511381492994,0.04800224961078798,0.04804911841284062
pittsburg-bridges-REL-L,0.04930601092470187,0.0528991241386113,0.0525809546463471
pittsburg-bridges-SPAN,0.04705454898499528,0.04841236100070888,0.047954203428578694
pittsburg-bridges-T-OR-D,0.1052162729491181,0.10641498248214039,0.10552886726652941
pittsburg-bridges-TYPE,0.05008758267603502,0.04825062743483461,0.04817815698041201
planning,0.0881725865229776,0.08843544729335352,0.08401000738629756
plant-margin,8.289565852356549E-4,8.08698251090452E-4,8.055473269378854E-4
plant-shape,0.002107104836746252,0.002098848776982749,0.0020993445944072274
plant-texture,0.0015254103825979083,0.0015007747633567787,0.0015300412545895
post-operative,0.12112950256045496,0.11357449443729642,0.11249456797155621
primary-tumor,0.01630657704621543,0.01628042078858575,0.016201756867731558
ringnorm,0.002305845068366912,0.00250534928162421,0.0025804661098162993
seeds,0.0059454094983691,0.004370043371768785,0.004302952645458199
semeion,0.0016602628667723818,0.0013089796160065932,0.0014202510278147667
soybean,0.0019478048730263429,0.001940848324877899,0.001966546800398441
spambase,0.0017196632631447785,0.001822818817739862,0.0018809631319527285
spect,0.041254720870898286,0.04207291179583645,0.04277252753278736
spectf,0.04350073611764884,0.04424187265038652,0.04572152802661616
statlog-australian-credit,0.03445991065840022,0.03335611833382861,0.03170490270820306
statlog-german-credit,0.016687932524071424,0.016617317083214032,0.016811273877741943
