folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6585683535036945,0.6535284507676394,0.6470916082614426,0.6537013284785377,0.6502309822842717,0.6392664141606148,0.6566297058321591,0.6553492471610407,0.6579749131555229,0.6592518774234355,0.65672951162321,0.6603623197859398,0.6430426694600541,0.648847023001677,0.6525786031200971,0.6578978457894208,0.6550567908136946,0.666089305335631,0.6507693922310213,0.6487065374758617,0.6561649690569157,0.6608987622705778,0.648026708376546,0.6486167505614636,0.660539192943093,0.6412234039764049,0.6372245665034325,0.6404018590673513,0.6450259923126086,0.6608211978300843
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7638989040264448,0.762848491125986,0.7692291293641147,0.7675570273532798,0.7606519772632304,0.7609417592052785,0.7658919362330296,0.7660265112451414,0.7617733466410662,0.7616359939896491,0.7520098846002803,0.7644819733558336,0.7619224040710482,0.7688806899445984,0.7654874833907073,0.7604416183011182,0.7628651569618176,0.7605049696665666,0.7701076694988054,0.7686549871739856,0.7642584540031822,0.7622806320204545,0.769256044366537,0.7612612337890545,0.7628382419593953,0.7611695118092094,0.7638953985811524,0.7684044192342687,0.7710413616656719,0.7661085782797395
annealing,0.7864881901724007,0.7917993034534387,0.8200568520869274,0.846724712213434,0.7597310375505865,0.8292954247089585,0.6930032874393777,0.7614440864064924,0.8030099057166726,0.8310428669075286,0.8509829769228265,0.8687794160726492,0.843085636168343,0.7744798142542504,0.7278943028567089,0.7466168668424309,0.8353834803458865,0.7561399168917966,0.8500793108311905,0.7637303214746824,0.8080365415703762,0.8493298180516226,0.786750208855472,0.7947457388058892,0.8478119541277437,0.7867022534691708,0.7247801321485532,0.739180635571613,0.8022349162950666,0.77762837830507
arrhythmia,0.39871554674833365,0.42181992870517454,0.3448425345146657,0.3900807389331979,0.32556732884601736,0.35516876566056893,0.35342291588193225,0.4086398847054585,0.3368372065093376,0.4552254848976161,0.40055005104185426,0.5767583236435696,0.3911229207950519,0.30261579950104533,0.34209424455326093,0.3858681755403067,0.3667150336002795,0.4518542659526265,0.3872267077185109,0.359177052455741,0.40937685265554113,0.3163122123777862,0.3804214364870102,0.4269714438566897,0.34906601595126185,0.3804778281827461,0.35660295988164836,0.3532620385079402,0.3579316312103197,0.3147527336051926
audiology-std,0.30198726394378567,0.4091982628214513,0.31767188796174306,0.3837237105353048,0.32446201141853315,0.3094507880739765,0.33408602937588444,0.35861147708973795,0.3395342312008978,0.343036646659835,0.3637742155858098,0.3683989655004148,0.3067803640267408,0.3987373737373737,0.3497755331088664,0.3118662470111746,0.32813521690333286,0.3541477577709462,0.3763699799931684,0.33700653881813303,0.4518774703557313,0.37853291367784125,0.3552957107304933,0.35061240423559265,0.3114709900941785,0.3785304738203289,0.3070658273556824,0.381310691455619,0.35378299907285415,0.26576391938710775
balance-scale,0.9097222222222223,0.6805555555555555,0.9027777777777778,0.851851851851852,0.6550925925925926,0.8287037037037037,0.8958333333333334,0.8449074074074074,0.923611111111111,0.6620370370370371,0.8402777777777778,0.8101851851851852,0.6620370370370371,0.7337962962962963,0.8657407407407408,0.7175925925925926,0.8240740740740741,0.7986111111111112,0.6412037037037037,0.6898148148148148,0.7800925925925926,0.6620370370370371,0.8935185185185185,0.7268518518518517,0.7245370370370371,0.8287037037037037,0.6458333333333334,0.9074074074074074,0.7870370370370369,0.8287037037037037
balloons,0.41666666666666663,0.8333333333333333,0.41666666666666663,0.5416666666666666,1.0,1.0,1.0,0.25,1.0,0.875,0.7083333333333333,0.7083333333333333,0.5416666666666666,0.875,0.7083333333333333,0.6666666666666666,0.41666666666666663,0.875,0.25,0.7083333333333333,0.8333333333333333,1.0,0.7083333333333333,1.0,0.5416666666666666,0.5833333333333333,0.5416666666666666,0.41666666666666663,1.0,0.41666666666666663
bank,0.6109807692307693,0.6025384615384616,0.6032115384615385,0.6063076923076923,0.6101538461538462,0.6028846153846154,0.6013653846153846,0.6301346153846155,0.6145,0.6366538461538461,0.611576923076923,0.58925,0.6288846153846154,0.6279615384615385,0.6253653846153846,0.64025,0.6032884615384616,0.6293846153846154,0.614326923076923,0.6130769230769231,0.6145769230769231,0.6069807692307693,0.6415,0.6128269230769231,0.5833076923076923,0.6010384615384615,0.6183461538461539,0.5905,0.6294615384615385,0.6120769230769231
blood,0.6274788093830082,0.61377882909521,0.538281095998423,0.6099152375320324,0.5877981470530258,0.5287995269071556,0.6046520796372955,0.595170510546028,0.6064064656022078,0.6302779420461265,0.5554898482160457,0.6236152178198305,0.5533806426177804,0.6060516459688547,0.5835797358564951,0.5688350088704908,0.5723437808003153,0.6067612852355608,0.5498718706879558,0.6889217425586438,0.6495958998620146,0.5347723240685984,0.5182732111176819,0.6099152375320324,0.5663709836388725,0.621151192588212,0.5930613049477627,0.6868125369603785,0.6011433077074709,0.5460082791247782
