folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.019433047433528805,0.007005379044583648,-0.01510075264207944,0.0029781977538212434,0.006970428308500587,-0.021818796262624063,0.008422973484732643,0.002243170432580377,0.0025848218938888667,-4.359872273115295E-4,0.005418664105958482,0.0039510483697027254,-0.012933913607860337,0.001337529121107628,0.0022488194333859512,0.01684165853084585,-0.0064542959599691585,0.03152967066541568,0.0030067213525515335,-0.012482267268853042,-0.007809810072530343,0.014279256468284207,2.1154486127106242E-4,-0.011169824272014073,0.018963303290107758,-4.0719909491859774E-4,-0.023687336025723038,-0.016077031590154278,-0.003178029258782855,0.020398067661748787
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.009108199367345637,0.0038637761086502964,0.016769744514002705,-0.001016447090339212,-0.001636086330715325,0.0013839015492033147,0.016286852566694043,0.02232774601172005,0.003325751364323115,0.005740157289818915,-0.009615812674447,0.007320573308719269,0.011179831309215071,0.0118711368672757,0.0014012407224861523,0.002451553436690679,0.007329355819562955,-0.0048201346404935785,0.010122022657240715,0.0049124403493759905,0.0015145363373613163,0.0060498956589944974,0.0078295276523912,-0.0035051794075690035,0.005308848342943873,-0.004143130472488155,0.010283234937019659,-0.0028321338443065835,0.008654965046765883,0.0037490952144990652
annealing,-0.058027117705136244,0.1069551342067927,-0.05809519469669833,0.03176289590796455,-0.14487783757841244,0.07913993795285246,-0.17409681575979685,0.10330235954030731,-0.05420784454132532,-0.004174883350469227,-0.01809304646898635,0.013457778645748597,0.12728309058870757,0.10480523565087918,0.10303981369262216,-0.03610965534539168,-0.005716622853288,-0.07494986638993717,0.04757432287109409,-0.12276090659549288,-0.04491151484517242,0.029551352279348686,-0.09410428030861473,-0.07375924915420717,0.07096778488109767,-0.09897232513420029,-0.15699833362372062,-0.18450426294919897,-0.025917130488559148,-0.036271174498507475
arrhythmia,0.034343652226345334,0.0422811685285156,-0.02679786073736179,-0.06541300122283111,-0.026899466397513283,-0.009563647017434673,-0.03245428696525182,0.0695630797093289,-0.07526532822921966,0.1591963732962719,0.033617749447263756,0.23940526082146363,0.03436893994163387,-0.06403162124581258,0.009440906646639713,0.055652400071248,-0.03635046562844674,0.052169660376838956,0.07228373636841012,-0.020418492712036773,0.030350656837600576,-0.13443195589921503,0.029710002829985593,0.10389846930153879,0.006982658408242026,-0.031237876375359963,6.676287962234517E-4,-0.017147829922566138,0.008198340735941057,-0.05661962449324426
audiology-std,-0.4203978187673841,-0.14358134484946078,-0.2539769677450837,-0.14126165031962118,-0.20404223393353826,-0.31564009661835746,-0.23224576684721615,-0.28094349290001464,-0.22599546186502711,-0.22599851168691754,-0.27243265993265986,-0.18207253696384124,-0.18191638608305283,-0.15976369979993177,-0.23591653247450367,-0.1309428829356365,-0.2004763821792807,-0.16284097008734688,-0.12437051676182115,-0.2796619577416678,-0.02900014639145071,-0.07261442931732787,-0.26513687600644126,-0.3156956033767629,-0.301526130873957,-0.2404528375542867,-0.2564204850436735,-0.2717958571219441,-0.1721935538964524,-0.28561033035670713
balance-scale,-0.014444444444444371,-0.03833333333333344,-0.0016666666666667052,-0.041574074074073875,-0.008703703703703769,-0.09546296296296297,-0.014999999999999902,-0.07694444444444448,0.053333333333333455,-0.008703703703703658,-0.061851851851851825,0.03796296296296309,0.00462962962962965,0.01722222222222225,-0.05842592592592588,0.0427777777777778,0.02749999999999997,-0.05537037037037029,-0.020277777777777728,0.01907407407407402,0.05481481481481476,-0.015092592592592546,-0.006296296296296355,0.04509259259259246,0.041018518518518565,0.05064814814814822,-0.004629629629629539,0.05398148148148163,-0.018240740740741,-0.08037037037037031
balloons,-0.2333333333333334,0.3583333333333333,-0.3833333333333334,-0.13333333333333341,0.55,0.55,0.55,-0.625,0.55,0.22499999999999998,0.033333333333333215,0.033333333333333215,-0.033333333333333326,0.22499999999999998,0.033333333333333215,0.09166666666666667,-0.2333333333333334,0.32499999999999996,-0.625,0.033333333333333215,0.20833333333333326,0.55,0.033333333333333215,0.55,-0.008333333333333415,-0.16666666666666674,0.06666666666666665,-0.2333333333333334,0.6,-0.2833333333333333
bank,-0.009368847627468257,0.0011773504273504543,-0.012725243147656884,0.016356542882404956,0.014039861479516635,0.009102048334806878,0.0013356911287945028,0.03568633952254652,-0.004352490421455912,0.04470557029177713,-0.004359858532272387,-0.013111111111111073,0.012782124963159447,0.005111921603300873,0.003600058944886464,0.0549645593869732,0.0061744768641320835,0.020194960212201685,0.020794356027114658,-0.010688402593575064,0.026291482463896343,-0.01187172119068669,0.014071839080459725,-0.005275567344532828,0.005682213380489243,-0.038718243442381395,-0.0024191718243442573,-0.0034482758620689724,0.019856174476864163,0.022375773651635678
