folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
bank,19176.763189,14427.822606,23972.244366,14753.245807,14315.693215,14710.834306,13056.887782,13013.580884,12926.843948,13377.088776,14255.479551,30694.229446,15497.238947,16088.983024,12830.637657,13133.399148,13089.74043,20877.125963,15951.085957,15717.480297,13143.205516,13477.832218,14319.327919,12656.287565,12516.313557,13545.869168,15699.124389,13945.733725,14253.59794,13617.356967
blood,1854.695678,1629.247719,1484.062363,1515.504629,1948.503214,1620.370917,1602.651359,1627.766848,1716.275504,1838.024608,3724.497416,1646.28595,1936.974134,2211.80258,1684.345077,1757.031194,1632.899309,1594.009878,1812.26508,1789.077068,3162.79493,1343.341783,1434.962455,1456.796268,1432.059447,1549.273839,1499.213955,1497.437606,1522.203774,1555.021611
breast-cancer-wisc-diag,1913.654338,1959.983196,1670.422922,1653.066186,1889.770214,2136.118348,2094.659463,2308.360508,1912.565992,1816.008059,2045.714632,1965.529614,1896.492091,1784.626682,1501.704399,2043.561583,2105.275048,2471.219687,1899.999325,2434.284234,1725.456659,1552.3083,1680.579948,1714.419237,1831.741763,1891.180418,1829.85283,1991.446939,1748.644077,1814.066262
breast-tissue,739.177911,741.398549,792.618141,774.108347,796.099644,885.528228,760.05369,756.876657,682.964473,688.549818,718.350263,709.057934,706.695715,758.807207,749.38457,746.77094,729.211733,719.334018,715.06583,757.552233,859.813952,736.299755,824.293448,834.424387,818.227667,879.783065,797.353448,862.847988,2167.821026,1700.819406
cardiotocography-10clases,69229.686872,32478.935218,32275.651068,32395.274207,27033.748335,31650.505135,27431.89812,28099.195073,28338.048845,28600.220674,34791.63099,33414.692291,32891.727022,34729.590367,35739.078656,26105.557211,25452.503809,24409.038402,27035.820561,25840.075594,25887.724168,27051.98515,27233.06066,27330.236745,27949.639219,27351.828962,27553.258399,27659.786377,28037.796363,27607.3093
conn-bench-sonar-mines-rocks,1560.460696,1686.25059,1784.128107,1865.361194,1690.313837,1702.589159,1777.249351,1647.818262,1612.894864,1676.977112,1809.341352,1651.475473,3034.0067,1390.584003,1287.575065,1493.827441,1387.234278,1538.731587,1497.721095,1670.213171,1431.050163,1514.288524,1444.722906,1613.059439,1656.609728,1503.28141,1581.088723,1593.063489,1420.243848,1626.993895
conn-bench-vowel-deterding,9082.818598,8843.439975,8939.038427,9212.243628,8959.836395,8777.532156,9040.752855,9369.326076,9473.630459,9787.120603,9505.302609,9405.085566,9560.837589,13279.380305,14707.661316,10901.622348,11184.116704,11175.815258,8676.928553,8959.018862,8207.972038,8703.070075,8643.167225,8823.819753,8767.386906,8821.319802,8788.76885,8654.277544,9097.067878,9496.333899
ecoli,2001.071634,2245.36756,2308.931052,2301.372722,2295.100024,2205.09159,2216.013314,2230.612924,2319.369682,2132.706644,2219.912234,3946.466718,3274.150685,3581.964817,3654.591496,2038.823005,2038.323544,1862.937609,2033.967324,1919.096533,1962.681279,1780.267821,1970.245389,1998.147185,2074.139114,1946.02862,2010.255484,2520.323514,1915.901698,2026.514972
glass,1202.635731,1400.411378,1403.200768,1227.416489,1227.784566,1507.921216,1503.940233,1584.364547,1448.922303,1500.143717,1417.862591,1472.284666,1463.242785,1429.704959,1584.634593,1534.389379,2507.994899,2409.190399,2292.405024,1288.157855,1513.791955,1514.568184,1279.897351,1356.471576,1341.53273,1279.902585,1465.900365,1441.234075,1334.16005,1302.358768
hill-valley,31441.656225,33389.347603,32557.581673,32950.937802,32752.263292,32584.169873,33112.987802,33395.843686,35824.606611,29142.010625,29959.866472,29306.830052,28825.622173,29797.538775,29853.611068,29467.308505,29410.665946,29884.99479,29154.741674,29275.86192,31919.285884,31922.603042,31727.87863,32784.693009,32850.369976,32656.109557,32681.839228,32196.195306,32099.642787,32176.231084
image-segmentation,32246.057749,32412.868875,44946.38728,48174.915761,49770.620294,46878.847179,50053.577664,28623.58525,28348.569229,29628.38615,29563.854203,30481.378005,28259.110823,29795.366301,28906.275966,29123.940103,29840.7794,28857.605374,27791.996229,29357.354491,29063.516877,29810.153106,28806.612714,28379.635604,29344.951863,30356.538698,30333.637045,30117.806566,30119.319013,30767.866974
ionosphere,1787.836795,3221.521492,3078.219226,1887.192667,1932.980659,1547.28562,1375.687378,1540.067714,1730.543716,2583.353834,1879.631464,1531.492701,1571.003603,2720.589046,1670.194001,1606.282818,1697.227503,1842.165754,1566.045767,1670.105311,1473.88925,1392.585817,1924.342504,2014.571886,1461.38671,1457.073866,1499.720327,1528.451756,1531.130717,1496.735144
iris,970.803202,392.980863,389.727301,448.243315,430.157143,441.507563,413.977252,429.075917,416.858451,418.876146,413.751474,517.967355,443.043465,421.581346,400.904942,465.370439,500.384753,528.671853,385.346657,374.301674,377.154049,426.641417,401.795899,377.276108,419.083674,403.934166,396.195488,405.599878,406.902381,467.786463
libras,19743.346398,19981.142155,20517.319016,19349.955022,19846.650708,32658.888317,19310.578124,21360.712514,31555.006001,37135.588937,19760.985861,19541.767979,23034.189079,19518.408573,23332.994913,23027.129918,22961.648506,19977.65732,23097.969092,23524.125255,23070.800065,20390.024751,24717.009247,24537.673829,23388.59877,24355.234535,25229.876093,24456.198152,25343.411824,18132.880501
magic,63690.766496,63398.102681,64306.138362,61898.795461,63295.228142,63580.941522,64702.872814,64713.914616,64778.210037,65490.648457,64638.004769,104312.445743,82213.246988,64474.432214,64794.793652,63421.447331,63906.391452,65519.44532,65903.8982,65915.151451,65539.282512,64848.684431,64860.464145,66250.462129,66542.997383,65954.039091,67323.326218,67513.816025,67287.161251,66624.302756
miniboone,1947770.011086,1976805.532727,1977431.955169,1945469.238749,1947096.802757,1953708.824957,1956436.305837,1954421.861872,1956378.210232,1950357.02978,1922663.842079,1977347.312683,1969417.26361,2078167.804662,2058314.495971,2029724.369714,2045041.678539,2107963.245675,2215853.144257,2055835.028804,2235310.445023,1788666.405614,1809638.161917,1952934.169538,1789290.78283,2012101.054948,1929876.488005,2050578.099584,1974733.138058,1988127.718591
oocytes_merluccius_nucleus_4d,11546.512897,11148.422315,11190.424173,11428.111009,11353.127312,10758.815697,11414.053969,11292.816864,11182.658265,11121.309182,11838.704942,12660.18279,9980.640925,10269.05828,10635.827411,11361.243282,11911.980941,23320.780417,10399.432853,10349.590814,10190.667122,10489.762059,10271.919584,10478.480589,10113.047567,10191.838423,12221.513808,10413.235362,11956.343576,12186.699258
oocytes_trisopterus_states_5b,7446.088004,6848.325258,7366.715761,7584.178944,7284.882532,6356.730486,7932.153532,7977.374058,5782.647961,6240.161332,7428.965877,7868.163219,7658.985792,7864.543338,6449.541721,6850.759848,6859.705975,6444.983723,6445.937952,6680.704194,6077.621273,6983.533894,10720.429764,10199.092262,10714.045072,5570.247466,5901.722805,6079.782996,6298.382108,6032.901158
optical,142910.875328,146515.48241,133508.72911,134092.031187,137010.760838,144880.449917,145341.740571,146173.015896,228523.418779,196730.389965,236066.436689,135778.352805,136850.331022,135819.494894,164651.379137,161887.878639,162417.474982,162464.621154,138213.269712,135445.532663,166106.650566,138954.087682,170736.970672,178141.218654,179629.517697,122149.025815,123636.003191,122412.121508,128157.11216,125666.835782
