TRAINTESTDIFFSACC:,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
bank,3.7646171649844036E-4,0.0022540734971212375,0.005140975812775032,0.0017376209915731375,-0.0010352534120308603,7.894541142027367E-4,0.0022831675753673584,7.494660649541555E-4,-0.0010986602372667798,-0.0022339816224580256,0.0029030801887592475,8.672122784838087E-4,-0.0032552750955994747,-2.6797863998884544E-4,1.29944851718052E-4,0.0028205599892495567,0.0019802890881550554,0.003085994528225829,0.0012913595806277784,-0.0014481805763758755,-4.6361348451816976E-4,-7.484875645647075E-4,-4.5989518303828726E-4,0.002238939357764517,-4.6015611647546304E-4,-0.006588764988995129,3.8037571805621395E-4,0.00491957379132371,-0.026806344335591693,-0.001117316978025488,-0.018576242793344622,0.0016932623072517306,8.233102276774873E-4,-0.003870686607199932,-0.0038014087796273575,7.077819483639244E-5,0.001781979675894596,0.001973504818788241,-0.023546763838278657,-0.019313771153547578,-0.015154296464743311,3.657634455738523E-4,-0.017617573345127497,-0.0020314320418432803,-0.00560034912893896,3.953532973506128E-4,-0.006068985582122932,0.0010592984282674486,-0.013059979464538473,-0.016526023544024025,-0.012219317163288213,-0.003310658217641945,-0.0017659257461717741,-0.0017169746333559129,-0.016644056784334612
blood,0.011225128872187707,0.009986992339933531,0.00854676798949244,0.003502432914197643,0.007652840005781203,0.01965120200414319,-0.002988085186227596,-4.6908715639365495E-4,0.004297345473816076,0.003931203931203953,0.005374090668208338,0.01144433203256734,0.001857204798381281,0.006829021534903908,-0.002269114033819889,0.0020354579178108643,0.007669575007036308,-0.0023100640747699464,0.01369265409513087,-0.0018114371055547287,-0.00932076179754198,-0.008734402852049895,-0.007575757575757543,0.009196897432191568,0.003870983282748001,-0.008401350971010413,0.006736091565812952,0.01170207640795878,-0.004971816736522616,-0.0116153586741822,0.0053757388122713246,-0.005047377802795768,-1.8763486255744347E-4,-0.0039022980199450758,8.162116521249614E-4,0.0014260249554367407,0.004897269912749802,-0.0018435125246270556,-4.1913571325335276E-4,-0.010557884087295839,-0.015231259968102066,-0.006764236795196532,-0.025574504986269675,-0.002835188129305762,-0.013458110516934055,0.0021390374331550777,-0.018017637677080405,0.0016042780748663128,0.0017295370236546888,-0.01664321230884699,-0.0023293346822758484,-0.008063608218406985,-0.00855614973262033,5.347593582887648E-4,-0.006149732620320851
breast-cancer-wisc-diag,0.016148705096073544,0.02021720969089391,-0.008179068360556563,-9.899749373433445E-4,-0.0014369256474519513,-0.015091896407685863,2.50050413389787E-4,-0.001443839483766877,0.004444444444444458,0.012978279030910634,0.018717627401837956,0.0035380116959064364,0.004147869674185482,-0.01590225563909773,0.014753550543024244,-0.007013366750208849,0.002323049001814899,-0.008554720133667489,-0.007360354910264152,-0.0031161236424394317,0.005323653962492444,-7.518796992480925E-4,0.006069340016708458,0.0047493734335839624,-1.5037593984963034E-4,0.005166364186327917,-4.5170397257510896E-4,0.006624895572264022,0.006879699248120319,0.006825396825396838,0.007622504537205088,0.00521879411171607,-0.009449485783424073,0.00990810359231414,-0.001242185924581544,0.0037719298245614042,-0.007247428917120398,9.114740875176385E-4,-0.0022932330827067473,0.010430242272347564,-4.638031861262289E-4,-8.993748739665149E-4,0.00867585630743527,-0.009001670843776085,-0.0027223230490017996,-6.795156906350204E-4,-0.006231094978826361,1.3302034428793372E-4,0.004636591478696754,0.012667876588021787,0.008187134502923998,0.0016414599717685108,-0.0024837328061938723,-7.161683551602146E-4,0.002331356560415132
breast-tissue,0.05271604938271605,0.008148148148148146,0.006172839506172834,-0.004814814814814811,0.024074074074074088,0.04111111111111112,-0.032098765432098775,-0.037037037037037056,-0.04234567901234567,-0.027283950617283954,0.008518518518518536,-0.05333333333333332,-0.05999999999999996,0.009012345679012355,0.024691358024691357,0.03172839506172839,-0.03765432098765434,-0.026666666666666675,-0.08493827160493825,0.009012345679012363,-0.06543209876543209,0.009876543209876545,0.007160493827160502,0.0032098765432098664,-0.0033333333333333214,-0.025925925925925946,-0.08209876543209879,-0.0018518518518518452,-0.060370370370370345,-0.00543209876543207,0.0018518518518518305,-0.03580246913580247,-0.009876543209876546,0.016296296296296295,-0.15037037037037035,-0.004320987654320996,-0.1001234567901235,-0.025308641975308657,-0.01666666666666665,-0.06629629629629628,0.03641975308641974,-0.055555555555555546,0.021728395061728408,0.03580246913580248,-0.05555555555555555,-0.026115859449192782,-0.001975308641975306,-0.023884140550807228,-0.01123456790123456,-0.012962962962962964,-0.05049382716049384,-0.05691358024691358,-0.037511870845204194,-0.02253086419753086,-0.026685660018993352
cardiotocography-10clases,0.006197859511251169,0.001805373641544868,0.0044638748274275575,-0.006151840183133302,0.003973591985557042,0.0028478884208290923,-0.0032939219087400975,-9.711258215629681E-4,-0.009100027139603731,-0.002030750351044834,-0.012022254475084641,0.0037529352071459985,-0.0022042078185658324,0.005448570450871441,0.0028720780676602443,-0.00664094304223157,0.002396545010442878,-0.004511074138317557,0.006301697995209288,-9.91775520077361E-4,0.006744781526189744,-0.01917649002324566,-0.00878556173079869,-0.007472240905282771,0.005669227229282481,-0.012826412734374045,0.005964812913731506,0.008859310654064482,-0.0036237270935844577,-0.006646252964706682,0.0035234285579430497,0.0024012649415319,-0.014098434162861207,-0.005045016342761347,0.0016336861481822784,-0.010776782658973149,6.779001026585315E-4,-0.003452039600221805,0.014649486117502704,0.0025818023056863354,-0.007069276788558909,-3.6107472830893363E-4,-0.0019752911607490782,-0.007901164642996202,-0.012212821692803254,-0.003525493527794473,-0.0010035753477998898,-0.00769478565612941,-0.019495085371753602,-0.005929413430563916,0.0035234285579430463,0.010752593012142023,-0.01203718125715363,-0.0025322430292517534,-0.00828306606723543
conn-bench-sonar-mines-rocks,0.03333333333333332,0.05000000000000002,0.02352092352092354,0.03174603174603175,-0.032063492063492065,0.02142857142857141,0.0012121212121212273,0.01647907647907649,-0.0011111111111111035,0.057301587301587305,-0.031111111111111114,0.020158730158730157,-6.349206349206326E-4,-0.03396825396825398,0.03746031746031748,-0.013650793650793634,0.02542568542568543,-0.0011111111111111146,0.02730158730158729,-0.014603174603174599,0.025425685425685428,0.025238095238095247,0.005555555555555532,-0.003650793650793638,-0.0060317460317460105,-0.025281385281385283,-0.014126984126984128,0.005555555555555562,0.035873015873015876,0.004444444444444447,-0.014632034632034626,0.017113997113997127,-0.0032323232323232328,-0.011111111111111117,0.019841269841269833,0.032380952380952406,0.027142857142857132,-0.01665223665223664,0.04603174603174604,0.010317460317460326,0.021183261183261186,0.008686868686868703,0.005555555555555554,-0.002698412698412696,0.01806637806637807,-0.0053752504237941125,0.0012121212121212089,0.012263831098782577,0.009682539682539688,0.03783549783549785,0.008412698412698417,-0.0015873015873015706,-0.011064879026044087,0.015728155339805854,0.006438588380335923
conn-bench-vowel-deterding,0.007656565656565665,0.012579124579124568,0.006276094276094268,-0.005031265031265024,-0.003979935408506837,0.010579262007833419,0.013292929292929294,0.002181818181818181,0.001775578918436053,0.010975056689342403,-0.015288943860372443,0.010040404040404027,0.010121212121212123,-3.6281179138322186E-4,-0.003050917336631624,-0.002392633821205248,0.0061548821548821535,0.0010142238713667152,-7.94612794612796E-4,1.3468013468013554E-4,0.01419528619528618,-0.012247646533360804,-0.007246615818044404,-0.01586751872466159,-0.003717446574589426,0.013703703703703699,-8.88888888888902E-4,0.010396481825053254,0.0011818868961726015,-0.008515082800797096,-1.5488215488217437E-4,0.001690235690235701,0.003023569023569032,-0.0018759018759018752,0.003508417508417505,-0.00839139696282554,0.013245791245791243,-0.0018989898989899112,0.004657458943173217,5.791245791245717E-4,0.007845117845117825,-0.006148148148148147,-0.0017549646121074866,-0.008777571634714498,0.00636363636363636,-0.015084175084175089,-0.015205387205387211,-0.0039057239057239163,-4.3427471998902143E-4,0.004572390572390565,-0.0053514739229025094,-0.0020269360269360476,-0.011043771043771033,-0.01090909090909092,-0.0033670033670033703
ecoli,-0.03058823529411766,-0.04450980392156865,0.020392156862745068,-0.04764705882352944,0.007892156862745107,0.030196078431372543,0.009019607843137238,0.015490196078431351,0.034852941176470566,0.05718137254901959,0.011862745098039218,-0.044705882352941186,-0.06901960784313728,0.008284313725490185,0.025539215686274503,0.023063725490196075,0.009607843137254872,-0.04666666666666668,-0.01058823529411768,0.037769607843137244,0.039215686274509776,0.022794117647058822,0.014534313725490192,0.02071078431372549,-0.060392156862745135,0.03588235294117645,0.02627450980392155,-0.0029411764705882396,0.02965686274509804,0.03745098039215685,0.004313725490196056,-0.014117647058823552,0.025490196078431348,0.030588235294117645,-0.009607843137254931,0.020318627450980394,0.0015686274509803754,0.04470588235294115,0.015269607843137252,-0.055098039215686276,0.05392156862745095,-0.011568627450980407,0.017892156862745097,0.03208333333333333,-0.027647058823529445,0.0018214032600992228,-0.03764705882352941,-0.007391920623671152,0.03539215686274509,-0.006666666666666677,-0.04058823529411767,-0.004509803921568656,-0.00517363571934798,0.010399244034963385,0.0023836522560831646
glass,0.014011676396997482,-0.007061440088963041,0.025298860161245475,0.005688073394495389,-0.01654434250764528,-0.03501529051987769,0.054656658326383105,0.07086460939671949,-0.02749235474006117,-0.025932721712538232,0.01507645259938836,-0.06352515985543511,-0.044036697247706424,-0.0013761467889908396,-0.00614678899082571,-0.05996941896024466,0.06630525437864888,-0.03489296636085629,-0.003169307756463722,-0.031498470948012246,-0.011982207395051441,-0.02452599388379207,-0.02162079510703365,-0.01666666666666668,-0.035076452599388415,-0.027939949958298595,0.0019182652210175102,-0.049877675840978596,-0.018654434250764552,-0.07859327217125384,0.013817069780372523,0.03842090631081456,-0.029190992493744808,-0.018899082568807356,0.020795107033639137,-0.02547400611620797,0.01990547678621073,0.005810397553516796,-0.06345565749235473,0.00870169585765916,-0.010147345009730333,0.03972755073672504,-0.030764525993883796,-0.07859327217125384,0.05807617458993605,-0.012156691422746467,0.023797609118710032,3.8153487694770894E-4,-0.028318042813455683,0.041923825410063946,-0.03562691131498473,-0.00475396163469558,-0.023966797728265633,-0.029349060725207522,-0.02550167467598661
hill-valley,-0.012021857923497277,-0.014122887698605927,-0.006447366048080226,-0.008288697722231241,0.004262926292629271,-6.655665566556668E-4,0.009690887121499044,0.00896048621255567,0.0010561056105610571,7.755775577557781E-4,0.004543454345434539,0.0020775848076610964,-0.009389709462749552,0.004312431243124307,0.007299229922992275,0.00462596259625964,0.0058044329023066365,-0.010427600137062874,-0.009454633987988974,-0.0010341034103410216,-0.0058495193781673335,0.0012376237623762535,4.89548954895495E-4,-0.00354785478547854,-0.014938051182167391,0.005309383397356132,0.0027638009702609673,-0.008193114393406562,0.013987898789879003,0.003338833883388352,0.011102093815938963,0.005805334631823833,0.01848455337337012,9.405940594059414E-4,-0.0074239391152229805,-0.003162816281628154,-0.014988548035131381,-0.008544788905120008,4.23542354235427E-4,-0.011486230590272135,0.006542949376904894,0.017326732673267325,0.01448844884488449,-0.004493949394939472,0.011488935778823796,-0.011001100110010997,-0.009341016068820006,-0.0013201320132013175,0.03990649064906493,0.010621471983263896,0.01063229273747046,0.024637955598838586,-0.0016501650165016443,-0.004950495049504955,0.010396039603960388
