TRAINTESTDIFFSACCSTDDEVS:,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
bank,0.020002032754078677,0.01444560838731024,0.013237796099971576,0.009815677091450314,0.014076637717006492,0.014967318777011372,0.015144118061471642,0.014803362959132566,0.016788286693632862,0.018285604540802643,0.01593784180105816,0.011568282057756198,0.018712481874351365,0.012117138551832822,0.01419211382153651,0.013524998617743977,0.017936118369191293,0.020428197707608006,0.016342298658825704,0.0130381281153916,0.019815482770191566,0.01887527536862806,0.014571588961497189,0.014716990221200524,0.012311680801337814,0.019141190267051512,0.017132626556888034,0.01440318846219289,0.040020027533782775,0.019871902616156116,0.03195387253945593,0.019307167225250273,0.014594919214089175,0.017890241905503684,0.017190373200668102,0.011205310983543378,0.016487342537758725,0.013560138201303399,0.039236135780800104,0.03399802821513799,0.030101127469224696,0.01746085037295174,0.029392505802167762,0.01637208033186735,0.02607103273922306,0.006877324566614117,0.017514193833881555,0.006927715852276936,0.024127935877804037,0.026644444532677097,0.017108403177013995,0.015843588676953405,0.010688436996113443,0.009170713932371713,0.016907205741283914
blood,0.046808388352761715,0.03918968864362066,0.04268156883242211,0.04235133873392522,0.0330259079329676,0.05717055712641292,0.03710422485930147,0.03588701014593142,0.034742730839799674,0.05472686308170538,0.02985814785950266,0.03417890605512194,0.05199604394176664,0.029914474536113483,0.042038035104836495,0.052412100191565794,0.04774042406726097,0.06692632934208975,0.056323097164529566,0.038966026356138585,0.050253344275603344,0.05011792004081897,0.028279905005119895,0.02249867829262134,0.040472888534666,0.04664527959105445,0.05291928680083742,0.06224130168940826,0.05861783506859833,0.06833433372482667,0.04978978885300184,0.04998157804846957,0.03266819134882171,0.05621445396392045,0.05047833219517345,0.037725254620280965,0.049508388448707946,0.033030619181118506,0.057616197219467535,0.07074499530658179,0.05181386092096097,0.04891538136060737,0.06409367715376856,0.06482212044801149,0.04782654003963377,0.017948739801727325,0.053714313127140305,0.01704995095680909,0.04190604313980835,0.05361180191239131,0.047839628244966834,0.04833559618590221,0.023440396218536694,0.03278029593294924,0.023088056312457455
breast-cancer-wisc-diag,0.036402141870316145,0.038996902950841975,0.04617666080251719,0.05138889327208905,0.03766676522190426,0.06965576905984387,0.035317169677433334,0.05124193582828618,0.044075112246984224,0.04354193957036308,0.03429595595032033,0.031625771100045004,0.0381783345350423,0.05153779007320127,0.041777715892666246,0.044521841410166504,0.0397211016663101,0.04518731939127576,0.04676011885342571,0.03871797588769248,0.06544160122696363,0.038687338857564695,0.046755536461639574,0.028902847876073733,0.036044245068708375,0.037226153841587686,0.026890380605585483,0.05179447689549753,0.03362255958740387,0.03865138875164074,0.034834781431282005,0.039340440899499965,0.04592464708639357,0.04296260241144894,0.03642504198507284,0.03529278124647136,0.050305946823271934,0.0351263368830439,0.041604350379129115,0.030607535489498492,0.04447911012536993,0.031049899726803144,0.03215090978197797,0.051585361116398186,0.054863733539339585,0.011898394996746133,0.05711272290041521,0.022010724513658073,0.03923413506077851,0.036309364566769864,0.036101781783561625,0.03162495422135685,0.018445854741706975,0.025320226321108384,0.01607281075994742
breast-tissue,0.15957728599671278,0.1967677896129979,0.1672215350925728,0.15939181866263402,0.17692096100098412,0.19170971129609357,0.20459767457557404,0.20860809184260964,0.1848366665095084,0.21729637092486573,0.21105430438236872,0.17129959266442735,0.18873832679185543,0.20245100324789927,0.2142444829739539,0.1742945353586697,0.18508831012299895,0.1762315688725267,0.19955234261279126,0.21278310653456828,0.21534336994038042,0.1638410493153018,0.24774835473969292,0.1828944741107976,0.14577391905306356,0.16177729592600357,0.20692125868802697,0.17915270256881063,0.23197857226817384,0.17020296437823929,0.1623428058283728,0.22335457208744333,0.18465654644004834,0.17177113090786647,0.17372345875296094,0.16661155136181613,0.20107201305237488,0.14356606004759892,0.16954586988812578,0.17366831326689713,0.12834460072034556,0.17351749285139526,0.20417739729829806,0.20559400037050712,0.16419192928089368,0.0771023709185256,0.2011431624775944,0.1032547096530554,0.18802543069410793,0.19885617288374297,0.18341551193862787,0.2219698083988578,0.0724671474076801,0.08471509788418825,0.08175261424928706
cardiotocography-10clases,0.03718064109052406,0.05033470617320174,0.04006957467059163,0.04387548737938398,0.033364409277617364,0.039750103447528135,0.032664919302078356,0.03628944361763453,0.03582010681779643,0.03796389167869122,0.03919347013076832,0.03977991607433547,0.04343041962446255,0.040134765748055516,0.04761915962664593,0.0396969329970272,0.04313929065539163,0.03883758045657407,0.048593845743085326,0.03934509425454796,0.04530802343035165,0.04170047736359883,0.03275312768473495,0.041369462481557685,0.039011417361476314,0.041689616719932966,0.03381328878157123,0.039197847963134844,0.04173696799158026,0.0385875307059273,0.05103425338050659,0.03685645317223508,0.03975731941211169,0.04336120484708393,0.039348919217462155,0.04325483935807256,0.042358539721198546,0.03237965511875968,0.0434199919298138,0.04347605023694649,0.04276386846766751,0.02763754492529211,0.0473046944196609,0.04820775134483048,0.03193594273108828,0.012799713524588604,0.04049118536554848,0.018640237008988644,0.04585112333434737,0.04268698863476007,0.03646221722243077,0.04124992451333749,0.020135271310918076,0.01851257750423335,0.023734380118226348
conn-bench-sonar-mines-rocks,0.13384840695157663,0.1461778795726182,0.10628032195632275,0.13348181583008467,0.1600977755305173,0.16820426091866864,0.11313584209515345,0.1442594230247231,0.18351262567009405,0.13186194543378507,0.14100459099023777,0.13686207420919472,0.15010478438408648,0.1841508581619561,0.11993256200112797,0.19095888483341852,0.0957992083258895,0.1044306101641175,0.17137808658800807,0.12847063697132455,0.10458978341940396,0.1103463792016956,0.12678059084960663,0.12588685059575475,0.12945287667802044,0.1409257361502977,0.16039810573573318,0.1191761757980081,0.1128864347354811,0.12302983835837919,0.123469762640212,0.1631401069305235,0.16410412688273573,0.15741546406381535,0.12334815726024027,0.11861267013789624,0.1312060537481091,0.1097096411278535,0.1266402020165982,0.1301765844082919,0.10058276811134999,0.1313938544343265,0.12543509908999867,0.11906852580515291,0.12455205573934751,0.051990351862181025,0.12113929529146311,0.0603211269972368,0.11957834626319272,0.11459383660913305,0.11864090349482308,0.09372637103290173,0.062015563116530455,0.070663941567051,0.05309662288198311
conn-bench-vowel-deterding,0.050975319468235095,0.06589376937412358,0.0589144135950041,0.05663994785873236,0.05729588016831668,0.05914364895821373,0.054670738635147896,0.05732731968788642,0.04214270531807085,0.07968355236025212,0.07720184167227181,0.054010122474165076,0.04234768930312787,0.05012616778273991,0.05790982794276464,0.04428285966660912,0.04789507585902659,0.04791224256469148,0.05764026117408299,0.05646977269265177,0.06191924438358621,0.044066635024655916,0.06567159849350573,0.057590583357091225,0.06649527510593801,0.04004473056824501,0.06498725049705653,0.054562000201254374,0.014871319142039438,0.037344831755362275,0.017331051978203164,0.07320435422775211,0.05870599827749734,0.05989990529335001,0.051303846301834405,0.056022635649116956,0.0586890042741611,0.0602196575680137,0.014364192952174845,0.017941892606961263,0.017873706805896585,0.059255678807427034,0.01800221636133881,0.04271789286445,0.042749734098246735,0.02674704400329018,0.06864183852549677,0.02841157606169113,0.020916883817379186,0.013044967928495637,0.02125353949568265,0.020969838127890696,0.026091845296756896,0.029655688697876277,0.008803192450189644
ecoli,0.10355107647191227,0.0711385467729874,0.10323179300170125,0.09911131187583579,0.08768356351213,0.10159635423679889,0.08966034268988018,0.09314255705344851,0.09283333120903903,0.08031858734622245,0.08517025465834067,0.07281150549397565,0.09192337316820982,0.08874975387229597,0.096942530777545,0.09952635925628667,0.08873399747783244,0.07387437673081419,0.10240398810990589,0.06737407530605861,0.06853562870986742,0.08223355044624633,0.076502685604007,0.08763084957161607,0.08374558966257878,0.07185061196873406,0.07076943162672818,0.08446650309071743,0.08460154872044286,0.07820693462318766,0.08008963677322037,0.08646085965888324,0.07434771166381937,0.12903284466748355,0.08141282188888643,0.06735719362791762,0.08469480056726801,0.07470420531250799,0.10171368331401973,0.08662469651533984,0.0689824681868798,0.11331247424617819,0.08433293607899545,0.06153168983180659,0.08251433041466176,0.030665812641299094,0.0955094854266685,0.0317083041798826,0.06299536222938168,0.08730043406360813,0.0676245663285552,0.09364337060088733,0.03811806485607227,0.04887587049417609,0.03402573442434001
glass,0.13024300799442445,0.1584326489543969,0.1115375146118687,0.12768667553976212,0.16213758537279016,0.17983621765343089,0.1476141202288634,0.13137003076488352,0.15130825571666243,0.11825084020870612,0.1299709238116229,0.16075865651140836,0.13438514804344534,0.1487395611158759,0.11642894979476977,0.1612931676929554,0.12956875331455295,0.12807388473987524,0.14847036037482642,0.142412888114794,0.1406468693778859,0.1238329235340038,0.12084509021855348,0.14746602867181668,0.13702111436843312,0.12895360611190637,0.11738049905401707,0.17188228018536644,0.11424221402461048,0.11809178650591567,0.14434544099848948,0.14145097419955066,0.11743460781321423,0.162143513315296,0.1183684009272243,0.14581527793791066,0.17794325348459322,0.1564664735708879,0.17769296020001207,0.12736008111749852,0.13515840318005165,0.11994749735663252,0.14386879659558713,0.11316221563710797,0.12388900685620514,0.06256100294095329,0.1431862242789839,0.04754290652170413,0.1180018986921365,0.15197776329486898,0.1866018438059572,0.12230337953592822,0.06344152062327564,0.0687755185323306,0.07025242609079924
hill-valley,0.020951136079432588,0.04471051501125066,0.009581613388519393,0.04550083197784597,0.0524246209653983,0.0036454581660134867,0.04952355437573715,0.04749535859283523,0.019020395371572952,0.004248013234776056,0.049067521032224885,0.05552571647009502,0.02919200397595151,0.06358257751057199,0.037818961870180495,0.030665079098747574,0.024414325705263182,0.02341817251517695,0.01906433265127457,0.03736637096329318,0.015184806951903084,0.022084368920819636,0.061132406645639105,0.042362436804390995,0.03561649531081442,0.03049823443099654,0.04207234534039464,0.011629539594204593,0.06426278057473384,0.0282920691544705,0.07388529477329653,0.04653283193455281,0.05172488004025282,0.007668680124361688,0.026302691216889933,0.04607515073975541,0.043034248930376724,0.03961284717779338,0.07758088470247501,0.06684179072145739,0.04479632246640021,0.044014374772050564,0.06630913087375614,0.02107581432172498,0.031908253772394785,0.04410292070557155,0.005694530581878348,0.030988336141636874,0.055721057474842066,0.0660043670002828,0.06383278585789808,0.07660752287191298,0.01047248623678373,0.007405166033912558,0.035357988159503674
