TRAINTESTDIFFSACC,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
AvgTRAINTESTDIFFSACCOverDsets:,-4.756809974296733E-4,-0.001773957164234362,0.007014835186519952,0.0017083626552350107,3.6995038242035875E-4,0.0020967187980357256,0.004034743533934749,0.0035259217046900403,3.667280679970515E-4,0.0023774121482477424,0.0012632482968175853,-0.004943641726728162,-0.004061456467040074,-0.0012205460463804477,0.0017512229058256285,2.0673146834991137E-5,0.0037274801464224597,8.178891246546627E-5,-0.0027645637596213505,2.9473391487138805E-4,-0.0015307139029950877,-9.494901775836267E-4,0.0010232261398710487,1.4153018407595205E-4,-0.0023126990455693674,5.259981973952631E-4,-0.002809578802208026,-0.002468493781766514,-0.010231993305943217,-4.5093114397175326E-4,-0.006968954410320167,-0.0017904831673962,-0.0031452181818118164,3.867879202230831E-4,-0.002896496169335636,-0.001413835721695721,-0.0036444624345600583,-0.0023211794891681795,-0.00837898468504956,-0.014586260948374074,-0.009518298835179845,-0.0035903615472182523,-0.00847252244654964,0.0012070553397111393,-0.0049547664595106684,-0.0036572708030891887,-0.005742167422886507,-0.0038372053264041383,-0.008598769791178408,-0.012920948562140632,-0.01373515423646522,-0.01187368809232655,-0.004647212799855568,-0.00479929144910429,-0.014480088238251346
AvgTRAINTESTDIFFSACCRankOverDsets:,23.384615384615383,23.641025641025642,24.0,24.05128205128205,24.23076923076923,24.58974358974359,24.67948717948718,24.743589743589745,24.82051282051282,24.871794871794872,25.17948717948718,25.205128205128204,25.53846153846154,25.794871794871796,25.82051282051282,25.871794871794872,26.17948717948718,26.256410256410255,26.333333333333332,26.435897435897434,26.512820512820515,26.58974358974359,26.641025641025642,26.666666666666668,26.897435897435898,27.102564102564102,27.102564102564102,27.17948717948718,27.205128205128204,27.846153846153847,28.23076923076923,28.256410256410255,28.307692307692307,28.307692307692307,28.423076923076923,28.73076923076923,28.743589743589745,28.78205128205128,28.96153846153846,29.384615384615383,29.384615384615383,29.525641025641026,29.743589743589745,29.833333333333332,30.512820512820515,30.512820512820515,31.025641025641026,31.384615384615383,31.653846153846153,32.85897435897436,32.91025641025641,33.55128205128205,34.26923076923077,36.47435897435897,38.85897435897436
StddevOfTRAINTESTDIFFSACCOverDsets:,0.030513972633377132,0.03142639437913578,0.01899900708081129,0.01409177174323746,0.011397170396744889,0.018447673461726783,0.017403639220151344,0.017559182026553034,0.016369244839909692,0.01821025405473147,0.011891392240806986,0.0261166391502107,0.02029867657699449,0.012280186058803036,0.013912532852599897,0.018836239438717702,0.018397405876277508,0.013821783187889427,0.027444648899786723,0.015144976469517237,0.021693692590040437,0.01047777010204538,0.014933515518269509,0.014494911284814968,0.016152663614411145,0.01765777750912343,0.026632928393288017,0.015187635102043863,0.03640818447604351,0.018820664413024716,0.03322425404520322,0.027726591125536475,0.015296702227634568,0.012362003609371739,0.030098289749206024,0.01585867082104561,0.02887481491326871,0.015325411739080436,0.03640940308173485,0.04674032220674991,0.03945005310362347,0.027127808937470688,0.03262853842487817,0.023541558796405584,0.024996750561712373,0.010161192557080057,0.027885756758081727,0.009716796139686993,0.034998578670394395,0.047954375522965643,0.033557151523536444,0.04042429790772607,0.009025087019935766,0.009606187298273639,0.03370703736131438
AvgOfStddevsOfTRAINTESTDIFFSACCOverDsetFolds:,0.05354881310335097,0.05801863024526573,0.048414678415483824,0.05493652330126012,0.05537475631277734,0.058069514353012046,0.05296853060309075,0.05932490940285346,0.050856553939724,0.052329010432317045,0.058177444099436974,0.054737394539165485,0.055899581019339166,0.06020376900765564,0.05890862170150878,0.05953932877180818,0.052126622862915556,0.053836742492706514,0.05446696760333167,0.05466640083849981,0.05505476884315945,0.05361976658265236,0.05956126834439813,0.051787287909282664,0.051873719538788096,0.05329949932446157,0.051684614078212156,0.053754173076950296,0.054975141963887156,0.054874212174147466,0.055741693589807094,0.062195031983858264,0.05846384858154138,0.0537716824110748,0.054033166314767435,0.05277394205627292,0.06052613498778031,0.05337815746038203,0.05704776114406918,0.05591036138727521,0.05304085373456989,0.053955309957768094,0.057358472546192786,0.056187063281830624,0.05366508082189917,0.02768903784853591,0.05264291705388984,0.02740168751396468,0.054093422078870024,0.05581613198160267,0.05251564285650446,0.05363984456533719,0.02827214838759669,0.026295891558921626,0.025541518840348856
StddevsOfTRAINTESTDIFFSACCRanksOverDsets:,18.265030414220192,17.28170188300358,17.29618150739758,14.269859140581515,14.146715330983035,17.36560112878626,15.76658991744351,15.076503065013641,15.749472497217829,16.738200065434135,16.78952021958277,15.551577153356993,14.755634345539717,16.720896927559785,15.35521820248361,16.91181382033451,15.22786883328651,15.907161493322084,16.793377976442056,15.462679810969775,17.958829810183822,12.012532816578098,15.617950501514157,16.537570198495768,16.884740653518257,15.594862298028378,15.498378305308815,16.536835748479806,13.930616579053657,15.369635926137752,16.027052029650793,16.731184166601423,15.62749575209609,15.776654715372874,16.17362149886858,15.755051885634279,16.988723734967554,16.243539149537707,17.586771574480505,17.531348440369662,17.01797097283894,15.114017856363779,16.088109287882133,15.48527880437168,17.554234449229497,9.216323604492521,15.957982954402773,10.474569164900453,16.181191910978594,18.052171730391215,17.257291286992366,16.546105787590715,12.19191176766824,10.411878791697944,9.77304881451557

flat,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
C4.5_cvFold4,0|39|0,20|0|19,22|0|17,20|0|19,21|0|18,21|0|18,21|0|18,21|0|18,22|0|17,23|0|16,19|0|20,17|0|22,23|0|16,21|0|18,24|0|15,21|0|18,23|0|16,21|0|18,20|0|19,21|0|18,24|0|15,21|0|18,24|0|15,22|0|17,23|0|16,24|0|15,23|0|16,20|0|19,21|0|18,25|0|14,26|0|13,18|0|21,23|0|16,25|0|14,22|0|17,25|0|14,23|0|16,24|0|15,25|0|14,27|0|12,25|0|14,23|0|16,27|0|12,22|0|17,20|0|19,22|0|17,21|0|18,23|0|16,26|0|13,24|0|15,25|0|14,28|0|11,24|0|15,29|0|10,28|0|11
Logistic_cvFold4,19|0|20,0|39|0,23|0|16,21|0|18,16|0|23,19|0|20,21|0|18,20|0|19,21|0|18,23|0|16,19|0|20,22|0|17,23|0|16,20|0|19,18|0|21,21|0|18,20|0|19,22|0|17,17|0|22,21|0|18,21|0|18,21|0|18,23|0|16,23|0|16,25|0|14,22|0|17,20|0|19,22|0|17,23|0|16,25|0|14,23|0|16,22|0|17,25|0|14,24|0|15,21|0|18,25|0|14,23|0|16,20|0|19,21|0|18,25|0|14,25|0|14,27|0|12,23|0|16,28|0|11,24|0|15,23|0|16,24|0|15,24|0|15,26|0|13,28|0|11,24|0|15,25|0|14,25|0|14,27|0|12,30|0|9
