TRAINTESTDIFFSAUROCRANKS:,NN,C4.5_cvFold1,C4.5_cvFold6,NN_cvFold9,MLP_cvFold5,SVML_cvFold7,Logistic_cvFold4,MLP_cvFold3,Logistic_cvFold6,NN_cvFold1,Logistic_cvFold5,NN_cvFold4,NN_cvFold7,SVML_cvFold9,Logistic_cvFold9,NN_cvFold6,SVML_cvFold5,SVML_cvFold4,MLP_cvFold1,MLP_cvFold4,MLP_cvFold6,MLP_cvFold7,Logistic_cvFold3,C4.5_cvFold4,SVML_cvFold6,C4.5_cvFold0,C4.5_cvFold3,C4.5_cvFold7,NN_cvFold0,SVML_cvFold3,C4.5_cvFold5,C4.5_cvFold9,NN_cvFold2,SVML_cvFold1,NN_cvFold8,MLP_cvFold9,C4.5,NN_cvFold5,Logistic_cvFold7,SVML_cvFold0,Logistic_cvFold1,C4.5_cvFold8,Logistic_cvFold0,SVML_cvFold2,MLP_cvFold2,Logistic_cvFold8,Logistic_cvFold2,NN_cvFold3,SVML_cvFold8,MLP_cvFold0,MLP_cvFold8,C4.5_cvFold2,SVML,MLP,Logistic
bank,1.0,4.0,32.0,6.0,10.0,29.0,35.0,37.0,42.0,7.0,19.0,16.0,24.0,26.0,28.0,3.0,20.0,45.0,9.0,55.0,48.0,38.0,18.0,12.0,47.0,21.0,25.0,11.0,44.0,17.0,8.0,49.0,15.0,14.0,13.0,43.0,2.0,5.0,40.0,27.0,22.0,53.0,31.0,33.0,50.0,54.0,46.0,39.0,52.0,34.0,23.0,30.0,36.0,51.0,41.0
blood,9.0,24.0,31.0,8.0,28.0,6.0,42.0,22.0,23.0,26.0,17.0,49.0,7.0,11.0,12.0,5.0,4.0,39.0,21.0,48.0,25.0,10.0,27.0,44.0,19.0,53.0,18.0,2.0,47.0,16.0,45.0,38.0,54.0,41.0,32.0,14.0,1.0,13.0,3.0,36.0,29.0,20.0,35.0,51.0,52.0,30.0,50.0,15.0,33.0,43.0,40.0,55.0,37.0,46.0,34.0
breast-cancer-wisc-diag,9.0,50.0,10.0,35.0,46.0,39.0,2.0,31.0,18.0,11.0,42.0,15.0,52.0,24.0,8.0,21.0,45.0,30.0,25.0,23.0,28.0,41.0,47.0,5.0,33.0,19.0,55.0,54.0,36.0,17.0,13.0,4.0,3.0,32.0,12.0,20.0,6.0,14.0,49.0,43.0,51.0,7.0,53.0,34.0,44.0,1.0,22.0,16.0,27.0,48.0,26.0,38.0,40.0,37.0,29.0
breast-tissue,42.0,15.0,30.0,46.0,17.0,10.0,33.0,53.0,9.0,19.0,25.0,39.0,29.0,22.0,16.0,20.0,4.0,11.0,35.0,12.0,2.0,8.0,54.0,3.0,1.0,47.0,55.0,7.0,6.0,51.0,24.0,38.0,43.0,21.0,14.0,18.0,37.0,32.0,41.0,28.0,48.0,31.0,27.0,40.0,50.0,26.0,44.0,52.0,13.0,23.0,5.0,45.0,34.0,36.0,49.0
cardiotocography-10clases,35.0,8.0,48.0,49.0,20.0,29.0,22.0,13.0,47.0,7.0,11.0,15.0,1.0,31.0,52.0,55.0,14.0,26.0,10.0,30.0,27.0,38.0,12.0,5.0,33.0,9.0,16.0,4.0,23.0,6.0,3.0,53.0,54.0,25.0,36.0,43.0,50.0,21.0,28.0,32.0,41.0,45.0,44.0,18.0,19.0,34.0,17.0,2.0,39.0,24.0,40.0,46.0,37.0,42.0,51.0
conn-bench-sonar-mines-rocks,1.0,12.0,17.0,4.0,23.0,41.0,10.0,22.0,35.0,52.0,7.0,37.0,2.0,34.0,55.0,29.0,33.0,26.0,24.0,40.0,49.0,39.0,8.0,15.0,53.0,18.0,28.0,14.0,27.0,42.0,51.0,3.0,6.0,36.0,31.0,21.0,5.0,20.0,54.0,45.0,9.0,44.0,38.0,16.0,13.0,19.0,11.0,47.0,30.0,50.0,46.0,32.0,43.0,48.0,25.0
conn-bench-vowel-deterding,42.0,15.0,8.0,22.0,30.0,14.0,20.0,21.0,33.0,31.0,38.0,28.0,12.0,37.0,48.0,24.0,19.0,6.0,18.0,11.0,50.0,25.0,2.0,46.0,36.0,3.0,52.0,5.0,4.0,29.0,26.0,1.0,13.0,9.0,32.0,49.0,55.0,47.0,45.0,34.0,17.0,41.0,10.0,27.0,16.0,40.0,23.0,35.0,39.0,7.0,51.0,53.0,44.0,43.0,54.0
ecoli,20.0,12.0,2.0,16.0,42.0,35.0,51.0,30.0,22.0,15.0,53.0,50.0,26.0,34.0,8.0,21.0,55.0,54.0,29.0,49.0,24.0,36.0,27.0,47.0,28.0,5.0,40.0,7.0,9.0,31.0,48.0,1.0,17.0,38.0,11.0,33.0,41.0,52.0,18.0,25.0,23.0,4.0,3.0,32.0,39.0,6.0,37.0,10.0,14.0,13.0,19.0,45.0,46.0,44.0,43.0
glass,26.0,5.0,39.0,16.0,54.0,29.0,15.0,22.0,51.0,6.0,34.0,20.0,50.0,23.0,8.0,44.0,53.0,13.0,2.0,32.0,45.0,55.0,11.0,3.0,43.0,36.0,19.0,41.0,30.0,10.0,49.0,27.0,9.0,7.0,42.0,47.0,31.0,40.0,14.0,38.0,1.0,24.0,28.0,18.0,4.0,35.0,21.0,17.0,37.0,52.0,48.0,12.0,33.0,46.0,25.0
hill-valley,2.0,23.0,22.0,14.0,13.0,18.0,39.0,9.0,47.0,8.0,28.0,42.0,26.0,34.0,21.0,3.0,48.0,40.0,20.0,44.0,45.0,52.0,25.0,36.0,11.0,29.0,31.0,35.0,10.0,33.0,27.0,30.0,15.0,43.0,12.0,46.0,1.0,4.0,37.0,53.0,49.0,32.0,17.0,16.0,6.0,19.0,50.0,7.0,38.0,24.0,51.0,41.0,54.0,5.0,55.0
image-segmentation,26.0,32.0,43.0,14.0,3.0,11.0,17.0,9.0,44.0,50.0,35.0,36.0,48.0,21.0,28.0,51.0,13.0,41.0,22.0,12.0,15.0,1.0,27.0,31.0,25.0,7.0,52.0,20.0,23.0,37.0,34.0,49.0,8.0,29.0,40.0,5.0,47.0,18.0,6.0,30.0,45.0,54.0,33.0,10.0,2.0,39.0,19.0,53.0,24.0,16.0,46.0,4.0,38.0,55.0,42.0
ionosphere,1.0,46.0,44.0,9.0,39.0,12.0,49.0,8.0,17.0,28.0,20.0,4.0,29.0,7.0,2.0,25.0,5.0,19.0,31.0,16.0,18.0,38.0,36.0,53.0,26.0,51.0,30.0,27.0,52.0,32.0,23.0,14.0,55.0,35.0,40.0,33.0,3.0,11.0,41.0,15.0,54.0,6.0,50.0,21.0,34.0,45.0,43.0,24.0,13.0,48.0,42.0,10.0,22.0,37.0,47.0
iris,17.0,1.0,23.0,13.0,22.0,42.0,30.0,35.0,43.0,27.0,3.0,16.0,36.0,45.0,39.0,15.0,28.0,44.0,33.0,38.0,25.0,29.0,19.0,10.0,20.0,8.0,6.0,2.0,26.0,32.0,11.0,53.0,54.0,49.0,9.0,41.0,12.0,34.0,4.0,21.0,5.0,14.0,47.0,18.0,51.0,7.0,55.0,46.0,52.0,37.0,31.0,48.0,50.0,40.0,24.0
libras,44.0,23.0,7.0,30.0,49.0,12.0,27.0,29.0,16.0,53.0,20.0,37.0,3.0,25.0,10.0,2.0,32.0,31.0,18.0,21.0,24.0,8.0,17.0,52.0,11.0,1.0,54.0,4.0,39.0,15.0,46.0,22.0,34.0,14.0,9.0,47.0,41.0,50.0,6.0,13.0,40.0,5.0,43.0,19.0,35.0,38.0,28.0,51.0,45.0,26.0,55.0,36.0,42.0,48.0,33.0
magic,1.0,36.0,50.0,24.0,28.0,49.0,30.0,11.0,4.0,25.0,17.0,8.0,33.0,35.0,39.0,13.0,19.0,38.0,43.0,23.0,16.0,31.0,7.0,42.0,3.0,51.0,10.0,55.0,47.0,9.0,14.0,5.0,32.0,52.0,48.0,21.0,2.0,6.0,45.0,37.0,53.0,34.0,40.0,18.0,12.0,46.0,22.0,20.0,44.0,54.0,29.0,15.0,26.0,41.0,27.0
miniboone,2.0,52.0,15.0,20.0,7.0,39.0,36.0,46.0,14.0,51.0,9.0,21.0,5.0,13.0,16.0,22.0,4.0,41.0,45.0,35.0,11.0,19.0,30.0,10.0,17.0,33.0,43.0,6.0,44.0,47.0,3.0,23.0,38.0,31.0,12.0,29.0,18.0,8.0,27.0,53.0,49.0,32.0,50.0,34.0,28.0,24.0,40.0,25.0,26.0,48.0,37.0,54.0,42.0,55.0,1.0
oocytes_merluccius_nucleus_4d,3.0,35.0,8.0,51.0,5.0,49.0,44.0,22.0,26.0,20.0,23.0,13.0,46.0,32.0,27.0,55.0,19.0,31.0,21.0,41.0,50.0,40.0,30.0,24.0,45.0,36.0,14.0,29.0,18.0,39.0,7.0,42.0,9.0,2.0,47.0,33.0,1.0,15.0,52.0,6.0,16.0,54.0,25.0,4.0,11.0,43.0,12.0,53.0,48.0,10.0,37.0,17.0,34.0,28.0,38.0
oocytes_trisopterus_states_5b,41.0,20.0,1.0,44.0,9.0,21.0,8.0,19.0,6.0,47.0,26.0,51.0,52.0,46.0,42.0,4.0,29.0,32.0,34.0,22.0,5.0,12.0,15.0,40.0,3.0,18.0,50.0,55.0,49.0,17.0,48.0,54.0,13.0,10.0,37.0,28.0,53.0,24.0,27.0,25.0,35.0,2.0,14.0,30.0,33.0,11.0,7.0,39.0,16.0,45.0,23.0,36.0,31.0,38.0,43.0
optical,16.0,10.0,17.0,37.0,42.0,33.0,2.0,41.0,6.0,54.0,49.0,12.0,53.0,45.0,14.0,21.0,47.0,23.0,46.0,28.0,39.0,30.0,18.0,4.0,19.0,1.0,31.0,51.0,27.0,43.0,3.0,11.0,52.0,26.0,36.0,34.0,55.0,22.0,13.0,24.0,50.0,15.0,7.0,38.0,25.0,8.0,5.0,48.0,29.0,20.0,35.0,9.0,44.0,40.0,32.0
ozone,2.0,39.0,45.0,3.0,38.0,14.0,12.0,25.0,9.0,11.0,42.0,28.0,33.0,16.0,5.0,6.0,40.0,27.0,34.0,22.0,15.0,18.0,48.0,8.0,31.0,21.0,7.0,37.0,44.0,19.0,13.0,20.0,29.0,35.0,53.0,4.0,1.0,47.0,43.0,46.0,30.0,51.0,17.0,24.0,23.0,32.0,10.0,52.0,49.0,50.0,54.0,41.0,36.0,26.0,55.0
page-blocks,55.0,23.0,6.0,26.0,48.0,17.0,10.0,30.0,27.0,3.0,18.0,2.0,4.0,14.0,22.0,9.0,50.0,13.0,46.0,7.0,34.0,8.0,43.0,52.0,45.0,53.0,29.0,21.0,20.0,28.0,33.0,16.0,25.0,44.0,11.0,24.0,54.0,32.0,19.0,42.0,47.0,1.0,40.0,38.0,39.0,12.0,15.0,36.0,37.0,49.0,35.0,5.0,41.0,51.0,31.0
