TRAINTESTDIFFSAUROCSTDDEVS:,NN,C4.5_cvFold1,C4.5_cvFold6,NN_cvFold9,MLP_cvFold5,SVML_cvFold7,Logistic_cvFold4,MLP_cvFold3,Logistic_cvFold6,NN_cvFold1,Logistic_cvFold5,NN_cvFold4,NN_cvFold7,SVML_cvFold9,Logistic_cvFold9,NN_cvFold6,SVML_cvFold5,SVML_cvFold4,MLP_cvFold1,MLP_cvFold4,MLP_cvFold6,MLP_cvFold7,Logistic_cvFold3,C4.5_cvFold4,SVML_cvFold6,C4.5_cvFold0,C4.5_cvFold3,C4.5_cvFold7,NN_cvFold0,SVML_cvFold3,C4.5_cvFold5,C4.5_cvFold9,NN_cvFold2,SVML_cvFold1,NN_cvFold8,MLP_cvFold9,C4.5,NN_cvFold5,Logistic_cvFold7,SVML_cvFold0,Logistic_cvFold1,C4.5_cvFold8,Logistic_cvFold0,SVML_cvFold2,MLP_cvFold2,Logistic_cvFold8,Logistic_cvFold2,NN_cvFold3,SVML_cvFold8,MLP_cvFold0,MLP_cvFold8,C4.5_cvFold2,SVML,MLP,Logistic
bank,0.10420556797235332,0.08582776619618183,0.08368484125174425,0.06517433299552365,0.05351007971327052,0.037017328134095716,0.03321914304883466,0.057701158942846865,0.041264751953112556,0.08968793119601,0.035699278290116716,0.08270146235688905,0.07824153960812884,0.03600647204529472,0.03370953846731783,0.07312631175781634,0.036331869062229474,0.03839167101670439,0.05704999352750943,0.05342158691796012,0.0561151235857304,0.05970888414104854,0.04438728956578683,0.07753448542173691,0.04311356645083314,0.07549135984895484,0.08240002300101446,0.0639398753332533,0.09695219095336197,0.04151818976759077,0.06361039189754698,0.09148132360153415,0.06483126499169072,0.045008867365994534,0.06653541493934073,0.04961503026903965,0.06651524041672437,0.08143984519047924,0.03566151499485117,0.03281535923616499,0.042005995989724244,0.07361767480537734,0.030218641512004197,0.03743502312113676,0.06272216765879622,0.03507007291475358,0.03733844545365775,0.05881817870615191,0.03278234148308064,0.051712116805973395,0.05177596582013219,0.07008010280646051,0.01588018089392148,0.020814833255827534,0.014717385641668794
blood,0.055086596758386355,0.12744162260442118,0.11594912056601839,0.09539107158658433,0.10054168431554027,0.10952918354048619,0.10304647175988159,0.08001249372309088,0.11983413265136646,0.11004045560514635,0.10822461428924907,0.12101596918039044,0.12111357537198215,0.09227625279794818,0.08533978641333857,0.14183550148871044,0.10290099499830908,0.09557445951341517,0.1111228369125681,0.09419767265503463,0.11720644154862025,0.10908368332193946,0.08699313324220863,0.10976913852644005,0.1217522337258513,0.12484500565610197,0.11155783523873844,0.12912317721430033,0.10162662018445774,0.09375711118571114,0.1463391451935614,0.12187452761914848,0.09070168707964314,0.1056245335735379,0.12976223590918848,0.08745111705563381,0.1472675408874106,0.11014942963143214,0.10352329450861654,0.053122080880438106,0.1141647880296948,0.12710991944941405,0.06666300104186446,0.07769166894651983,0.0803993678826278,0.11610267851604995,0.07670080210857601,0.0929455511629128,0.10872234502298059,0.06390070098655187,0.13312675441629143,0.10690301300710263,0.05440424343727833,0.052783972565658616,0.05004762048577155
breast-cancer-wisc-diag,0.02244516171354941,0.08360913650302906,0.09258156445938133,0.057528975060237846,0.03810153017355762,0.028487301300461544,0.06961643832181813,0.021852866201843752,0.09078851976875842,0.04011046237968936,0.1094339415554763,0.04866577316929558,0.05767647775721752,0.014266240419937886,0.06737225640492205,0.06556478963373444,0.025835558287533363,0.013703244675054122,0.020644642364666847,0.02193479490079381,0.022671280499093963,0.027135867486647692,0.09424949802249087,0.07253810364419988,0.015050009428163525,0.11852064155387997,0.08851918067926115,0.11541734165673381,0.08063591912236169,0.007592763918102762,0.09653428871724344,0.08251141348655623,0.056480775473220717,0.013115925317983435,0.0428857688971062,0.025318561624558877,0.047766130388769534,0.049335624040050145,0.07940881967659895,0.025824916370046466,0.08732669443880683,0.08127840693201162,0.09302724531875241,0.015343587849108019,0.034541329913065036,0.0774093649632463,0.08742984044741733,0.0415693288027599,0.012051344918631543,0.04229074353207529,0.023763593778434882,0.09350604944375751,0.009102116529157336,0.015600482234333314,0.04433315016133022
breast-tissue,0.052234117775559454,0.11657566541796749,0.1114012274786588,0.1333239619437714,0.07431775784455336,0.06761165527352918,0.15018181979662576,0.10349221806012324,0.1504658689589396,0.09076194562482245,0.12217119743674439,0.11349189587981832,0.1127555796775539,0.07550947509617845,0.1194565327250898,0.10617450567852754,0.07016850237260458,0.06368057696780839,0.07252344487161431,0.06344598610865382,0.0742350907904702,0.09026802633642421,0.13310207233277244,0.09895341115458825,0.06034997102290571,0.13322456205477357,0.1225896889903063,0.10710787592693159,0.07326242373489432,0.0758743328668604,0.11234433626799274,0.12401834627053733,0.13563960853129967,0.06192105336164396,0.12156100485255825,0.08036288540714628,0.05935044684374102,0.10877833035452818,0.15355755978478464,0.06631302960173266,0.16396633685242734,0.10408953237530272,0.1277384513577042,0.08600704906925118,0.06942015847122163,0.1411628637741106,0.14899203446243314,0.12918918880654315,0.08532415369840564,0.06950946004121086,0.0714589927794821,0.13422499355199566,0.032148321840915574,0.038818138055699745,0.0727013396539751
cardiotocography-10clases,0.01659703900979506,0.02387965352048515,0.023136652898835437,0.028220347306162463,0.012689872188281943,0.007872763545671664,0.015183684926138969,0.012308357471761771,0.014305412348481688,0.029431319003316758,0.013282667283044947,0.02951280389849798,0.03140994367553703,0.00813745760706692,0.0148560301524721,0.029692947450609915,0.008675336501353778,0.008900210486377761,0.011979667502994663,0.014798797304382773,0.013146428571893284,0.010923675910083532,0.014933201081116173,0.027917665025687793,0.007623468156824729,0.0242646066358002,0.02555105590009909,0.020835209020124618,0.02587380518461087,0.006772476024946882,0.023386450907948005,0.022240734704976298,0.02972497207420171,0.007705042380285626,0.02946575764115974,0.013456502175242989,0.014439862207541745,0.019576461241538553,0.013324785243046651,0.009036051619820913,0.015971947079666038,0.027297082852041826,0.014547484288243082,0.007046718169400041,0.012391991246759514,0.016321041972385958,0.009459320160782813,0.025526875036488095,0.008861798553774718,0.013329585460246577,0.012571173855695747,0.023858483706756282,0.002428360226804971,0.005434805144495279,0.007714504300955401
conn-bench-sonar-mines-rocks,0.07411827551648519,0.17583335938210398,0.24791289227900945,0.19279035104955475,0.13341178136586268,0.14696797220533714,0.21268977235070963,0.12312720111110707,0.20220696481558237,0.20569758757181414,0.21320676064509053,0.19102993483065,0.21522739578709932,0.11617690509514497,0.182387362909401,0.21356486166116928,0.13917332617888972,0.15833954504877054,0.12088164857849826,0.15675085597549762,0.15061779361424948,0.16045136567152007,0.17981552082056623,0.19167468110012464,0.14566450136037468,0.16951813416788336,0.21710021010115665,0.21871673815733875,0.16340409596974528,0.15875461028794724,0.18471749403151938,0.19388065230031348,0.17965986661965294,0.1123760966959798,0.23009544969509177,0.10196107775039337,0.12269746303535167,0.19765558403804873,0.22190837356425483,0.14501752647687594,0.17908382330587705,0.22416110044562407,0.20486517992518322,0.1042826636328004,0.11643259267092124,0.2031118179937681,0.21165542096077686,0.14776623146472326,0.11901461961585436,0.16358442877712845,0.12313284236651649,0.18671898120224162,0.05617181347472152,0.06419350267998723,0.0874842305398828
conn-bench-vowel-deterding,0.005605300623079198,0.03317603513965293,0.032123220951012596,0.009833928986868608,0.016510347836668333,0.012585020396284728,0.019864650714283345,0.014574919890476642,0.023702833593115126,0.011432145109631585,0.015369167367715488,0.012580728978739636,0.009324978658459316,0.014673965119015957,0.020721239442063714,0.012601568183829966,0.013827311584528282,0.008456804699754331,0.01650369250447724,0.017300856763268722,0.017269620250930418,0.021893873392451108,0.022222880036046177,0.03183944280790923,0.01341228186035829,0.040210092983491735,0.03423686982708241,0.03207376138137564,0.011133200139585709,0.014311660128358468,0.029947067894297987,0.04330448598596338,0.008344693782781144,0.013061740294233577,0.010879986663150936,0.018120167609678602,0.020634291835333097,0.013222592293824715,0.022819565494472706,0.015735179689661823,0.017023671946042318,0.031645926746740036,0.01464281921390481,0.014864267163436423,0.016128252198031403,0.01631230403679258,0.021698660265261713,0.013883978126585957,0.011687870309937856,0.01681811939882874,0.015651010546845947,0.03519975732901843,0.006220535234172236,0.009553631941068421,0.011713385942554798
ecoli,0.027231755526789227,0.07747994621799784,0.05339974784328425,0.05428586374624249,0.030290803043578663,0.03195134721338341,0.04839850533895666,0.0328818815310352,0.04541371649822008,0.036530982324298154,0.057833084942685596,0.04783491371408538,0.0518193630663168,0.039202638337753504,0.0462720947311914,0.03761780928007835,0.02904959148278616,0.032229594666183456,0.04174020213055081,0.049006184943318654,0.022624414326048347,0.040517396591589205,0.0510173242907954,0.05114894867492613,0.025540170008698862,0.060467688025319904,0.07553426563499036,0.0648306707840983,0.03403670046453043,0.03682850503433528,0.044931927877054495,0.06323718586704118,0.04442143068895212,0.03370111174658089,0.04636592633211086,0.041790771123685684,0.03899254426699769,0.039590208411347826,0.04809348198883107,0.023141827437691987,0.055369823637024314,0.07821495758641643,0.042660785499125706,0.0313928914506824,0.040526135002940014,0.06060251310214073,0.050594740105583194,0.049641233491746074,0.02219902686373818,0.029704862258370338,0.03498268352897755,0.0669493257195782,0.014296801530387086,0.01960476933955156,0.024097361706308506
glass,0.039810697180379696,0.08963502105455705,0.11069420391565107,0.07762981684037941,0.10632496414052249,0.11038063146162391,0.1255267108654902,0.09423176180559137,0.12302681739351883,0.09222186359206216,0.12821113382617594,0.09174721187283046,0.12178439185389191,0.09643780289043194,0.08876681463894112,0.08914448146948856,0.09095623617356142,0.11811373855576378,0.08752248618279616,0.09575660727636702,0.08256878758921012,0.11539772361888329,0.12987890735317326,0.08947677740764293,0.08350473572832427,0.10758092392274587,0.10345589833133795,0.15731292232630906,0.10101296768852192,0.08341948513524912,0.12938298847955945,0.08502849254830802,0.10797076418805647,0.08382748899422042,0.09531836240222362,0.09432903854505542,0.04828096421003507,0.1149972635036747,0.13680256380784517,0.0979425225444346,0.09130711448749541,0.13001459432209928,0.10543171593015399,0.11301634064655666,0.10577806186958526,0.12799859920773757,0.12103289316112203,0.1128922199076624,0.10211395533772942,0.07964112966847077,0.09952319640781923,0.11978914962441846,0.03900409994028602,0.040896346364818884,0.03721551037720565
hill-valley,0.06535274336226864,0.016000688515314776,0.01967983591966685,0.07655791155374891,0.07059334694981992,0.07056289042733795,0.0365708220972291,0.07875568121163376,0.045885495920016894,0.07748633359124038,0.03604263619635974,0.07611341673290062,0.08205918438234924,0.0763393472441459,0.0410556274648071,0.06761698728636112,0.06344080826469849,0.07067133771766826,0.07172987499628743,0.08040183882531332,0.07035949927705858,0.07735650726406382,0.046184007357239654,0.01338619097411193,0.08642171655941902,0.01045626392370853,0.020774598874318238,0.013075246129088272,0.06423839690279931,0.062269175213927046,0.009190507207368814,8.083783348247439E-4,0.07102160739574384,0.0711414136097804,0.07622045598044715,0.08871226633327155,0.012767038236292157,0.07593942200663494,0.0553732731394321,0.0737859944198975,0.05675967471092659,0.009160585477724578,0.06105942924682309,0.07591287404100293,0.07710851821975058,0.02902624575433744,0.04758836943709673,0.0803761856014573,0.048012963721748084,0.07911704395339311,0.061909194714097615,0.021210720201595704,0.10371486421076895,0.04118349020182015,0.0216428463418756
