TRAINTESTDIFFSNLLRANKS:,NN_cvFold9,C4.5_cvFold4,MLP_cvFold4,C4.5_cvFold1,SVML_cvFold7,SVML_cvFold9,SVML_cvFold4,C4.5_cvFold6,Logistic_cvFold9,NN_cvFold1,Logistic_cvFold4,NN_cvFold4,MLP_cvFold1,MLP_cvFold9,C4.5_cvFold3,Logistic_cvFold6,SVML_cvFold1,MLP_cvFold3,C4.5_cvFold7,C4.5_cvFold9,NN_cvFold7,SVML_cvFold0,NN_cvFold6,C4.5_cvFold0,MLP_cvFold5,Logistic_cvFold1,Logistic_cvFold8,SVML_cvFold6,SVML_cvFold3,MLP_cvFold7,Logistic_cvFold5,Logistic_cvFold7,NN_cvFold8,NN_cvFold0,SVML_cvFold5,Logistic_cvFold0,Logistic_cvFold3,C4.5_cvFold5,Logistic_cvFold2,SVML_cvFold2,NN_cvFold2,MLP_cvFold2,C4.5_cvFold8,SVML_cvFold8,MLP_cvFold0,MLP_cvFold6,C4.5_cvFold2,NN_cvFold5,SVML,MLP_cvFold8,NN_cvFold3,NN,MLP,Logistic,C4.5
bank,5.0,30.0,39.0,10.0,33.0,28.0,29.0,15.0,27.0,7.0,25.0,9.0,1.0,8.0,32.0,37.0,16.0,52.0,18.0,49.0,42.0,26.0,2.0,23.0,3.0,17.0,43.0,38.0,20.0,48.0,19.0,35.0,14.0,44.0,21.0,36.0,22.0,11.0,47.0,40.0,24.0,55.0,46.0,41.0,53.0,12.0,50.0,6.0,31.0,51.0,13.0,4.0,54.0,34.0,45.0
blood,4.0,7.0,34.0,10.0,5.0,20.0,12.0,11.0,26.0,2.0,24.0,9.0,16.0,27.0,17.0,23.0,32.0,29.0,1.0,44.0,14.0,22.0,3.0,48.0,36.0,37.0,45.0,19.0,15.0,8.0,28.0,6.0,52.0,42.0,21.0,30.0,18.0,51.0,50.0,49.0,55.0,53.0,46.0,43.0,39.0,35.0,54.0,25.0,31.0,47.0,41.0,13.0,40.0,33.0,38.0
breast-cancer-wisc-diag,29.0,3.0,4.0,47.0,33.0,27.0,14.0,18.0,2.0,15.0,1.0,12.0,9.0,11.0,50.0,10.0,28.0,36.0,52.0,6.0,44.0,37.0,24.0,25.0,53.0,20.0,7.0,26.0,19.0,51.0,49.0,55.0,17.0,38.0,48.0,54.0,42.0,22.0,23.0,31.0,5.0,41.0,13.0,16.0,46.0,45.0,43.0,21.0,30.0,8.0,34.0,35.0,32.0,40.0,39.0
breast-tissue,50.0,2.0,20.0,8.0,9.0,35.0,12.0,48.0,5.0,15.0,11.0,49.0,32.0,21.0,52.0,6.0,28.0,54.0,3.0,43.0,40.0,10.0,42.0,51.0,25.0,44.0,1.0,13.0,41.0,7.0,29.0,36.0,24.0,4.0,26.0,22.0,55.0,16.0,45.0,18.0,47.0,27.0,30.0,23.0,17.0,14.0,19.0,46.0,31.0,39.0,53.0,38.0,33.0,37.0,34.0
cardiotocography-10clases,39.0,7.0,23.0,12.0,26.0,37.0,18.0,38.0,43.0,4.0,21.0,14.0,13.0,53.0,11.0,47.0,27.0,5.0,9.0,36.0,1.0,35.0,55.0,6.0,48.0,46.0,32.0,30.0,10.0,54.0,17.0,22.0,45.0,28.0,15.0,49.0,20.0,3.0,8.0,19.0,40.0,52.0,42.0,34.0,41.0,24.0,25.0,16.0,33.0,44.0,2.0,29.0,50.0,51.0,31.0
conn-bench-sonar-mines-rocks,6.0,7.0,18.0,11.0,33.0,41.0,21.0,32.0,53.0,49.0,4.0,37.0,14.0,30.0,16.0,19.0,29.0,24.0,17.0,2.0,3.0,50.0,36.0,9.0,25.0,10.0,1.0,51.0,34.0,46.0,5.0,55.0,39.0,31.0,13.0,43.0,15.0,44.0,28.0,22.0,12.0,8.0,47.0,38.0,54.0,45.0,26.0,23.0,40.0,48.0,42.0,27.0,52.0,35.0,20.0
conn-bench-vowel-deterding,26.0,20.0,18.0,24.0,15.0,48.0,8.0,21.0,39.0,28.0,3.0,27.0,1.0,53.0,36.0,47.0,7.0,25.0,12.0,9.0,16.0,37.0,29.0,5.0,40.0,23.0,45.0,42.0,33.0,13.0,31.0,44.0,34.0,6.0,19.0,14.0,4.0,22.0,10.0,30.0,17.0,2.0,32.0,38.0,11.0,54.0,49.0,46.0,43.0,51.0,35.0,41.0,55.0,50.0,52.0
ecoli,21.0,46.0,55.0,15.0,26.0,14.0,49.0,3.0,23.0,17.0,52.0,54.0,24.0,29.0,37.0,25.0,33.0,43.0,10.0,2.0,27.0,4.0,18.0,8.0,51.0,19.0,13.0,9.0,20.0,32.0,48.0,41.0,12.0,5.0,50.0,22.0,38.0,42.0,45.0,30.0,34.0,47.0,11.0,6.0,1.0,16.0,44.0,53.0,36.0,7.0,31.0,35.0,39.0,40.0,28.0
glass,20.0,10.0,38.0,4.0,37.0,7.0,17.0,47.0,6.0,13.0,18.0,34.0,15.0,21.0,30.0,29.0,9.0,43.0,42.0,32.0,49.0,16.0,48.0,24.0,50.0,1.0,14.0,52.0,25.0,55.0,36.0,2.0,53.0,26.0,54.0,28.0,31.0,45.0,3.0,8.0,12.0,5.0,35.0,23.0,22.0,51.0,11.0,46.0,27.0,41.0,40.0,33.0,44.0,19.0,39.0
hill-valley,6.0,35.0,42.0,23.0,19.0,30.0,8.0,25.0,7.0,54.0,53.0,50.0,15.0,17.0,36.0,45.0,40.0,34.0,26.0,24.0,55.0,37.0,3.0,20.0,28.0,27.0,4.0,12.0,9.0,44.0,43.0,21.0,2.0,49.0,52.0,10.0,13.0,33.0,31.0,5.0,51.0,11.0,22.0,18.0,14.0,38.0,29.0,39.0,41.0,46.0,16.0,1.0,48.0,47.0,32.0
image-segmentation,7.0,32.0,16.0,40.0,8.0,25.0,42.0,46.0,35.0,51.0,22.0,45.0,29.0,19.0,50.0,24.0,31.0,18.0,27.0,54.0,48.0,28.0,52.0,10.0,3.0,49.0,23.0,26.0,38.0,1.0,12.0,17.0,39.0,20.0,13.0,14.0,37.0,33.0,11.0,9.0,4.0,2.0,53.0,30.0,15.0,6.0,5.0,21.0,36.0,41.0,55.0,47.0,43.0,34.0,44.0
ionosphere,5.0,48.0,9.0,46.0,10.0,8.0,20.0,40.0,1.0,47.0,16.0,2.0,52.0,44.0,13.0,14.0,42.0,3.0,27.0,11.0,15.0,29.0,18.0,37.0,31.0,50.0,33.0,19.0,25.0,49.0,39.0,35.0,22.0,54.0,7.0,32.0,51.0,28.0,36.0,30.0,53.0,45.0,4.0,23.0,55.0,21.0,17.0,6.0,24.0,43.0,12.0,26.0,41.0,38.0,34.0
iris,9.0,5.0,42.0,3.0,29.0,23.0,47.0,25.0,8.0,35.0,45.0,31.0,10.0,37.0,17.0,48.0,51.0,21.0,4.0,49.0,26.0,24.0,32.0,11.0,13.0,41.0,22.0,20.0,39.0,12.0,2.0,1.0,14.0,28.0,18.0,6.0,19.0,7.0,55.0,38.0,54.0,52.0,16.0,53.0,36.0,43.0,50.0,33.0,46.0,27.0,44.0,40.0,34.0,30.0,15.0
libras,26.0,46.0,9.0,40.0,14.0,19.0,28.0,10.0,2.0,52.0,37.0,27.0,3.0,44.0,54.0,20.0,15.0,22.0,4.0,18.0,8.0,7.0,1.0,5.0,49.0,29.0,42.0,21.0,23.0,11.0,13.0,24.0,12.0,48.0,38.0,53.0,50.0,36.0,32.0,16.0,33.0,45.0,6.0,51.0,17.0,25.0,41.0,30.0,31.0,55.0,34.0,35.0,39.0,47.0,43.0
magic,11.0,46.0,30.0,47.0,34.0,26.0,33.0,54.0,27.0,5.0,29.0,1.0,48.0,23.0,7.0,9.0,40.0,12.0,51.0,4.0,37.0,24.0,3.0,52.0,44.0,36.0,38.0,8.0,10.0,42.0,14.0,31.0,55.0,45.0,15.0,25.0,6.0,28.0,21.0,20.0,17.0,13.0,32.0,39.0,53.0,41.0,16.0,2.0,22.0,43.0,50.0,19.0,35.0,18.0,49.0
miniboone,27.0,9.0,29.0,51.0,30.0,23.0,40.0,16.0,11.0,54.0,31.0,22.0,43.0,32.0,17.0,8.0,36.0,53.0,6.0,20.0,3.0,42.0,18.0,24.0,7.0,48.0,14.0,15.0,41.0,25.0,13.0,26.0,5.0,44.0,10.0,49.0,35.0,4.0,50.0,34.0,45.0,39.0,47.0,28.0,38.0,19.0,46.0,12.0,37.0,33.0,21.0,55.0,2.0,1.0,52.0
oocytes_merluccius_nucleus_4d,29.0,5.0,47.0,22.0,44.0,27.0,30.0,7.0,19.0,13.0,48.0,46.0,14.0,8.0,21.0,24.0,11.0,4.0,17.0,18.0,32.0,20.0,55.0,51.0,2.0,6.0,43.0,36.0,34.0,52.0,31.0,53.0,49.0,35.0,23.0,33.0,25.0,9.0,16.0,15.0,3.0,1.0,42.0,26.0,37.0,54.0,12.0,39.0,28.0,45.0,41.0,50.0,10.0,40.0,38.0
oocytes_trisopterus_states_5b,19.0,50.0,17.0,28.0,21.0,39.0,32.0,1.0,34.0,43.0,14.0,52.0,44.0,15.0,51.0,3.0,25.0,22.0,55.0,53.0,54.0,13.0,7.0,9.0,11.0,36.0,2.0,6.0,20.0,16.0,49.0,30.0,40.0,48.0,24.0,8.0,38.0,46.0,12.0,29.0,10.0,18.0,4.0,31.0,41.0,5.0,37.0,23.0,27.0,33.0,26.0,42.0,35.0,45.0,47.0
optical,44.0,7.0,12.0,35.0,31.0,43.0,13.0,14.0,9.0,53.0,3.0,10.0,33.0,27.0,49.0,6.0,29.0,45.0,41.0,8.0,54.0,21.0,26.0,1.0,51.0,18.0,17.0,11.0,47.0,30.0,19.0,4.0,34.0,28.0,42.0,5.0,40.0,15.0,2.0,23.0,48.0,16.0,25.0,37.0,20.0,24.0,22.0,39.0,38.0,32.0,52.0,46.0,36.0,50.0,55.0
ozone,2.0,27.0,32.0,47.0,16.0,15.0,19.0,42.0,4.0,30.0,23.0,44.0,39.0,18.0,29.0,43.0,37.0,28.0,10.0,9.0,12.0,20.0,31.0,8.0,50.0,7.0,24.0,54.0,34.0,5.0,51.0,13.0,17.0,11.0,52.0,6.0,41.0,36.0,25.0,40.0,35.0,46.0,14.0,33.0,1.0,48.0,45.0,49.0,38.0,3.0,53.0,26.0,22.0,55.0,21.0
page-blocks,25.0,46.0,6.0,43.0,14.0,16.0,29.0,26.0,41.0,5.0,7.0,4.0,52.0,13.0,35.0,31.0,45.0,21.0,32.0,37.0,3.0,49.0,33.0,47.0,28.0,51.0,10.0,48.0,38.0,17.0,8.0,9.0,1.0,44.0,22.0,50.0,27.0,23.0,19.0,39.0,11.0,54.0,15.0,24.0,55.0,42.0,20.0,2.0,34.0,18.0,53.0,12.0,40.0,30.0,36.0
parkinsons,9.0,18.0,1.0,22.0,32.0,11.0,17.0,44.0,2.0,28.0,50.0,21.0,35.0,5.0,12.0,43.0,36.0,48.0,6.0,19.0,40.0,41.0,47.0,55.0,3.0,23.0,30.0,38.0,26.0,20.0,8.0,45.0,33.0,37.0,15.0,52.0,27.0,7.0,49.0,42.0,14.0,51.0,10.0,16.0,39.0,46.0,31.0,13.0,29.0,4.0,25.0,34.0,53.0,54.0,24.0
pendigits,17.0,8.0,25.0,6.0,42.0,34.0,15.0,3.0,44.0,16.0,10.0,4.0,46.0,12.0,13.0,27.0,37.0,19.0,29.0,33.0,14.0,30.0,54.0,40.0,35.0,32.0,24.0,47.0,26.0,55.0,28.0,51.0,18.0,11.0,50.0,20.0,31.0,23.0,21.0,45.0,38.0,5.0,53.0,39.0,36.0,7.0,1.0,49.0,48.0,2.0,22.0,41.0,9.0,43.0,52.0
planning,53.0,8.0,9.0,10.0,43.0,37.0,17.0,35.0,26.0,3.0,4.0,1.0,12.0,55.0,14.0,28.0,16.0,2.0,45.0,23.0,47.0,34.0,29.0,22.0,46.0,19.0,51.0,39.0,20.0,54.0,52.0,32.0,36.0,41.0,49.0,31.0,13.0,42.0,5.0,18.0,7.0,21.0,24.0,48.0,15.0,50.0,11.0,25.0,40.0,44.0,6.0,30.0,27.0,38.0,33.0
post-operative,23.0,41.0,48.0,14.0,46.0,9.0,43.0,26.0,27.0,19.0,49.0,47.0,4.0,31.0,33.0,6.0,17.0,42.0,32.0,24.0,11.0,13.0,25.0,18.0,3.0,7.0,10.0,12.0,45.0,1.0,39.0,38.0,21.0,16.0,35.0,22.0,50.0,30.0,51.0,53.0,54.0,52.0,29.0,15.0,8.0,2.0,55.0,28.0,37.0,5.0,44.0,34.0,20.0,40.0,36.0
ringnorm,10.0,29.0,52.0,7.0,22.0,28.0,49.0,24.0,27.0,37.0,47.0,54.0,12.0,31.0,23.0,14.0,20.0,9.0,6.0,51.0,25.0,30.0,5.0,33.0,8.0,17.0,48.0,13.0,44.0,39.0,41.0,21.0,53.0,4.0,42.0,32.0,45.0,15.0,18.0,16.0,2.0,11.0,38.0,46.0,40.0,26.0,19.0,55.0,36.0,34.0,3.0,50.0,1.0,35.0,43.0
seeds,13.0,54.0,26.0,6.0,23.0,28.0,50.0,1.0,34.0,4.0,2.0,27.0,16.0,37.0,35.0,43.0,10.0,38.0,25.0,20.0,7.0,52.0,3.0,55.0,22.0,17.0,12.0,14.0,42.0,19.0,9.0,18.0,11.0,36.0,31.0,48.0,29.0,51.0,53.0,44.0,30.0,47.0,33.0,15.0,41.0,8.0,40.0,49.0,39.0,5.0,46.0,21.0,24.0,32.0,45.0
spambase,25.0,9.0,18.0,51.0,21.0,23.0,13.0,39.0,54.0,8.0,29.0,4.0,50.0,43.0,14.0,28.0,38.0,34.0,6.0,37.0,17.0,31.0,7.0,35.0,42.0,26.0,47.0,24.0,20.0,10.0,44.0,32.0,3.0,33.0,11.0,45.0,19.0,12.0,41.0,30.0,2.0,53.0,52.0,16.0,49.0,15.0,22.0,5.0,27.0,36.0,40.0,1.0,55.0,48.0,46.0
statlog-landsat,8.0,10.0,44.0,2.0,20.0,35.0,15.0,12.0,47.0,9.0,17.0,42.0,40.0,29.0,22.0,26.0,5.0,18.0,28.0,50.0,21.0,30.0,52.0,7.0,3.0,4.0,49.0,25.0,36.0,41.0,16.0,32.0,51.0,27.0,13.0,31.0,43.0,6.0,33.0,38.0,39.0,14.0,24.0,45.0,48.0,54.0,11.0,1.0,34.0,55.0,23.0,37.0,53.0,46.0,19.0
statlog-shuttle,5.0,20.0,23.0,34.0,13.0,8.0,14.0,7.0,40.0,15.0,46.0,22.0,2.0,11.0,9.0,55.0,26.0,48.0,49.0,38.0,53.0,35.0,41.0,47.0,3.0,21.0,42.0,37.0,16.0,54.0,19.0,36.0,51.0,29.0,24.0,10.0,18.0,12.0,30.0,25.0,52.0,6.0,50.0,43.0,4.0,32.0,17.0,44.0,1.0,28.0,27.0,45.0,39.0,33.0,31.0
statlog-vehicle,47.0,10.0,21.0,11.0,13.0,32.0,22.0,20.0,37.0,49.0,29.0,51.0,34.0,38.0,15.0,6.0,12.0,1.0,24.0,18.0,9.0,19.0,5.0,55.0,26.0,16.0,31.0,17.0,8.0,4.0,35.0,7.0,41.0,23.0,14.0,40.0,3.0,27.0,36.0,39.0,44.0,52.0,33.0,30.0,45.0,2.0,48.0,43.0,28.0,50.0,53.0,54.0,42.0,25.0,46.0
steel-plates,24.0,7.0,1.0,33.0,32.0,17.0,11.0,20.0,13.0,41.0,8.0,10.0,47.0,9.0,2.0,37.0,25.0,3.0,26.0,42.0,51.0,27.0,49.0,14.0,12.0,39.0,43.0,28.0,6.0,45.0,18.0,21.0,16.0,46.0,29.0,34.0,5.0,40.0,38.0,23.0,54.0,52.0,15.0,31.0,53.0,50.0,44.0,55.0,22.0,35.0,4.0,19.0,48.0,36.0,30.0
synthetic-control,38.0,3.0,13.0,6.0,32.0,11.0,16.0,20.0,55.0,39.0,22.0,7.0,15.0,35.0,52.0,2.0,9.0,19.0,46.0,4.0,29.0,40.0,8.0,50.0,24.0,36.0,18.0,42.0,26.0,23.0,54.0,49.0,21.0,43.0,25.0,47.0,12.0,44.0,1.0,14.0,48.0,17.0,33.0,10.0,28.0,37.0,5.0,51.0,31.0,30.0,34.0,45.0,27.0,53.0,41.0
twonorm,13.0,2.0,36.0,3.0,32.0,12.0,18.0,9.0,8.0,48.0,21.0,16.0,43.0,4.0,10.0,34.0,53.0,39.0,5.0,1.0,38.0,29.0,27.0,23.0,44.0,54.0,41.0,30.0,52.0,14.0,17.0,35.0,20.0,26.0,15.0,25.0,51.0,42.0,24.0,22.0,31.0,46.0,19.0,40.0,6.0,50.0,55.0,28.0,33.0,11.0,49.0,47.0,7.0,37.0,45.0
vertebral-column-3clases,25.0,35.0,24.0,45.0,31.0,28.0,6.0,38.0,44.0,9.0,27.0,3.0,12.0,15.0,2.0,23.0,13.0,7.0,53.0,29.0,16.0,10.0,18.0,41.0,21.0,43.0,55.0,36.0,4.0,54.0,33.0,52.0,8.0,14.0,37.0,20.0,1.0,50.0,26.0,48.0,17.0,39.0,34.0,40.0,46.0,11.0,51.0,49.0,22.0,30.0,5.0,19.0,32.0,42.0,47.0
wall-following,7.0,27.0,5.0,49.0,10.0,14.0,25.0,47.0,11.0,3.0,36.0,12.0,53.0,4.0,37.0,32.0,19.0,29.0,33.0,26.0,9.0,18.0,16.0,44.0,35.0,17.0,21.0,22.0,48.0,2.0,40.0,13.0,55.0,1.0,42.0,20.0,52.0,38.0,51.0,50.0,6.0,24.0,30.0,23.0,8.0,41.0,34.0,54.0,31.0,39.0,46.0,43.0,15.0,28.0,45.0
waveform-noise,34.0,53.0,6.0,46.0,8.0,17.0,26.0,14.0,15.0,31.0,21.0,27.0,12.0,51.0,45.0,23.0,24.0,55.0,49.0,54.0,13.0,7.0,28.0,3.0,4.0,29.0,19.0,36.0,43.0,2.0,22.0,10.0,33.0,16.0,30.0,9.0,44.0,47.0,41.0,38.0,39.0,11.0,48.0,20.0,1.0,52.0,42.0,25.0,32.0,18.0,37.0,40.0,5.0,35.0,50.0
wine-quality-white,49.0,6.0,8.0,15.0,16.0,23.0,31.0,11.0,18.0,5.0,22.0,1.0,43.0,28.0,4.0,26.0,39.0,9.0,51.0,13.0,54.0,35.0,53.0,37.0,40.0,42.0,7.0,24.0,25.0,12.0,34.0,19.0,3.0,20.0,36.0,38.0,30.0,44.0,27.0,41.0,52.0,32.0,14.0,10.0,48.0,21.0,47.0,55.0,29.0,17.0,2.0,45.0,46.0,33.0,50.0
yeast,17.0,39.0,14.0,1.0,12.0,22.0,41.0,42.0,32.0,5.0,37.0,43.0,2.0,6.0,4.0,46.0,13.0,15.0,53.0,24.0,8.0,18.0,49.0,7.0,45.0,10.0,51.0,47.0,25.0,21.0,23.0,19.0,40.0,11.0,33.0,16.0,31.0,52.0,36.0,28.0,26.0,3.0,55.0,35.0,9.0,48.0,44.0,34.0,27.0,54.0,50.0,29.0,30.0,38.0,20.0
